P0	SU_photonEnergy	DetectorAtFocus_outgoingMaxF_X	DetectorAtFocus_outgoingMinF_X	DetectorAtFocus_outgoingMaxF_Y	DetectorAtFocus_outgoingMinF_Y	DetectorAtFocus_intensityH_width_X	DetectorAtFocus_intensityH_centerWidth_X	DetectorAtFocus_intensityH_centerMass_X	DetectorAtFocus_intensityH_width_Y	DetectorAtFocus_intensityH_centerWidth_Y	DetectorAtFocus_intensityH_centerMass_Y	DetectorAtFocus_energyH_width	DetectorAtFocus_energyH_centerWidth	DetectorAtFocus_energyH_centerMass	DetectorAtFocus_pathlengthH_width	DetectorAtFocus_pathlengthH_centerWidth	DetectorAtFocus_pathlengthH_centerMass	DetectorAtFocus_phi_width	DetectorAtFocus_phi_centerWidth	DetectorAtFocus_phi_centerMass	DetectorAtFocus_psi_width	DetectorAtFocus_psi_centerWidth	DetectorAtFocus_psi_centerMass	DetectorAtFocus_incoming_NO	DetectorAtFocus_absorbed_NO	DetectorAtFocus_outgoing_NO	DetectorAtFocus_incoming_R	DetectorAtFocus_absorbed_R	DetectorAtFocus_outgoing_R	DetectorAtFocus_efficiency	DetectorAtFocus_S1S0	DetectorAtFocus_S2S0	DetectorAtFocus_S3S0	DetectorAtFocus_focus_horizontal_z0	DetectorAtFocus_focus_horizontal_width	DetectorAtFocus_focus_horizontal_theta	DetectorAtFocus_focus_horizontal_depth	DetectorAtFocus_focus_vertical_z0	DetectorAtFocus_focus_vertical_width	DetectorAtFocus_focus_vertical_theta	DetectorAtFocus_focus_vertical_depth
0	100	0.290714080688361	-0.270848624520065	0.00472002740947142	-0.00473874980797007	0.156479687729367	0.00250513545472413	0.00437270129990597	0.00740501300704695	-2.05143791700679e-06	-9.36119924932477e-06	0.00289340961371173	100.000027289756	99.9999876686771	0.966606803285027	-0.00108492362427698	-0.00564313719164056	0.0223710803057949	0.000102895189004066	8.81842490818574e-06	0.0949124225388422	0.00115175973627788	-0.0015991933945112	34109	0	34109	1.70545	0	1.70545	100	1.000	-0.000	0.000	-179.633	0.0613965	0.000171837	714.591	-0.0117377	0.00217772	0.000839188	5.19006
1	151.282051282	0.259865050668551	-0.225270262287277	0.00475177678899419	-0.00475377929396981	0.141645401630806	0.00160029476230904	0.00288743439986977	0.00743458425736008	1.84036637278923e-06	-1.00125248780891e-06	0.00479738137935965	151.28203240401	151.282038253855	0.98016615335372	-0.000533059577602024	0.00610391006114241	0.0211824943866153	0.000337972522311887	-0.000195635400874923	0.0713837959183233	0.00115415538507668	0.0016333805574423	43655	0	43655	2.18275	0	2.18275	100	1.000	-0.000	0.000	-130.692	0.0558252	0.000159611	699.515	-0.0222188	0.00217058	0.000677226	6.41022
2	202.564102564	0.225014503322545	-0.243082584067483	0.00460836463339831	-0.00472006047927831	0.121084967152965	0.0012302411953049	0.00023520888277917	0.00745503289802288	-3.90814996804531e-06	-5.584792294e-05	0.00698292636683343	202.564067419894	202.564055462575	0.987310024126493	-0.00368058039317742	0.00700657681523353	0.0198957537636736	-5.67566094542039e-05	-4.04976754818237e-05	0.0566189846795851	0.000729528824819161	-0.000849475652030834	50800	0	50800	2.54	0	2.54	100	1.000	-0.000	0.000	-99.3824	0.0530857	0.000152087	698.098	-0.0597682	0.00217285	0.00058058	7.48509
3	253.846153846	0.24614310511833	-0.207156396508675	0.00465001110770036	-0.00467575214228599	0.125749019538176	0.00219974300126763	0.00154089879484712	0.00744734095252506	-7.30402418432259e-06	-1.28705172928179e-05	0.00926019937190673	253.846165953442	253.846191400276	0.988033397791036	0.00215733921448913	0.00200749417183488	0.0196722042363129	2.2733751171183e-05	0.000110036275102379	0.0493306019758769	0.000251450285220278	0.00140082043860484	57363	0	57363	2.86815	0	2.86815	100	1.000	-0.000	0.000	-80.4362	0.050791	0.000148486	684.12	-0.0835501	0.00217167	0.000522683	8.30971
4	305.128205128	0.254483984367342	-0.205069629944147	0.00462914278647597	-0.004569225342693	0.117970573944308	0.00150171709627872	0.00195699828528609	0.00746584128967479	-4.09211831827036e-06	2.99587218914876e-05	0.0112100220646018	305.128099768623	305.128166375198	0.988451653814838	0.00284610085935927	-0.00150649913327683	0.0193274199990909	-0.000115812660965798	0.000234942113326635	0.0444528680473162	0.000206887200427882	-0.00130317093070934	63159	0	63159	3.15795	0	3.15795	100	1.000	-0.000	0.000	-62.9395	0.0492234	0.00014626	673.093	-0.0764872	0.00216436	0.000467509	9.25913
5	356.41025641	0.190566499056601	-0.194874098729941	0.00446874316236023	-0.00457685792423268	0.110395942317525	0.00186468600634244	0.00166244370577079	0.00747341508087071	-1.57409621481591e-06	-5.40573809362233e-05	0.0144776299486662	356.410135684432	356.410333900431	0.993411724515059	0.00143004820837872	-0.00509231652229847	0.0186009232742183	-8.1890545146639e-05	0.000327011915580662	0.0401449496329031	0.000372287373585866	0.000845796781281771	68022	0	68022	3.4011	0	3.4011	100	1.000	-0.000	0.000	-48.7054	0.0476906	0.000143752	663.512	-0.121102	0.00216816	0.000410976	10.5513
6	407.692307692	0.210939155045589	-0.194876730466008	0.00437669527431161	-0.00460282732395578	0.110664011854651	0.00144493396977748	-4.74583915191507e-06	0.00746930922335257	4.03639790899028e-07	-2.41598604828032e-05	0.0170345952272251	407.692303068313	407.692378839764	0.985635523346351	0.000152619535284115	0.00102492769076434	0.0190964576722617	-0.000131529189051547	0.000181126360138083	0.0359240887486492	0.000279676190027542	0.000300915854950651	73195	0	73195	3.65975	0	3.65975	100	1.000	-0.000	0.000	-40.9037	0.0467044	0.000142059	657.535	-0.121317	0.00216679	0.000374478	11.5723
7	458.974358974	0.197426795222601	-0.194779858572382	0.00421353200592733	-0.00435291549572892	0.104541369014293	0.00276174128926043	0.00132346832510977	0.00748201694529663	-9.58269904425494e-06	1.51245669967959e-05	0.0198234126763838	458.97409912072	458.974043739099	0.994363353444783	-0.000599335695079917	-0.002518894392324	0.0185492944219691	0.000112375734064083	-0.00038905447878524	0.0333782706948474	0.000161651673104623	0.000144098966391504	77662	0	77662	3.8831	0	3.8831	100	1.000	-0.000	0.000	-34.672	0.0458267	0.000140441	652.614	-0.212896	0.00216322	0.000335619	12.8909
8	510.256410256	0.197589026030164	-0.198483380256387	0.00418667081088664	-0.00437242540032345	0.107359616421271	0.00178775067030639	-0.00044717711311118	0.00747198358612087	-7.51760035301759e-06	-8.1337678747434e-06	0.0229651672551463	510.256312825888	510.256735055099	0.992471787156667	-0.000641001020798337	-0.00452787519952502	0.0185592950052732	-2.73375210276105e-05	-0.00017985103272513	0.0315554711110736	0.000362611347138209	0.000933701075887333	82044	0	82044	4.1022	0	4.1022	100	1.000	-0.000	0.000	-27.5557	0.0454448	0.000139968	649.358	-0.228881	0.00216853	0.00031254	13.8768
9	561.538461538	0.186881788372332	-0.195033777798708	0.00421862290226871	-0.00431690591825751	0.104308520586114	0.00175682314823283	0.00348668976544628	0.00747050335284869	-1.84857715551266e-06	3.53686783474442e-05	0.0261756362397819	561.538424678675	561.538837020565	0.994058270575782	-0.00122323681875308	-0.0089734234234129	0.0184866245080523	-8.04546653813583e-05	-3.22624790060344e-05	0.0301315592430337	4.49669898415442e-05	-0.00057961935125149	85273	0	85273	4.26365	0	4.26365	100	1.000	-0.000	0.000	-21.9271	0.04468	0.00013929	641.54	-0.234399	0.00216777	0.000286928	15.1102
