P0	SU_photonEnergy	SU_outgoingMaxF_X	SU_outgoingMinF_X	SU_outgoingMaxF_Y	SU_outgoingMinF_Y	SU_intensityH_width_X	SU_intensityH_centerWidth_X	SU_intensityH_centerMass_X	SU_intensityH_width_Y	SU_intensityH_centerWidth_Y	SU_intensityH_centerMass_Y	SU_energyH_width	SU_energyH_centerWidth	SU_energyH_centerMass	SU_pathlengthH_width	SU_pathlengthH_centerWidth	SU_pathlengthH_centerMass	SU_phi_width	SU_phi_centerWidth	SU_phi_centerMass	SU_psi_width	SU_psi_centerWidth	SU_psi_centerMass	SU_incoming_NO	SU_absorbed_NO	SU_outgoing_NO	SU_incoming_R	SU_absorbed_R	SU_outgoing_R	SU_efficiency	SU_S1S0	SU_S2S0	SU_S3S0	SU_focus_horizontal_z0	SU_focus_horizontal_width	SU_focus_horizontal_theta	SU_focus_horizontal_depth	SU_focus_vertical_z0	SU_focus_vertical_width	SU_focus_vertical_theta	SU_focus_vertical_depth
21	1176.92307692	1.01843663660305	-1.01112434771093	0.105228456260731	-0.106851242635636	0.533034613667907	-0.000480444205185615	0.00365614444606188	0.0560271128139181	5.57300928067939e-05	-0.000811393187452644	1.17692254158851	1176.9230770109	1176.9230770109	0	0	0	0.00330872943254943	-2.52005100160658e-06	8.72207078213456e-06	0.00169321895745855	8.97346965628349e-07	-1.80648401855335e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-9.22398	0.226831	2.45393e-05	18487.2	0.860256	0.0238042	1.26033e-05	3777.46
22	1228.20512821	1.01653528317036	-1.00924615290378	0.105301837425108	-0.105975193613353	0.532046895552483	-0.000580468824057934	0.00364456513329281	0.0557826474697513	-4.92080291452646e-05	-0.000336678094122245	1.22820417547473	1228.20512827557	1228.20512827557	0	0	0	0.00328929723237806	4.84549651070458e-06	1.20468151736247e-05	0.00167102779022018	-8.92021462864639e-07	1.41600265104571e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	4.07435	0.226892	2.44058e-05	18593.3	-2.65261	0.0235781	1.23895e-05	3806.13
23	1279.48717949	1.01412028356686	-1.02101213986341	0.104302225891689	-0.104847462297059	0.533417169158028	4.19545935579912e-05	-0.00344592814827416	0.0551325033079944	6.91001618054188e-06	-0.000272618202684941	1.27948640179125	1279.48717977288	1279.48717977288	0	0	0	0.00326651317688841	-1.96619209918503e-06	-5.61225440470769e-06	0.0016521173311986	-1.80363341399019e-06	-3.69168183097634e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	3.43418	0.226984	2.43005e-05	18681.4	-0.54499	0.0234293	1.21826e-05	3846.36
24	1330.76923077	1.02094168692008	-1.017067586854	0.104458527641116	-0.104254659409228	0.532817672364125	-0.00101668579548986	0.00193705003303957	0.0547688452177007	1.49343616968473e-05	0.000101934115943933	1.33076912341517	1330.7692307491	1330.7692307491	0	0	0	0.00326977796730793	3.47682952100709e-06	3.39786384748525e-05	0.00161943442033005	-2.85706084403661e-07	-9.48136275119495e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	11.8097	0.226898	2.42024e-05	18750.1	-0.802047	0.0232582	1.19921e-05	3878.92
25	1382.05128205	1.01992993349728	-1.01508857069432	0.102903317908625	-0.103491680554347	0.535407121902611	-0.000655370186690096	0.00242068140148355	0.0542208337981422	-3.28881513238996e-05	-0.000294181322860992	1.38205105068982	1382.05128203085	1382.05128203085	0	0	0	0.00325860573124285	7.09609376687301e-06	2.56572571833303e-06	0.0015929462239029	-1.08919343765903e-06	-1.04739623575829e-07	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-12.263	0.226837	2.411e-05	18816.8	0.832878	0.0231047	1.181e-05	3912.74
26	1433.33333333	1.01995290031021	-1.00793322452504	0.103202979478526	-0.103171603079216	0.534559818035646	-0.000157666970385328	0.00600983789258835	0.0539104660688723	-2.22558363651044e-05	1.56881996548203e-05	1.43333297467984	1433.33333322895	1433.33333322895	0	0	0	0.00323690657858531	-1.54342543695293e-06	-2.08010148980923e-05	0.00156393103887012	-2.5517846551546e-06	5.38741550046512e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	5.68511	0.226951	2.40399e-05	18881.1	-1.3897	0.0229583	1.16377e-05	3945.5
27	1484.61538462	1.01857296493503	-1.01700923645957	0.10183829316199	-0.102117119622249	0.535787086466404	-0.000527453675950362	0.000781864237733298	0.0539319902447695	5.06143298307365e-06	-0.00013941323012949	1.48461350969819	1484.61538555592	1484.61538555592	0	0	0	0.00322244157251554	-3.18698508724427e-06	-3.00394946092328e-05	0.0015387032916935	2.46390547782214e-06	-4.07502162304762e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-11.3615	0.226977	2.39524e-05	18952.4	-1.2212	0.0228208	1.14709e-05	3978.9
28	1535.8974359	1.00577805472037	-1.01503825496241	0.101959483648073	-0.100618632048381	0.533810985382061	-1.44675862708277e-05	-0.00463010012102383	0.05341475354405	-1.34377266797943e-05	0.000670425799845692	1.53589575164256	1535.89743626457	1535.89743626457	0	0	0	0.00321703697189746	9.71404979910285e-07	9.90975480595364e-06	0.00152646004496556	2.93183037495593e-07	-9.48769042787186e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	6.84688	0.226944	2.38755e-05	19010.6	0.901446	0.0227058	1.1326e-05	4009.51
29	1587.17948718	1.01332138275272	-1.02038824239276	0.101287276269654	-0.101383391697209	0.532682894646401	-0.000474479342433276	-0.00353342982002047	0.0532112471700579	2.74232746143542e-05	-4.80577137776245e-05	1.58717733486696	1587.1794869418	1587.1794869418	0	0	0	0.00321090373229759	-1.54875894027031e-06	3.14937563295377e-05	0.00150839491727256	-1.43519304479222e-06	2.58843943315304e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-11.8813	0.226716	2.38009e-05	19051	2.63252	0.0225664	1.11828e-05	4035.9
30	1638.46153846	1.01729398376585	-1.01752922507633	0.100805453674119	-0.101051474616229	0.535113219577228	-0.000730920411865177	-0.000117620655237571	0.0531937600351908	1.55455968591303e-06	-0.000123010471055396	1.63846112881993	1638.46153860499	1638.46153860499	0	0	0	0.00320431266979142	1.08922148618303e-06	3.38736185818977e-06	0.00147876740106752	-6.31308302359297e-07	-1.09907783385323e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	2.08293	0.226825	2.37324e-05	19115.3	3.05932	0.0224859	1.10336e-05	4075.9
31	1689.74358974	1.02016598253814	-1.01753766131895	0.100518513798252	-0.099802843415581	0.535914822331426	0.00012998109380824	0.00131416060959255	0.0527081030352569	5.0990794220742e-05	0.000357835191335323	1.68974337185364	1689.74358979434	1689.74358979434	0	0	0	0.00317175226797076	-5.63397416004159e-06	-3.13644898795977e-05	0.00146468387717919	2.37722373664393e-06	-1.32110260881524e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	1.58847	0.226963	2.36677e-05	19179.2	-3.54359	0.0223811	1.09065e-05	4104.18
32	1741.02564103	1.01504158638262	-1.01168567665256	0.100067224604904	-0.100109321439899	0.534563777020926	-0.00121132200340934	0.00167795486503364	0.0524688457597007	-3.47191086444744e-05	-2.10484174974906e-05	1.7410239710423	1741.0256405675	1741.0256405675	0	0	0	0.00318814866787021	-3.0041813123122e-06	1.20633319618778e-05	0.00145136289410112	-2.32243764014236e-06	4.93265522863093e-07	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-3.94706	0.226601	2.36125e-05	19193.3	-0.353094	0.0222646	1.07864e-05	4128.27
33	1792.30769231	1.01504513001398	-1.02018884417739	0.0995444157831582	-0.0997825844580615	0.535182603012219	-1.71686466595711e-05	-0.00257185708170438	0.0524339879191808	-2.58007727469423e-05	-0.000119084337451614	1.79230516674897	1792.30769289585	1792.30769289585	0	0	0	0.00319773664926522	6.57549897401313e-07	1.59221249997239e-06	0.00143812354776933	1.64119566434327e-06	2.96072449400536e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-3.88864	0.226702	2.35648e-05	19240.7	0.029812	0.0221959	1.06601e-05	4164.3
34	1843.58974359	1.01014240452669	-1.02003087310517	0.0992447305697835	-0.0994155520329332	0.534907636247954	0.000393433979226143	-0.00494423428923874	0.0521323919415391	-2.9053638399959e-05	-8.54107315748087e-05	1.84358876982833	1843.58974360559	1843.58974360559	0	0	0	0.00319099803574747	1.98941710794582e-06	2.82483439970676e-05	0.00142669943189104	-2.03834298043029e-07	6.12078244714188e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-9.87277	0.227095	2.35121e-05	19317.3	1.10036	0.0221101	1.05499e-05	4191.54
35	1894.87179487	1.01781486407642	-1.00806032096595	0.0979664261299404	-0.0989407795453459	0.533698776354998	-0.000205801713051124	0.00487727155523365	0.0519913655294581	-2.40292578577508e-05	-0.000487176707702763	1.89487057701695	1894.87179521215	1894.87179521215	0	0	0	0.00315414025903668	2.80734815163628e-06	-3.40411452462702e-06	0.00140199093190755	1.31521490491569e-06	1.82405263315574e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-7.45242	0.226799	2.34702e-05	19326.6	0.16977	0.0220029	1.04518e-05	4210.37
36	1946.15384615	1.01702602571363	-1.01089726706287	0.0977093803766785	-0.0986130726088232	0.531582179638113	-0.00093644692165501	0.00306437932537884	0.0514778774387869	-4.08103448524925e-05	-0.000451846116072366	1.94615115026249	1946.1538457585	1946.1538457585	0	0	0	0.00315211326250872	-4.88230701700025e-07	-7.39299299900437e-06	0.00140062404759182	-1.39708940060691e-06	-5.40462080559842e-07	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	5.11444	0.226774	2.34296e-05	19357.9	-0.230425	0.0219337	1.03534e-05	4237.02
37	1997.43589744	1.01493017848138	-1.01658958802748	0.0964980677270809	-0.0978993494273173	0.532825636754814	-0.000101102063710334	-0.000829704773052997	0.0512684849770765	-3.47401052007909e-05	-0.000700640850118173	1.99743416491197	1997.43589680438	1997.43589680438	0	0	0	0.00314936781445639	-3.95170604185289e-06	-4.71681749098949e-05	0.00137982885794654	-6.73535927690218e-07	-7.79260194936618e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-5.2697	0.226753	2.33879e-05	19390.6	-2.40153	0.0218579	1.02459e-05	4266.69
38	2048.71794872	1.01675150876048	-0.999960610555048	0.0965441815910958	-0.0978339547541334	0.535368100112846	0.000392830254108134	0.00839544910271828	0.0513434551469208	-1.83751035915322e-05	-0.00064488658151883	2.04871715698664	2048.7179489616	2048.7179489616	0	0	0	0.00315303354186145	3.48371228365467e-06	-2.52243912136005e-05	0.00137513154228395	1.34730982763215e-06	-3.90868498317647e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-17.3884	0.226582	2.33419e-05	19414.1	0.126904	0.0217784	1.01421e-05	4294.66
39	2100	0.998454430722421	-1.01182555149817	0.0974469509313568	-0.0956630450619927	0.535757846213179	-0.00035802833144627	-0.00668556038787482	0.051028569758076	-8.12899806707269e-05	0.000891952934682014	2.09999956134016	2100.00000019382	2100.00000019382	0	0	0	0.00312766612813407	-2.76266038941753e-06	-2.08633198129325e-06	0.00135365478655705	-7.92168381210669e-07	-3.76849906321341e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-1.81568	0.226888	2.33011e-05	19474.5	-0.392301	0.0217079	1.00603e-05	4315.54
