,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
0,0,2.25,0.02,100,1,100000.0,,1196.8,1.1968,100.0,0.0058420637107559,0.0572088922929507,0.0071753451779353,16501119360000.0,9259581760000.0,6358885632000.0,4609164032000.0,17.431821076226164,20.80959414423358,286916441182449.4,161002789414228.03,110566367990907.66,80142741352038.16,6.827813363115889e-05,3.831418626729583e-05,2.6311720644807957e-05,1.9071743609569717e-05,3.285373981603154e-05,1.843583355234341e-05,1.2660545597897505e-05,9.17684870784056e-06
1,1,2.25,0.02,105,1,100000.0,,1249.2,1.2492,105.0,0.0061808459558818,0.0586665297512172,0.0066501745578192,17223594840000.0,9664997940000.0,6637299408000.0,4810969008000.0,17.428915375951746,21.75366572750109,299933016951066.9,168307024050389.6,115582446889987.92,83778587596381.33,7.530325650987521e-05,4.22563248731898e-05,2.9018928074916728e-05,2.1034031317847928e-05,3.821389510678021e-05,2.144367775237372e-05,1.4726139677912116e-05,1.067407046795595e-05
2,2,2.25,0.02,110,1,100000.0,,1255.2,1.2552,110.0,0.0062093688496388,0.0496850725819688,0.0067605380639463,17306321040000.0,9711419640000.0,6669178848000.0,4834076448000.0,17.773598810282486,22.3267493814975,307834522447273.1,172740943627177.1,118627377883747.8,85985670287998.44,7.838656853584928e-05,4.398652142369205e-05,3.0207115864677628e-05,2.1895275369206183e-05,4.335565719954606e-05,2.432897089217403e-05,1.6707573566215984e-05,1.2110289695393702e-05
3,3,2.25,0.02,115,1,100000.0,,1313.6,1.3136,115.0,0.006573060661924,0.0558036070352742,0.0066601773023584,18111522720000.0,10163257520000.0,6979472064000.0,5058988864000.0,18.12159870487015,23.80496127026347,328215664506011.6,184177795099964.9,126481472419614.66,91678619042489.48,8.510501744448957e-05,4.775657032841906e-05,3.279614314836846e-05,2.377190157770447e-05,4.9424536960223565e-05,2.7734514910710392e-05,1.9046282321093312e-05,1.3805475439898704e-05
4,4,2.25,0.02,120,1,100000.0,,1323.4,1.3234,120.0,0.006420476476876,0.0568055444886912,0.0075725937654606,18246642180000.0,10239079630000.0,7031541816000.0,5096731016000.0,19.050652702744483,25.191414624120075,347331667412980.4,194904715376085.8,133848031837459.72,97018183656996.16,8.865738212288725e-05,4.9749975167408094e-05,3.4165085474053646e-05,2.4764163444733224e-05,5.4675682612929805e-05,3.0681188493520115e-05,2.1069868352685592e-05,1.527224815641621e-05
5,5,2.25,0.02,125,1,100000.0,,1300.4,1.3004,125.0,0.0076489880690701,0.0502886837503324,0.0067261240560069,17929525080000.0,10061129780000.0,6909337296000.0,5008152496000.0,16.454046795600817,21.427777223494804,295439764024379.3,165785640989318.1,113850923054961.52,82523512754212.12,9.07069213001548e-05,5.090007142258917e-05,3.4954897664500564e-05,2.533664959260849e-05,5.647165658779953e-05,3.168899696374127e-05,2.176196643737244e-05,1.5773907375211026e-05
6,6,2.25,0.02,130,1,100000.0,,1262.8,1.2628,130.0,0.0073710737094813,0.0548111317877768,0.0068689843510236,17411107560000.0,9770220460000.0,6709559472000.0,4863345872000.0,17.77200056196444,22.411579075499496,309004128819264.4,173397266728185.8,119078098407106.95,86312369798726.67,9.148064772836274e-05,5.133424700580634e-05,3.525306155024014e-05,2.555277020513789e-05,5.7792946323361e-05,3.243043698778824e-05,2.227113979294115e-05,1.6142975739128413e-05
7,7,2.25,0.02,135,1,100000.0,,1250.2,1.2502,135.0,0.0081820125889236,0.0531715152511576,0.0070722594611447,17237382540000.0,9672734890000.0,6642612648000.0,4814820248000.0,16.622745147561183,20.77198846279241,286397945328442.9,160711836137201.7,110366559980047.14,79997912847444.64,9.416309962035445e-05,5.2839501411236194e-05,3.628677353197792e-05,2.630204427003008e-05,5.9860440582790296e-05,3.359060871407264e-05,2.3067871169383195e-05,1.67204771782143e-05
8,8,2.25,0.02,140,1,100000.0,,1173.6,1.1736,140.0,0.0081000404736186,0.0518631492420141,0.0072732736303494,16181244720000.0,9080084520000.0,6235618464000.0,4519815264000.0,17.463388226971713,20.49586893120817,282590892062818.9,158575513127311.06,108899470640052.48,78934510262626.16,9.218657259342951e-05,5.173037582966954e-05,3.552509736695123e-05,2.57499521917883e-05,5.891544470821258e-05,3.3060325502818105e-05,2.2703706741622127e-05,1.6456516843132402e-05
9,9,2.25,0.02,145,1,100000.0,,1077.2,1.0772000000000002,145.0,0.0092579555006238,0.0517570653042948,0.0070282892158292,14852110440000.0,8334242540000.0,5723422128000.0,4148555728000.0,15.854657627767748,17.100836833637445,235781208011143.0,132308319540011.23,90860850297955.84,65859426847177.88,8.767422307450761e-05,4.919827674059572e-05,3.3786214452620583e-05,2.4489543206877627e-05,5.635576280061621e-05,3.1623963315145214e-05,2.171730550728157e-05,1.574153542129907e-05
10,10,2.25,0.02,150,1,100000.0,,1021.8,1.0218,150.0,0.0085024402852638,0.050571902008501,0.0071647167706889,14066268351428.574,7905615510000.0,5429068632000.0,3935197032000.0,17.769020086854432,18.160539826356786,250001004701840.44,140507188609531.12,96491306626991.92,69940597400858.31,8.584109699712769e-05,4.824497093765355e-05,3.313154529689067e-05,2.401501391038184e-05,5.572300006111971e-05,3.131780245769157e-05,2.1507053907587e-05,1.5589137003232556e-05
11,11,2.25,0.02,155,1,100000.0,,942.2,0.9422,155.0,0.0093846967374417,0.055908852137058,0.0067917396197712,12912215015000.0,7289754290000.0,5006134728000.0,3628638328000.0,16.590885544726635,15.64887085907844,214457212135840.1,121074531393146.95,83146206603289.92,60267557407317.25,8.172637861197021e-05,4.613966065471178e-05,3.168575350455165e-05,2.296704860440512e-05,5.2573309127701504e-05,2.968092657285712e-05,2.0382952753212488e-05,1.477434540154069e-05
12,12,2.25,0.02,160,1,100000.0,,782.6,0.7826000000000001,160.0,0.0096019703658668,0.0544330449232056,0.0067177987773234,10686820386666.666,6054937070000.0,4158141624000.0,3013980424000.0,16.931134370863912,13.20967268082949,180385125615489.72,102202577047943.7,70186161274690.48,50873619815317.766,6.979831123235025e-05,3.954631656684706e-05,2.715786854453428e-05,1.968506403878842e-05,4.475667733217185e-05,2.535823143867056e-05,1.741440355814655e-05,1.2622627165209232e-05
13,13,2.25,0.02,165,1,100000.0,,722.4,0.7224,165.0,0.0097305930185483,0.0519769127314175,0.0064271009756581,9822717304615.385,5589172680000.0,3838284576000.0,2782135776000.0,17.47291420655509,12.63729656431748,171833598623861.97,97774131653296.16,67144989597394.23,48669262020362.055,6.600366535720423e-05,3.755639827087471e-05,2.579132055251001e-05,1.869453767656809e-05,4.214184962960347e-05,2.3978912080038784e-05,1.6467175672602936e-05,1.1936040088035797e-05
14,14,2.25,0.02,170,1,100000.0,,670.8,0.6708000000000001,170.0,0.0102502803595256,0.0497807674362243,0.0069175644059277,9080728915555.557,5189946060000.0,3564121392000.0,2583411792000.0,17.45911170937597,11.763353912680817,159242438906968.2,91012481054715.84,62501522543012.21,45303499122672.86,6.29757335604824e-05,3.599277803656794e-05,2.471752667071834e-05,1.791621071424165e-05,3.993319605078125e-05,2.282318252579178e-05,1.56734948944142e-05,1.1360749839488474e-05
15,15,2.25,0.02,175,1,100000.0,,604.2,0.6042,175.0,0.0105962110185259,0.0527151363449078,0.0063726520650999,8141579895000.0,4674665190000.0,3210259608000.0,2326919208000.0,16.541798064821585,9.996467793523442,134702153606033.56,77342171495101.2,53113632539260.49,38498796625129.22,5.847485332557524e-05,3.3574608964937545e-05,2.3056883569993955e-05,1.671251294503985e-05,3.655415900218429e-05,2.0988365506574205e-05,1.4413460490781294e-05,1.0447428608629869e-05
16,16,2.25,0.02,180,1,100000.0,,541.6,0.5416,180.0,0.0112795756952209,0.0478473335584124,0.0067830934664345,7257716402758.62,4190332120000.001,2877650784000.0,2085831584000.0,16.22218251544659,8.767091725840912,117483503366183.44,67830550328244.83,46581662441406.96,33764174338227.55,5.3888159739153135e-05,3.111299396554477e-05,2.13664045983871e-05,1.5487188993061173e-05,3.3283879767758684e-05,1.9216858682442503e-05,1.3196903460136207e-05,9.56562144413107e-06
17,17,2.25,0.02,185,1,100000.0,,508.0,0.508,185.0,0.0126416910181489,0.0515790883506697,0.0060378220324263,6733533226666.669,3930370600000.0,2699125920000.0,1956429920000.0,15.273479987454444,7.814665659915565,103583289126638.7,60461677477483.73,41521194170889.77,30096152976093.227,5.147072988834359e-05,3.0043520497162816e-05,2.063195895622246e-05,1.4954834641492236e-05,3.145401144300337e-05,1.8359740371971574e-05,1.2608289692188036e-05,9.138971624496966e-06
18,18,2.25,0.02,190,1,100000.0,,493.8,0.4937999999999999,190.0,0.0117150864296774,0.050805266277149,0.0068685680906698,6553049142720.0,3820505910000.0,2623677912000.0,1901742312000.0,16.677067610739382,8.23538958144196,109289008984676.9,63716797422137.375,43756601339700.67,31716461771632.53,5.152273304951767e-05,3.0038368678146405e-05,2.062842101803354e-05,1.4952270208289383e-05,3.119073729495088e-05,1.8184572338359605e-05,1.2487995544893763e-05,9.05177781585561e-06
19,19,2.25,0.02,195,1,100000.0,,473.8,0.4737999999999999,195.0,0.0112839006727426,0.0534604888728837,0.0066640224034101,6257165668750.0,3665766910000.0,2517413112000.0,1824717512000.0,17.5295999272428,8.281123440040167,109363362785352.95,64070637999418.77,43999596306559.02,31892593837220.3,5.0620041588409935e-05,2.9655803164100453e-05,2.03656996107801e-05,1.4761839662620312e-05,3.030919045433518e-05,1.7756670243091968e-05,1.219413988747581e-05,8.838779972341235e-06
20,20,2.25,0.02,200,1,100000.0,,444.0,0.444,200.0,0.0136155467148511,0.0459876132185419,0.0070108039138314,5830347609022.557,3435205800000.0005,2359078560000.0,1709950560000.0002,14.902488293993468,6.631110377672385,87075852557718.12,51304569436532.36,35232680903064.016,25537997530906.992,4.845872897547709e-05,2.855159211769442e-05,1.9607398432640603e-05,1.4212193904232218e-05,2.8750240930518098e-05,1.6939469311070896e-05,1.1632938809524984e-05,8.431999921101815e-06
21,21,2.25,0.02,205,1,100000.0,,440.0,0.44,205.0,0.0126237699872376,0.0564251549192912,0.006353350853891,5746365956204.381,3404258000000.0,2337825600000.0,1694545600000.0,16.35283035715681,7.206606933120765,94117728955071.88,55757157511208.7,38290432221334.58,27754372885112.023,4.901513238856465e-05,2.9037509588937786e-05,1.99410953215838e-05,1.445407019940684e-05,2.8805499846880303e-05,1.706493356759914e-05,1.1719099597219888e-05,8.49445256242841e-06
22,22,2.25,0.02,210,1,100000.0,,422.4,0.4223999999999999,210.0,0.0119965465168547,0.0450512424088867,0.0066260982508155,5482135475744.682,3268087680000.0,2244312576000.0,1626763776000.0,17.958254022867386,7.571758016239775,98270367506113.28,58582313183746.336,40230567562205.83,29160657342463.27,4.799958792499513e-05,2.861418924008713e-05,1.96503861131325e-05,1.4243353022701857e-05,2.794384595963321e-05,1.6658278350935856e-05,1.1439834930473433e-05,8.292030828202097e-06
23,23,2.25,0.02,215,1,100000.0,,423.8,0.4237999999999999,215.0,0.0133370635062021,0.0456776231180236,0.0069362747590834,5467212317517.24,3278919410000.0,2251751112000.0,1632155512000.0,16.138645572301133,6.836014000034981,88187682736459.55,52889898517570.65,36321383025545.86,26327130557494.72,4.9083993809895534e-05,2.943775560131771e-05,2.0215958558753167e-05,1.4653301608775912e-05,2.8398226244703732e-05,1.703162230319526e-05,1.1696223561769069e-05,8.477871135131765e-06
24,24,2.25,0.02,220,1,100000.0,,398.8,0.3987999999999999,220.0,0.0147072650907374,0.0479118799195776,0.0063991608577775,5112756377600.0,3085495660000.0,2118920112000.0,1535874512000.0,15.628746532672924,6.246214224469048,80078665025100.22,48326647144005.8,33187635266017.93,24055670069844.176,4.7055714645085726e-05,2.8397637710984533e-05,1.950167244088581e-05,1.4135559653100004e-05,2.7072390869185357e-05,1.633790823647772e-05,1.1219825326308544e-05,8.132559434486774e-06
25,25,2.25,0.02,225,1,100000.0,,395.2,0.3952,225.0,0.0132370635503434,0.0500811923986611,0.00707907838779,5031046847581.699,3057642640000.0,2099792448000.0,1522010048000.0,17.579197222223698,6.980571575277814,88865340632894.4,54008333249345.69,37089452116629.1,26883856473572.93,4.74231551023179e-05,2.8821647970517348e-05,1.97928554356525e-05,1.4346620248285852e-05,2.7148109053233757e-05,1.649939234345195e-05,1.1330722232264993e-05,8.212941762425231e-06
26,26,2.25,0.02,230,1,100000.0,,401.0,0.4009999999999999,230.0,0.0142573822994051,0.0529469328198718,0.0070447587784378,5071020366455.696,3102516950000.0,2130609240000.0,1544347240000.0,16.570060601713795,6.636510092941213,83924882402727.36,51346346763581.52,35261370886218.96,25558793130338.914,4.891636226206991e-05,2.9927673738862335e-05,2.055240284818604e-05,1.4897169325128918e-05,2.789616335201338e-05,1.706723960568153e-05,1.1720683235963956e-05,8.495600444488453e-06
27,27,2.25,0.02,235,1,100000.0,,415.6,0.4155999999999999,235.0,0.0129712783499996,0.0471395584608989,0.0061814100569573,5223166135555.556,3215476420000.0,2208182544000.0,1600575344000.0,18.48637536253612,7.700982546081429,96784194526460.34,59582116909904.71,40917168503141.69,29658332020770.64,5.1577632948125184e-05,3.175213237334093e-05,2.180532377892193e-05,1.5805334438183726e-05,2.9255370794600302e-05,1.8010140307051197e-05,1.2368206836678113e-05,8.96495036883111e-06
28,28,2.25,0.02,240,1,100000.0,,403.0,0.4029999999999999,240.0,0.0163819679538846,0.0537901803689544,0.0064087331781013,5029228303614.458,3117990850000.0,2141235720000.0,1552049720000.0,14.833598660798234,5.998435441730529,74857323327432.42,46409595090897.01,31871127126420.312,23101414510610.28,5.078107200489662e-05,3.1482944958109185e-05,2.162046316303247e-05,1.5671340378374994e-05,2.869057517521882e-05,1.7787411005636308e-05,1.2215250667457729e-05,8.854081874814595e-06
29,29,2.25,0.02,245,1,100000.0,,413.8,0.4138,245.0,0.0144510793755898,0.0523531210573881,0.0068615950459939,5126595462117.646,3201549910000.0,2198618712000.0,1593643112000.0,17.3232157660452,7.16875556654365,88814185008393.7,55464303380569.89,38089318826382.39,27608598188095.57,5.289092434356263e-05,3.3030289852830174e-05,2.2683080187625792e-05,1.6441565926213e-05,2.9754582010712075e-05,1.858168448484004e-05,1.2760706644379442e-05,9.249449273343548e-06
30,30,2.25,0.02,250,1,100000.0,,424.8,0.4248,250.0,0.0148434786832239,0.0490628250483108,0.007077174431299,5223655737931.034,3286656360000.0,2257064352000.0,1636006752000.0,17.25411927638287,7.341929516989336,90281808495542.78,56804141576470.64,39009433586848.414,28275532633010.008,5.508419641555534e-05,3.465826110439294e-05,2.380106621217725e-05,1.725192504742596e-05,3.085443436462513e-05,1.941320945067927e-05,1.3331744548139398e-05,9.663359432959244e-06
31,31,2.25,0.02,255,1,100000.0,,432.6,0.4326,255.0,0.0169974502497438,0.0487342894897653,0.006385265976005,5275467547118.644,3347004570000.0,2298507624000.0,1666046424000.0,15.740791028100698,6.860678158486877,83664551494043.5,53080723878305.04,36452429618798.81,26422118151091.0,5.682076213957371e-05,3.604976219707927e-05,2.4756659729739688e-05,1.794457585532795e-05,3.167811609747374e-05,2.0098085790546646e-05,1.3802073600807043e-05,1.0004271957293878e-05
32,32,2.25,0.02,260,1,100000.0,,426.6,0.4266,260.0,0.0148782603141171,0.0464443703556782,0.0065186304461786,5161581538021.979,3300582870000.0,2266628184000.0,1642938984000.0,19.083780933004583,8.09006234525533,97884473611619.08,62592407862123.23,42984442855304.43,31156771706541.137,5.671860711521019e-05,3.626881832161532e-05,2.490709339715771e-05,1.8053615943354648e-05,3.151783654840095e-05,2.015413892908828e-05,1.3840567293777134e-05,1.0032173661360348e-05
33,33,2.25,0.02,265,1,100000.0,,441.6,0.4415999999999999,265.0,0.0164257881030948,0.0483501462758623,0.0058812937889184,5302317696000.0,3416637120000.0,2346326784000.0,1700707584000.0,16.546030439174395,7.292358199627396,87559782444418.14,56420610772607.2,38746049280588.27,28084621592733.016,5.947563440235259e-05,3.832412010844302e-05,2.631854256845188e-05,1.9076688401300267e-05,3.2891769461245e-05,2.119436196147762e-05,1.4554925616451104e-05,1.0549967953847583e-05
34,34,2.25,0.02,270,1,100000.0,,450.6,0.4506,270.0,0.0175641189623888,0.0514106331990708,0.0065322252825841,5365006674285.714,3486269670000.0,2394145944000.0,1735368744000.0,15.974805479284845,7.208143969161611,85822770758465.1,55769049482204.93,38298598862708.24,27760292379793.965,6.138852732938665e-05,3.9891275800304674e-05,2.739476437526555e-05,1.985677521674114e-05,3.381811157306477e-05,2.197556570412814e-05,1.5091406138310544e-05,1.0938829598532556e-05
35,35,2.25,0.02,275,1,100000.0,,442.6,0.4426,275.0,0.0189430364246958,0.0506557280540419,0.0064493387645276,5224282029484.537,3424374070000.0,2351640024000.0,1704558824000.0,14.911703707652816,6.590500173052566,77791756934914.69,50990370313899.05,35016909139469.81,25381597886466.96,6.096817120816794e-05,3.996296972527156e-05,2.7443999155106584e-05,1.989246247226037e-05,3.346056733533721e-05,2.1932487278433386e-05,1.506182264422846e-05,1.0917386348133796e-05
36,36,2.25,0.02,280,1,100000.0,,441.2,0.4412,280.0,0.0175360947268813,0.0498435754092572,0.0065862107219205,5158638504771.574,3413542340000.0,2344201488000.0,1699167088000.0,16.145903179323067,7.117661670255697,83221766899632.36,55068992459684.83,37817844692869.38,27411823330955.555,6.13475976722192e-05,4.059455259710596e-05,2.787772967914324e-05,2.0206846980280127e-05,3.358007645240639e-05,2.22204003332856e-05,1.525954282589733e-05,1.1060701514106053e-05
37,37,2.25,0.02,285,1,100000.0,,440.2,0.4402,285.0,0.0176044584608461,0.0459047174078888,0.0064133230764985,5099936442985.073,3405805390000.0,2338888248000.0,1695315848000.0,16.23402582149179,7.14645917394075,82795292093333.55,55291797305820.88,37970852741348.95,27522729429047.57,6.177211594361115e-05,4.125224064739811e-05,2.832938756194385e-05,2.053422592505904e-05,3.3771617865971845e-05,2.2553135601357504e-05,1.5488044022845788e-05,1.1226327939740088e-05
38,38,2.25,0.02,290,1,100000.0,,441.0,0.441,290.0,0.0179965834731091,0.0479527951769788,0.0067707857624468,5062368933658.537,3411994950000.0,2343138840000.0,1698396840000.0,16.604236535683633,7.299138299579512,83788959116255.16,56473068066931.71,38782073578857.85,28110733384872.6,6.247044476973212e-05,4.21045650508405e-05,2.891470918265308e-05,2.0958489470191607e-05,3.411230860332027e-05,2.299141493096501e-05,1.5789026097855164e-05,1.1444491283868924e-05
39,39,2.25,0.02,295,1,100000.0,,431.0,0.431,295.0,0.019373346728264,0.0479909115618987,0.0075062294603838,4901173210526.315,3334625450000.0,2290006440000.0,1659884440000.0,15.321011953532627,6.613663865891605,75208148869916.1,51169586647210.06,35139983398809.92,25470806826876.387,6.156805768118564e-05,4.188923819501223e-05,2.8766836537300455e-05,2.0851305709117788e-05,3.357634879891427e-05,2.2844437936302413e-05,1.568809174425057e-05,1.1371330195723808e-05
40,40,2.25,0.02,300,1,100000.0,,451.0,0.4509999999999999,300.0,0.0168789190783968,0.0517147097632045,0.0067057661825453,5077552015094.339,3489364450000.0,2396271240000.0,1736909240000.0,18.363185712496666,8.316293052350181,93628404758482.77,64342743531380.734,44186460897469.08,32028040454933.117,6.489895841257444e-05,4.459946794314784e-05,3.0628048139674e-05,2.220038321578512e-05,3.537402388963515e-05,2.430952180243697e-05,1.669421718139321e-05,1.210060847574527e-05
