Simulation Number,PG.cFactor,ExitSlit.totalHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays
0,2.25,100,1000,1,100000
1,2.25,100,1000,1,100000
2,2.25,100,1000,1,100000
3,2.25,100,1000,1,100000
4,2.25,100,1000,1,100000
5,2.25,100,1000,1,100000
6,2.25,100,1000,1,100000
7,2.25,100,1000,1,100000
8,2.25,100,1000,1,100000
9,2.25,100,1000,1,100000
10,2.25,100,1000,1,100000
11,2.25,100,1000,1,100000
12,2.25,100,1000,1,100000
13,2.25,100,1000,1,100000
14,2.25,100,1000,1,100000
15,2.25,0.05,800,1,100000.0
16,2.25,0.05,800,1,100000.0
17,2.25,0.05,800,1,100000.0
18,2.25,0.05,800,1,100000.0
19,2.25,0.05,800,1,100000.0
20,2.25,0.05,800,1,100000.0
21,2.25,0.05,1100,1,100000.0
22,2.25,0.05,1100,1,100000.0
23,2.25,0.05,1100,1,100000.0
24,2.25,0.05,1100,1,100000.0
25,2.25,0.05,1100,1,100000.0
26,2.25,0.05,1100,1,100000.0
27,2.25,0.05,1100,1,100000.0
28,2.25,0.05,1100,1,100000.0
29,2.25,0.05,1100,1,100000.0
30,2.25,0.05,1100,1,100000.0
31,2.25,0.05,1100,1,100000.0
32,2.25,0.05,1100,1,100000.0
33,2.25,0.05,1100,1,100000.0
34,2.25,0.05,1100,1,100000.0
35,2.25,0.05,1100,1,100000.0
36,2.25,0.05,1100,1,100000.0
37,2.25,0.05,1100,1,100000.0
38,2.25,0.05,1100,1,100000.0
