,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,0.027,100,1,100000.0,,20000.0,20.0,,20.0,0.019979171100928284,0.022290308677922022,0.02048598820530725,0.20020852910282044,20.02085291028205,
1,1,2.5,0.027,200,1,100000.0,,20000.0,20.0,,40.0,0.039909028488599466,0.01653206329618683,0.015303901187344916,0.20045650265481335,20.045650265481335,
2,2,2.5,0.027,300,1,100000.0,,20000.0,20.0,,60.0,0.059868384990918455,0.0144676963314008,0.012401934553047476,0.20043999187382305,20.043999187382305,
3,3,2.5,0.027,400,1,100000.0,,20000.0,20.0,,80.0,0.07988069676916892,0.013303719375466101,0.011022058488119296,0.20029890180820664,20.029890180820665,
4,4,2.5,0.027,500,1,100000.0,,20000.0,20.0,,100.0,0.09983591068822531,0.011652726171370935,0.00906561678274425,0.20032903203093,20.032903203093,
5,5,2.5,0.027,600,1,100000.0,,20000.0,20.0,,120.0,0.11989455940045445,0.011033116098963855,0.008355653188387817,0.20017601118689585,20.017601118689576,
6,6,2.5,0.027,700,1,100000.0,,20000.0,20.0,,140.0,0.13983819383386617,0.011149821941850324,0.008099678892388325,0.20023153734675683,20.023153734675684,
7,7,2.5,0.027,800,1,100000.0,,20000.0,20.0,,160.0,0.15947028685937767,0.010569463834546074,0.007453596716279691,0.2006666428997854,20.066664289978547,
8,8,2.5,0.027,900,1,100000.0,,20000.0,20.0,,180.0,0.17984157914313528,0.010279990158382364,0.007047132715093214,0.20017621161711052,20.01762116171105,
9,9,2.5,0.027,1000,1,100000.0,,20000.0,20.0,,200.0,0.19959673533091063,0.009850141034076925,0.006732942801713934,0.20040485937382443,20.04048593738244,
10,10,2.5,0.027,1100,1,100000.0,,20000.0,20.0,,220.0,0.21964250709027508,0.009402034871100624,0.00655947776043114,0.20032556500243695,20.0325565002437,
11,11,2.5,0.027,1200,1,100000.0,,20000.0,20.0,,240.0,0.23964337073589373,0.009444847888716768,0.006121654310783145,0.20029776179287256,20.02977617928726,
12,12,2.5,0.027,1300,1,100000.0,,20000.0,20.0,,260.0,0.2595157873628432,0.009206221269177849,0.005837510678551032,0.2003738616646333,20.037386166463328,
13,13,2.5,0.027,1400,1,100000.0,,20000.0,20.0,,280.0,0.2792997882447435,0.009368275522807144,0.005576945101940405,0.20050321338962737,20.050321338962735,
14,14,2.5,0.027,1500,1,100000.0,,20000.0,20.0,,300.0,0.2988472767969779,0.008573614086154526,0.005482824007632057,0.20077860602307349,20.077860602307343,
15,15,2.5,0.027,1600,1,100000.0,,20000.0,20.0,,320.0,0.31976989840001807,0.008947589588378255,0.0053029654801404185,0.200143929499137,20.014392949913695,
16,16,2.5,0.027,1700,1,100000.0,,20000.0,20.0,,340.0,0.33966337009880593,0.009088195018384973,0.0051839277340121025,0.2001983698953396,20.01983698953396,
17,17,2.5,0.027,1800,1,100000.0,,20000.0,20.0,,360.0,0.35934843570170416,0.009089717361314656,0.005164765325835241,0.20036278580085376,20.036278580085384,
18,18,2.5,0.027,1900,1,100000.0,,20000.0,20.0,,380.0,0.378184363850587,0.008478043101552915,0.004722091201696919,0.20096560025499305,20.096560025499304,
19,19,2.5,0.027,2000,1,100000.0,,20000.0,20.0,,400.0,0.3983979991199066,0.008755511711862615,0.004734544363694537,0.20080558023418443,20.08055802341844,
20,20,2.5,0.027,2100,1,100000.0,,20000.0,20.0,,420.0,0.4196991854120097,0.008032194731508539,0.0046731118142148715,0.2001434395290352,20.014343952903523,
