,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,0.027,100,1,100000.0,,307.12,0.30712,,20.0,0.0005514859396731709,0.014412881370902788,0.001136902032859657,7.2802703975163645,11.18053496345656,
1,1,2.5,0.027,200,1,100000.0,,447.48,0.44748,,40.0,0.0012444229407662989,0.010783142835928851,0.0011452092863731254,6.514313521092182,14.584577795823549,
2,2,2.5,0.027,300,1,100000.0,,570.4,0.5704,,60.0,0.002200363072838627,0.008642009108071185,0.0011882421324185643,5.469566008098027,15.601737907517547,
3,3,2.5,0.027,400,1,100000.0,,636.8,0.6368,,80.0,0.0033289585038460247,0.008286547056601132,0.0012455561379587396,4.816567806325213,15.335216622962296,
4,4,2.5,0.027,500,1,100000.0,,726.56,0.7265600000000002,,100.0,0.004385030602436472,0.007009208685268291,0.0012323564076449287,4.5761192960351,16.629206945953598,
5,5,2.5,0.027,600,1,100000.0,,795.52,0.79552,,120.0,0.005655657001784675,0.007128281590107919,0.0011792484115997987,4.269748690123963,16.992474074953044,
6,6,2.5,0.027,700,1,100000.0,,853.5200000000002,0.8535199999999998,,140.0,0.007217649501226333,0.006937954657957721,0.0011964029822071147,3.906670223097557,16.67527034558436,
7,7,2.5,0.027,800,1,100000.0,,911.6,0.9116,,160.0,0.008220627718214928,0.006312759788911357,0.0012371324912220903,3.9092918273061494,17.820020646026745,
8,8,2.5,0.027,900,1,100000.0,,982.56,0.98256,,180.0,0.010875003959390596,0.00591074944980448,0.001201990594188324,3.320443669349511,16.317822523436806,
9,9,2.5,0.027,1000,1,100000.0,,1028.48,1.02848,,200.0,0.012290872963394575,0.005925691210239848,0.0012178521847073093,3.2695582623758814,16.81987702709116,
10,10,2.5,0.027,1100,1,100000.0,,1077.96,1.0779599999999998,,220.0,0.013284372317584711,0.005742620530911415,0.0011848635353053495,3.326646745975517,17.929763651274264,
11,11,2.5,0.027,1200,1,100000.0,,1124.76,1.12476,,240.0,0.01625821252336209,0.005589481032384,0.0012290653104751095,2.962402281372632,16.652851404843837,
12,12,2.5,0.027,1300,1,100000.0,,1174.12,1.17412,,260.0,0.01765086480310856,0.0055261535777611885,0.0012172593990863183,2.967864774832319,17.424210771636933,
13,13,2.5,0.027,1400,1,100000.0,,1213.76,1.21376,,280.0,0.019302571665748475,0.005147262625061864,0.0011927984859934084,2.915310340667279,17.69841559878758,
14,14,2.5,0.027,1500,1,100000.0,,1259.24,1.25924,,300.0,0.021183230651449773,0.005085499973589626,0.0012630386176556443,2.8396124675463392,17.879787659543492,
15,15,2.5,0.027,1600,1,100000.0,,1295.56,1.2955599999999998,,320.0,0.0234515539322274,0.005144896966244405,0.0012269493115849522,2.733583387694019,17.707291646315003,
16,16,2.5,0.027,1700,1,100000.0,,1343.28,1.3432799999999996,,340.0,0.025225783716796284,0.005080033373769834,0.0012264225369275664,2.701815536264375,18.1529705275829,
17,17,2.5,0.027,1800,1,100000.0,,1372.24,1.37224,,360.0,0.027570139169692993,0.005069613627748546,0.0012836381495505062,2.6194529441591583,17.970736190080856,
18,18,2.5,0.027,1900,1,100000.0,,1416.72,1.41672,,380.0,0.031157697201606428,0.005161814956072368,0.0012182813606658551,2.442273917777761,17.299088869985063,
19,19,2.5,0.027,2000,1,100000.0,,1471.8799999999999,1.4718799999999999,,400.0,0.03328782625801978,0.004715411168316687,0.0012348127329431515,2.4097611937325847,17.728974059182004,
20,20,2.5,0.027,2100,1,100000.0,,1465.56,1.46556,,420.0,0.033369880182563066,0.00484610045941466,0.0012363891750338872,2.5232882370351715,18.488675877117583,
