Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays
0,2.25,0.008,1000,1,10000
1,2.25,0.008,1000,1,10000
2,2.25,0.008,1000,1,10000
3,2.25,0.008,1000,1,10000
4,2.25,0.008,1000,1,10000
5,2.25,0.008,1000,1,10000
6,2.25,0.008,1000,1,10000
7,2.25,0.008,1000,1,10000
8,2.25,0.008,1000,1,10000
9,2.25,0.008,1000,1,10000
10,2.25,0.008,1000,1,10000
11,2.25,0.008,1000,1,10000
12,2.25,0.008,1000,1,10000
13,2.25,0.008,1000,1,10000
14,2.25,0.008,1000,1,10000
15,2.25,0.008,1000,1,10000
16,2.25,0.008,1000,1,10000
17,2.25,0.008,1000,1,10000
18,2.25,0.008,1000,1,10000
19,2.25,0.008,1000,1,10000
20,2.25,0.008,1000,1,10000
21,2.25,0.008,1000,1,10000
22,2.25,0.008,1000,1,10000
23,2.25,0.008,1000,1,10000
24,2.25,0.008,1000,1,10000
25,2.25,0.008,1000,1,10000
26,2.25,0.008,1000,1,10000
27,2.25,0.008,1000,1,10000
28,2.25,0.008,1000,1,10000
29,2.25,0.008,1000,1,10000
30,2.25,0.008,1000,1,10000
31,2.25,0.008,1000,1,10000
32,2.25,0.008,1000,1,10000
33,2.25,0.008,1000,1,10000
34,2.25,0.008,1000,1,10000
35,2.25,0.008,1000,1,10000
36,2.25,0.008,1000,1,10000
37,2.25,0.008,1000,1,10000
38,2.25,0.008,1000,1,10000
39,2.25,0.008,1000,1,10000
40,2.25,0.008,1000,1,10000
41,2.25,0.008,1000,1,10000
42,2.25,0.008,1000,1,10000
43,2.25,0.008,1000,1,10000
44,2.25,0.008,1000,1,10000
45,2.25,0.008,1000,1,10000
46,2.25,0.008,1000,1,10000
47,2.25,0.008,1000,1,10000
48,2.25,0.008,1000,1,10000
49,2.25,0.008,1000,1,10000
50,2.25,0.008,1000,1,10000
51,2.25,0.008,1000,1,10000
52,2.25,0.008,1000,1,10000
53,2.25,0.008,1000,1,10000
54,2.25,0.008,1000,1,10000
55,2.25,0.008,1000,1,10000
56,2.25,0.008,1000,1,10000
57,2.25,0.008,1000,1,10000
58,2.25,0.008,1000,1,10000
59,2.25,0.008,1000,1,10000
60,2.25,0.008,1000,1,10000
61,2.25,0.008,1000,1,10000
62,2.25,0.008,1000,1,10000
63,2.25,0.008,1000,1,10000
64,2.25,0.008,1000,1,10000
65,2.25,0.008,1000,1,10000
66,2.25,0.008,1000,1,10000
67,2.25,0.008,1000,1,10000
68,2.25,0.008,1000,1,10000
69,2.25,0.008,1000,1,10000
70,2.25,0.008,1000,1,10000
71,2.25,0.008,1000,1,10000
72,2.25,0.008,1000,1,10000
73,2.25,0.008,1000,1,10000
74,2.25,0.008,1000,1,10000
75,2.25,0.008,1000,1,10000
76,2.25,0.008,1000,1,10000
77,2.25,0.008,1000,1,10000
78,2.25,0.008,1000,1,10000
79,2.25,0.008,1000,1,10000
80,2.25,0.008,1000,1,10000
81,2.25,0.008,1000,1,10000
82,2.25,0.008,1000,1,10000
83,2.25,0.008,1000,1,10000
84,2.25,0.008,1000,1,10000
85,2.25,0.008,1000,1,10000
86,2.25,0.008,1000,1,10000
87,2.25,0.008,1000,1,10000
88,2.25,0.008,1000,1,10000
89,2.25,0.008,1000,1,10000
90,2.25,0.008,1000,1,10000
91,2.25,0.008,1000,1,10000
92,2.25,0.008,1000,1,10000
93,2.25,0.008,1000,1,10000
94,2.25,0.008,1000,1,10000
95,2.25,0.008,1000,1,10000
96,2.25,0.008,1000,1,10000
97,2.25,0.008,1000,1,10000
98,2.25,0.008,1000,1,10000
99,2.25,0.008,1000,1,10000
100,2.25,0.008,1000,1,10000
101,2.25,0.008,1000,1,10000
102,2.25,0.008,1000,1,10000
103,2.25,0.008,1000,1,10000
104,2.25,0.008,1000,1,10000
105,2.25,0.008,1000,1,10000
106,2.25,0.008,1000,1,10000
107,2.25,0.008,1000,1,10000
108,2.25,0.008,1000,1,10000
109,2.25,0.008,1000,1,10000
110,2.25,0.008,1000,1,10000
111,2.25,0.008,1000,1,10000
112,2.25,0.008,1000,1,10000
113,2.25,0.008,1000,1,10000
114,2.25,0.008,1000,1,10000
115,2.25,0.008,1000,1,10000
116,2.25,0.008,1000,1,10000
