,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,0.027,100,1,100000.0,,503.92,0.5039199999999999,,20.0,0.0011543420961368156,0.020553230635619327,0.0012049739169714302,3.4798343619237846,8.773300868294525,
1,1,2.5,0.027,200,1,100000.0,,747.4399999999998,0.74744,,40.0,0.0026518224638959966,0.018560347027553697,0.0012152077588447792,3.0267485342171807,11.314045770491864,
2,2,2.5,0.027,300,1,100000.0,,942.96,0.94296,,60.0,0.004172078325073016,0.016014237790248746,0.001162743685589995,2.8819000243542297,13.582876356748132,
3,3,2.5,0.027,400,1,100000.0,,1089.28,1.08928,,80.0,0.006295158893667577,0.01622197084790583,0.0012291633028774997,2.553046788942317,13.898819231740195,
4,4,2.5,0.027,500,1,100000.0,,1221.0,1.221,,100.0,0.008045896882881607,0.015107025260563659,0.0012177602435410027,2.4952019459486583,15.244281428726108,
5,5,2.5,0.027,600,1,100000.0,,1339.76,1.33976,,120.0,0.010042232445339323,0.015506963664525324,0.0012348731701219216,2.394482560885834,16.039090408409873,
6,6,2.5,0.027,700,1,100000.0,,1436.84,1.43684,,140.0,0.012734272071202212,0.014556266905647552,0.0012129124744204552,2.2023818469226635,15.82013507805027,
7,7,2.5,0.027,800,1,100000.0,,1535.76,1.53576,,160.0,0.015313692696281576,0.015062059691515015,0.0012815145878771268,2.095843828498784,16.098296443379983,
8,8,2.5,0.027,900,1,100000.0,,1602.0,1.6020000000000003,,180.0,0.01754799710881798,0.014937448312655288,0.0012364809731276777,2.053171083988329,16.446570203682978,
9,9,2.5,0.027,1000,1,100000.0,,1726.52,1.72652,,200.0,0.020090780516370612,0.014739708720644328,0.001216620813858924,1.9975195697842143,17.237250401670185,
10,10,2.5,0.027,1100,1,100000.0,,1794.72,1.7947200000000003,,220.0,0.023366886932844864,0.014913105978088592,0.0012243451037702747,1.8845977330013617,16.91388789662961,
11,11,2.5,0.027,1200,1,100000.0,,1892.32,1.89232,,240.0,0.025476407249771,0.015122600243859896,0.0012554900858477412,1.8886366352537007,17.873799691341645,
12,12,2.5,0.027,1300,1,100000.0,,1964.04,1.96404,,260.0,0.02993253705255484,0.015082248870788267,0.001245158053304152,1.7445600764851583,17.13004101504033,
13,13,2.5,0.027,1400,1,100000.0,,2045.84,2.04584,,280.0,0.03234867960268275,0.01442598134512138,0.001265541597411152,1.7411244157058043,17.819867366330588,
14,14,2.5,0.027,1500,1,100000.0,,2105.28,2.10528,,300.0,0.03605391227329165,0.014817867052507167,0.0012286303238535296,1.6749940529396998,17.626950198924813,
15,15,2.5,0.027,1600,1,100000.0,,2176.88,2.17688,,320.0,0.03769044602676332,0.014421552231080496,0.001216982355130878,1.7075142491012103,18.585635371742267,
16,16,2.5,0.027,1700,1,100000.0,,2248.52,2.24852,,340.0,0.04117633189976004,0.01434090569691428,0.0012290512243426904,1.6569621140892512,18.625508001868628,
17,17,2.5,0.027,1800,1,100000.0,,2321.16,2.32116,,360.0,0.04583976682998583,0.015078552082554602,0.0012331125502195507,1.5732199189813543,18.256137547544945,
18,18,2.5,0.027,1900,1,100000.0,,2373.24,2.37324,,380.0,0.05172427059113943,0.014958034984270872,0.0012417145215926216,1.4720620696929163,17.4668650427279,
19,19,2.5,0.027,2000,1,100000.0,,2431.16,2.43116,,400.0,0.05526880494993748,0.01477958571305656,0.0012385381006637104,1.4517411348206353,17.64498886734011,
20,20,2.5,0.027,2100,1,100000.0,,2498.72,2.49872,,420.0,0.05903318221977314,0.014579747137187968,0.001208956620467018,1.4255568074949962,17.811277229526105,
