,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
237,237,2.25,0.02,1285,1,100000.0,,10000.0,10.0,128.5,0.128356686175598,0.0147010979654514,0.0037348690095846,31479800000000.0,10259989285714.287,23512914606741.57,28246143373493.99,0.1001117287591717,10.011172875917172,31514971989929.75,10271452644434.371,23539185294476.797,28277702438999.05,0.0017686170291394,0.0005764328797991,0.0013210166893749,0.0015869417905411,0.0011202257546803,0.0003651072827845,0.0008367198174725,0.0010051543299951
238,238,2.25,0.02,1290,1,100000.0,,10000.0,10.0,129.0,0.1288163509141577,0.0142104030318284,0.0036787555455939,31479800000000.0,10016241071428.574,23280413333333.33,28049228915662.656,0.1001426858095292,10.01426858095293,31524717207468.2,10030532826085.746,23313631179559.77,28089251185007.69,0.001775563870265,0.0005649488167743,0.0013130915952294,0.0015820684201121,0.0011240898849121,0.0003576628591425,0.0008313037930537,0.001001590051515
239,239,2.25,0.02,1295,1,100000.0,,10000.0,10.0,129.5,0.1292747417687473,0.0145752581505147,0.0037029108907812,31479800000000.0,9775890000000.002,23049036263736.258,27852735714285.72,0.10017437161103,10.017437161103,31534691834409.03,9792936376885.52,23089227239596.23,27901302978266.65,0.0017824459007699,0.0005535294079656,0.0013050800896128,0.0015770746510193,0.0011278918535451,0.0003502610147508,0.0008258254574023,0.0009979375253682
240,240,2.25,0.02,1300,1,100000.0,,10000.0,10.0,130.0,0.125640760708416,0.0146496387275044,0.0036969135983965,31479800000000.0,9538480952380.951,22818659340659.344,27656989411764.707,0.1048630329999247,10.486303299992478,33010673062310.324,10002340428786.775,23928338274536.03,29001957933644.523,0.0017894590656047,0.0005422118695905,0.0012971193216631,0.001572152632171,0.0011317196279825,0.0003429146981539,0.0008203458935594,0.0009942870592633
241,241,2.25,0.02,1305,1,100000.0,,10000.0,10.0,130.5,0.1302627067880326,0.0144011196247951,0.0037280298305446,31479800000000.0,9304493095238.098,22589717391304.344,27461604705882.35,0.100182382711195,10.018238271119513,31537213712718.797,9321462882008.15,22630917130333.92,27511689925082.617,0.0017962757811261,0.000530925723881,0.0012889968250269,0.0015669926570065,0.0011428457329978,0.0003377912258528,0.0008200993059129,0.0009969687786895
242,242,2.25,0.02,1310,1,100000.0,,10000.0,10.0,131.0,0.1308070186407349,0.0145037323778092,0.0036478357961334,31479800000000.0,9073739277108.43,22361727173913.047,27267088235294.12,0.1001475939992955,10.014759399929554,31526262295790.24,9087131571793.166,22394731741360.586,27307332821312.03,0.0018030259207569,0.0005197042902056,0.0012807823978379,0.0015617401276946,0.0011541927748833,0.0003326845886826,0.0008198827164734,0.0009997355838754
243,243,2.25,0.02,1315,1,100000.0,,10000.0,10.0,131.5,0.1312483222832747,0.0141589929692788,0.0037018230827118,31479800000000.0,8845947142857.146,22134843478260.87,27073165116279.07,0.1001920784812494,10.019207848124944,31540265921740.363,8862938303781.271,22177359749440.85,27125166840660.566,0.0018099740227896,0.0005086097921696,0.0012726730059964,0.0015566085418318,0.0011577648523454,0.0003253364598156,0.0008140758134199,0.0009956975270926
244,244,2.25,0.02,1320,1,100000.0,,10000.0,10.0,132.0,0.1318476618849422,0.0145165380158654,0.0036411927490317,31479800000000.0,8621870000000.002,21909483870967.742,26879580459770.12,0.1001156258266882,10.011562582668828,31516198778989.82,8631839108463.49,21934816892816.684,26910660196887.074,0.0018167894774039,0.000497592827513,0.0012644591055891,0.0015512976237569,0.0011613591086844,0.0003180797609385,0.0008082890825266,0.000991646884814
245,245,2.25,0.02,1325,1,100000.0,,10000.0,10.0,132.5,0.1323663489519663,0.0146884718368577,0.0037101295225797,31479800000000.0,8400367976190.477,21685066666666.66,26686909302325.586,0.1001010056936667,10.01010056936667,31511596390354.887,8408852826135.383,21706969818675.414,26713864600184.59,0.0018235375995835,0.0004866100437398,0.0012561558337772,0.0015458987201146,0.0011761993722911,0.0003138681802492,0.0008102326508244,0.0009971196122524
246,246,2.25,0.02,1330,1,100000.0,,10000.0,10.0,133.0,0.1327917524054942,0.0144315317533469,0.0036866368386951,31479800000000.0,8182824285714.286,21461748387096.773,26494848275862.07,0.1001569301534424,10.015693015344247,31529201298443.387,8195665604421.784,21495428341772.08,26536426681915.73,0.0018304188735442,0.0004757970511714,0.001247911019352,0.0015405647537731,0.0011914238134887,0.0003096973842144,0.0008122681245589,0.0010027571067997
247,247,2.25,0.02,1335,1,100000.0,,10000.0,10.0,133.5,0.133200085495248,0.01487726513357,0.0036904335118544,31479800000000.0,7967909047619.049,21239657446808.508,26303111494252.883,0.1002255940938912,10.02255940938912,31550816569568.76,7985884179837.099,21287572859571.23,26362449760293.53,0.0018372328150701,0.0004650253168628,0.0012395947764002,0.0015351094853109,0.0011957866107515,0.0003026677092875,0.0008068062056252,0.000999145755244
248,248,2.25,0.02,1340,1,100000.0,,10000.0,10.0,134.0,0.1337263981478508,0.0146100634345203,0.0036162039187903,31479800000000.0,7756506428571.427,21018864893617.023,26112095454545.457,0.1002048476073311,10.020484760733112,31544285617092.617,7772395446402.838,21061921535439.758,26165585457308.11,0.0018442490060817,0.000454416142147,0.0012313934869033,0.0015297811958385,0.0012001814771323,0.0002957202823026,0.0008013536399744,0.0009955353367447
249,249,2.25,0.02,1345,1,100000.0,,10000.0,10.0,134.5,0.1341929610039301,0.0147604126959006,0.003718783108362,31479800000000.0,7542844285714.289,20799202127659.57,25921679775280.9,0.1002295611872639,10.022956118726396,31552065402628.32,7560159728610.045,20846949023005.258,25981185891131.797,0.0018510626954263,0.0004435313335756,0.0012230264218051,0.0015242363177278,0.0012045165832529,0.0002886130479557,0.0007958431718497,0.0009918453470193
250,250,2.25,0.02,1350,1,100000.0,,10000.0,10.0,135.0,0.1305108158556757,0.0143646809880966,0.003798136793212,31479800000000.0,7343066470588.237,20581169473684.207,25732081818181.82,0.1048472520302933,10.484725203029331,33005705244632.29,7699003409169.614,21578790628855.48,26979380676550.383,0.001857671613471,0.0004333256926105,0.001214526594937,0.0015184898871387,0.0012088831200749,0.000281987468341,0.0007903553506737,0.0009881600059208
251,251,2.25,0.02,1355,1,100000.0,,10000.0,10.0,135.5,0.1352752975399835,0.0145554865865439,0.003680708742756,31479800000000.0,7141412261904.761,20363675000000.0,25543119101123.6,0.1001661989988025,10.01661989988026,31532119112425.05,7153281217584.414,20397519223969.41,25585571509332.617,0.0018646202198665,0.0004230021061744,0.0012061868295157,0.0015129770949756,0.0012167587551721,0.0002760302128338,0.0007870977529631,0.0009872938773656
252,252,2.25,0.02,1360,1,100000.0,,10000.0,10.0,136.0,0.1358160703096268,0.0147383456708376,0.0036450851014721,31479800000000.0,6938048333333.33,20147829166666.66,25354797777777.78,0.1001355039030814,10.013550390308149,31522456357682.24,6947449659622.678,20175130261573.684,25389154518385.08,0.0018714321439412,0.00041245772423,0.0011977615846713,0.0015073089271362,0.0012247376795975,0.0002699283101132,0.0007838615728978,0.0009864413432429
253,253,2.25,0.02,1365,1,100000.0,,10000.0,10.0,136.5,0.1362637222411422,0.0144974976710767,0.0037425017007096,31479800000000.0,6746816235294.12,19933187500000.0,25166926666666.668,0.1001735521308273,10.017355213082736,31534433863680.195,6758525478633.48,19967781971648.062,25210604404160.43,0.0018781058726067,0.0004025195583486,0.0011892272664858,0.0015014756373334,0.0012289907805585,0.000263399861222,0.0007782039169449,0.0009825323174965
254,254,2.25,0.02,1370,1,100000.0,,10000.0,10.0,137.0,0.1362810590881326,0.0141921329665934,0.0037577315554804,31479800000000.0,6555350941176.474,19719804123711.34,24979878888888.89,0.1005393994346527,10.053939943465275,31649601863229.81,6590710467092.683,19826172635669.266,25114620214392.5,0.0018849853812976,0.0003925291994673,0.0011808061834969,0.0014957752759592,0.0012332735236274,0.0002568167762768,0.0007725561254166,0.0009786283031368
255,255,2.25,0.02,1375,1,100000.0,,10000.0,10.0,137.5,0.1373569898668574,0.0145259595076721,0.0035780297959721,31479800000000.0,6361924117647.061,19507295876288.66,24793420000000.0,0.1001041994149954,10.010419941499546,31512601767441.74,6368553205360.104,19527622364473.188,24819254598597.367,0.0018917261902164,0.0003823092419114,0.0011722584803422,0.0014899193120362,0.0012374816224163,0.0002500893963365,0.0007668384217798,0.0009746377552223
256,256,2.25,0.02,1380,1,100000.0,,10000.0,10.0,138.0,0.1378751651467518,0.0146201377290042,0.003621106067811,31479800000000.0,6176382619047.617,19296480412371.13,24607593478260.867,0.100090601641407,10.0090601641407,31508321215511.64,6181978523080.053,19313963340358.523,24629888361862.94,0.0018983963883423,0.0003724681369328,0.0011636785723722,0.0014839664351402,0.0012417185367508,0.0002436269858174,0.0007611483370952,0.0009706448251509
257,257,2.25,0.02,1385,1,100000.0,,10000.0,10.0,138.5,0.1382513649034695,0.0149289566999757,0.0035899460867648,31479800000000.0,5996239761904.761,19086679591836.727,24422639130434.78,0.1001802215429508,10.01802215429508,31536533381277.824,6007046277722.693,19121077900295.22,24466653987504.965,0.0019052047818773,0.0003629014373555,0.0011551545190417,0.0014780948054743,0.0012458810073178,0.0002373141263502,0.0007553965271771,0.0009665786390379
258,258,2.25,0.02,1390,1,100000.0,,10000.0,10.0,139.0,0.1387444918757455,0.0144726520698717,0.0036760747903063,31479800000000.0,5814676666666.664,18878034693877.55,24238232608695.656,0.1001845587619612,10.018455876196125,31537898729147.883,5825408161934.717,18912875760991.184,24282966390719.55,0.0019119425646194,0.0003531575111182,0.0011465675788151,0.0014721220787842,0.0012500714784929,0.0002309024027363,0.0007496519272935,0.0009625068543385
259,259,2.25,0.02,1395,1,100000.0,,10000.0,10.0,139.5,0.1393030714221413,0.0146670474742398,0.0035684269371276,31479800000000.0,5638429764705.886,18670993939393.945,24054619354838.707,0.1001415344208338,10.014153442083382,31524354752609.64,5646410083617.481,18697419822529.98,24088664921026.35,0.0019188904144706,0.0003436975085025,0.0011381136887446,0.0014662792808004,0.001254187790715,0.0002246408735029,0.000743871709455,0.0009583609141461
260,260,2.25,0.02,1400,1,100000.0,,10000.0,10.0,140.0,0.139713062557671,0.0150057126204946,0.0035825408502886,31479800000000.0,5465459285714.287,18464881818181.82,23871532258064.52,0.1002059446781236,10.020594467812364,31544630972783.96,5476715108248.231,18502909259608.18,23920694408336.57,0.0019256269363056,0.0003343234588483,0.0011295012612784,0.0014602273688847,0.0012583313013898,0.0002184689386745,0.0007380904188807,0.0009542086116322
261,261,2.25,0.02,1405,1,100000.0,,10000.0,10.0,140.5,0.1354863988796258,0.0143362577981223,0.0035947701605245,31479800000000.0,5295841428571.427,18260127272727.277,23689127659574.457,0.1050903152712344,10.509031527123446,33082221066754.062,5565416453550.359,19189625319837.76,24894978942452.008,0.0019322207234662,0.0003250571654355,0.0011208011591399,0.0014540315816703,0.0012624111484284,0.0002123752139384,0.000732272385492,0.0009499875746984
262,262,2.25,0.02,1410,1,100000.0,,10000.0,10.0,141.0,0.1405375182517082,0.0145426387822012,0.0037094155133175,31479800000000.0,5129108690476.189,18056648484848.49,23507554838709.68,0.1003302078571716,10.033020785717166,31583748773021.93,5146045410375.018,18116272956887.324,23585178631816.04,0.001939025838643,0.0003159319398484,0.001112215070344,0.0014479684189726,0.0012665175374365,0.0002063579218389,0.0007264678293187,0.0009457725419309
