,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
0,0,2.25,0.02,100,1,100000.0,,119.51,0.11951,10.0,0.0005681594998155,0.0057198493629311,0.0007042697734747,1647768027000.0,924642894500.0,634985312400.0,460261692400.0,1.8096281913988144,2.163893899096162,29835119912568.15,16741938902612.05,11497287620433.691,8333674739955.104,6.818114764588735e-06,3.825976270725706e-06,2.62743460416193e-06,1.904465306466976e-06,3.2807072571974677e-06,1.8409646288774737e-06,1.2642561868355036e-06,9.16381341138056e-07
1,1,2.25,0.02,105,1,100000.0,,124.16,0.12416,10.5,0.0005606947948024,0.0056291827412972,0.0006943341430438,1711880832000.0,960619712000.0,659691878400.0,478169958400.0,1.888148265378963,2.3449530577581603,32331509274452.18,18142784560222.0,12459298384602.969,9030977014160.535,7.484511950261053e-06,4.199924188484828e-06,2.8842380001454225e-06,2.090606250739672e-06,3.798140583139474e-06,2.1313216696563573e-06,1.4636547409618705e-06,1.0609130557968383e-06
2,2,2.25,0.02,110,1,100000.0,,126.35,0.12635,11.0,0.0006147530895863,0.005655520209765,0.0007035168609896,1742075895000.0,977563632500.0,671327874000.0,486604174000.0,1.8017557463831375,2.275714550382528,31376869506309.168,17607089690582.094,12091417577674.455,8764322905015.203,7.890489909579793e-06,4.4277381946171866e-06,3.040686017767702e-06,2.2040057703148514e-06,4.364234613736969e-06,2.4489846018373074e-06,1.681805226331572e-06,1.2190368889523535e-06
3,3,2.25,0.02,115,1,100000.0,,131.32999999999998,0.13133,11.5,0.0006755019171372,0.0052519771354886,0.0006939243656915,1810738641000.0,1016093643500.0,697787809200.0,505783349200.0,1.7159055697326686,2.2545887656142503,31085593523659.586,17443640550119.168,11979171213012.258,8682962437684.222,8.508558115853237e-06,4.774566368172408e-06,3.2788653164397296e-06,2.376647255024306e-06,4.941324938326857e-06,2.772818090151945e-06,1.904193253067284e-06,1.380232254508143e-06
4,4,2.25,0.02,120,1,100000.0,,134.52,0.1345199999999999,12.0,0.0006923136251452,0.005728352265075,0.0006830692963135,1854721404000.0,1040774514000.0,714737044800.0,518068804800.0,1.7578414562374485,2.363377639773609,32585541883906.586,18285334630046.426,12557192610750.73,9101934501401.717,9.011781051209608e-06,5.056949266676543e-06,3.4727877421563367e-06,2.5172096619204428e-06,5.55763399205933e-06,3.118659117536894e-06,2.1416946431942466e-06,1.552382365120983e-06
5,5,2.25,0.02,125,1,100000.0,,135.42000000000002,0.13542,12.5,0.000718407881874,0.0056583476862201,0.0007076818360619,1867130334000.0,1047737769000.0,719518960800.0,521534920800.0,1.7557250638757644,2.374745605192249,32742279980709.18,18373288010092.176,12617593339331.668,9145715264540.6,9.445963766892466e-06,5.300590335317614e-06,3.640104769091561e-06,2.638487456037405e-06,5.880799550230554e-06,3.300003052006955e-06,2.266230002267745e-06,1.6426503666187924e-06
6,6,2.25,0.02,130,1,100000.0,,126.0,0.126,13.0,0.0007335166674704,0.0053785271265665,0.0007072380640353,1737250200000.0,974855700000.0,669468240000.0,485256240000.0,1.8505043558063137,2.32137800991152,32006463587257.062,17960385593784.93,12334038497382.287,8940183846891.643,9.127780815468566e-06,5.122042384171363e-06,3.517489511664759e-06,2.54961121780755e-06,5.766480231820943e-06,3.235852914524325e-06,2.222175810825613e-06,1.6107182001347645e-06
7,7,2.25,0.02,135,1,100000.0,,124.21,0.12421,13.5,0.000830238613438,0.0053805504455999,0.000681784832516,1712570217000.0,961006559500.0,659957540400.0,478362520400.0,1.6380293115678106,2.0351323539008144,28059794355878.266,15745717265512.906,10813146628039.965,7837783126636.974,9.35530203474982e-06,5.24971562173224e-06,3.605167285559892e-06,2.6131634288757297e-06,5.947260698119008e-06,3.3372976390777168e-06,2.291841527714835e-06,1.6612145819116922e-06
8,8,2.25,0.02,140,1,100000.0,,116.48,0.11648,14.0,0.0008353167314666,0.0055812616262661,0.0007157868892794,1605991296000.0,901199936000.0,618886195200.0,448592435200.0,1.6862802055917403,1.9661251967006987,27108344374550.227,15211812340613.469,10446495040118.02,7572020002541.6,9.149533039947744e-06,5.134248616768837e-06,3.5258719677083165e-06,2.5556871432340665e-06,5.8473679274136e-06,3.2812429401569988e-06,2.2533467631766746e-06,1.633312101131614e-06
9,9,2.25,0.02,145,1,100000.0,,107.23,0.10723,14.5,0.0008928448970718,0.0055500862013798,0.0006874379228884,1478455071000.0,829633148500.0,569738725200.0,412968465200.0,1.6639054647115668,1.787954967081112,24651786699624.24,13833318182558.207,9499833849294.049,6885843687421.461,8.727540791198897e-06,4.897448212861194e-06,3.3632526696569856e-06,2.4378144430685925e-06,5.6099409999165214e-06,3.1480111272586525e-06,2.161851716993875e-06,1.5669929847993873e-06
