,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
0,0,2.25,0.02,100,1,100000.0,,100000.0,100.0,100.0,0.0998774497317,0.1755885050919414,0.1085928146125365,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0012279340147263,100.12279340147263,1380463038581484.0,774645046407523.6,531976430812440.4,385596906859487.6,0.0057050579571489,0.0032013858846336,0.0021985060699203,0.0015935614647033,0.0027451320033448,0.0015404272687452,0.0010578664436745,0.0007667821447058
1,1,2.25,0.02,105,1,100000.0,,100000.0,100.0,105.0,0.1047268609685346,0.1751574537787135,0.1052991976565868,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.002615221612092,100.26152216120924,1382375789102104.5,775718383885167.8,532713530007823.4,386131184608135.4,0.0060281185166405,0.0033826708992305,0.0023230009666119,0.0016838001375158,0.0030590694129667,0.0017165928396071,0.0011788456354396,0.0008544724998363
2,2,2.25,0.02,110,1,100000.0,,100000.0,100.0,110.0,0.1096957891707461,0.1756130303532792,0.0999226774487331,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0027892299700845,100.27892299700844,1382615706605853.2,775853013281704.6,532805984824625.1,386198199402998.8,0.0062449465054054,0.0035043436443349,0.0024065579879443,0.0017443654691846,0.0034540835882366,0.0019382545325185,0.0013310686397558,0.0009648095678292
3,3,2.25,0.02,115,1,100000.0,,100000.0,100.0,115.0,0.114668560118639,0.173525028288032,0.1007015593535589,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.002905076036098,100.2905076036098,1382775431686291.0,775942642803749.1,532867536619803.9,386242814503326.3,0.0064787619857254,0.0036355488983266,0.0024966613237186,0.0018096758204707,0.0037625256516612,0.0021113363969785,0.0014499301401563,0.0010509649390909
4,4,2.25,0.02,120,1,100000.0,,100000.0,100.0,120.0,0.1196454674262852,0.1657107154110255,0.0966603763654209,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0029674056000777,100.29674056000776,1382861369819219.2,775990866875752.0,532900653813055.7,386266819114324.4,0.0066992127945357,0.0037592545842079,0.002581614438118,0.0018712530939044,0.0041314555397408,0.0023183609259119,0.0015921012809948,0.0011540160311633
5,5,2.25,0.02,125,1,100000.0,,100000.0,100.0,125.0,0.1247466903041242,0.1692327916644786,0.097613793696376,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.002043862985027,100.20438629850273,1381588016967866.0,775276326572200.6,532409953456656.6,385911140688245.6,0.0069753092356316,0.0039141857445854,0.0026880112015148,0.0019483735460326,0.0043426373875576,0.0024368653463349,0.0016734825005669,0.0012130042583213
6,6,2.25,0.02,130,1,100000.0,,100000.0,100.0,130.0,0.1297851123496428,0.1681472118960593,0.0922253577795498,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.001656511770732,100.1656511770732,1381053948734132.2,774976634874456.6,532204144460072.5,385761962439191.4,0.007244270488467,0.0040651130033105,0.002791658342591,0.0020235009665139,0.0045765716125563,0.0025681372337494,0.0017636315958933,0.0012783477778847
7,7,2.25,0.02,135,1,100000.0,,100000.0,100.0,135.0,0.130553230076302,0.1624668554206709,0.092054394822582,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0478444605939692,104.78444605939691,1444736506933147.0,810712019939251.0,556744910180630.1,403550050041791.9,0.0075318428747682,0.0042264838754788,0.0029024774861604,0.0021038269292937,0.0047880691555583,0.0026868188061167,0.001845134472035,0.0013374241863873
8,8,2.25,0.02,140,1,100000.0,,100000.0,100.0,140.0,0.139863839990113,0.1671128023706569,0.0935089625267436,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.0009738754829345,100.09738754829344,1380112750299605.5,774448482591769.1,531841443417094.7,385499062821489.6,0.0078550249312737,0.0044078370679676,0.0030270192030462,0.0021940995391774,0.0050200617508701,0.0028170011505468,0.0019345353392655,0.0014022253615484
9,9,2.25,0.02,145,1,100000.0,,100000.0,100.0,145.0,0.1447507099646941,0.1652223826087428,0.0906600112432093,1378770000000000.0,773695000000000.0,531324000000000.0,385124000000000.0,1.001725852843071,100.17258528430712,1381149554124441.2,775030283715420.0,532240987035992.0,385788667350334.9,0.00813908494936,0.0045672369792605,0.0031364848173617,0.0022734444120754,0.0052316898255306,0.0029357559705853,0.0020160885172001,0.0014613382307184
