P0	SU_photonEnergy	DetectorAtFocus_outgoingMaxF_X	DetectorAtFocus_outgoingMinF_X	DetectorAtFocus_outgoingMaxF_Y	DetectorAtFocus_outgoingMinF_Y	DetectorAtFocus_intensityH_width_X	DetectorAtFocus_intensityH_centerWidth_X	DetectorAtFocus_intensityH_centerMass_X	DetectorAtFocus_intensityH_width_Y	DetectorAtFocus_intensityH_centerWidth_Y	DetectorAtFocus_intensityH_centerMass_Y	DetectorAtFocus_energyH_width	DetectorAtFocus_energyH_centerWidth	DetectorAtFocus_energyH_centerMass	DetectorAtFocus_pathlengthH_width	DetectorAtFocus_pathlengthH_centerWidth	DetectorAtFocus_pathlengthH_centerMass	DetectorAtFocus_phi_width	DetectorAtFocus_phi_centerWidth	DetectorAtFocus_phi_centerMass	DetectorAtFocus_psi_width	DetectorAtFocus_psi_centerWidth	DetectorAtFocus_psi_centerMass	DetectorAtFocus_incoming_NO	DetectorAtFocus_absorbed_NO	DetectorAtFocus_outgoing_NO	DetectorAtFocus_incoming_R	DetectorAtFocus_absorbed_R	DetectorAtFocus_outgoing_R	DetectorAtFocus_efficiency	DetectorAtFocus_S1S0	DetectorAtFocus_S2S0	DetectorAtFocus_S3S0	DetectorAtFocus_focus_horizontal_z0	DetectorAtFocus_focus_horizontal_width	DetectorAtFocus_focus_horizontal_theta	DetectorAtFocus_focus_horizontal_depth	DetectorAtFocus_focus_vertical_z0	DetectorAtFocus_focus_vertical_width	DetectorAtFocus_focus_vertical_theta	DetectorAtFocus_focus_vertical_depth
0	100	0.153424629263657	-0.172923655444854	0.00792797866552353	-0.00788531146334059	0.0981333600346673	0.000758524707049575	0.00317517145231266	0.0151686692320623	-3.69475656798908e-05	2.13336010914666e-05	0.112760226339249	1000.00082429524	1000.00115270531	0.987826496868853	-0.0019302321578209	-0.00482209223410923	0.0171623162188648	4.69356461380351e-05	-0.000271679384846367	0.0205687477459734	-0.000155355309894238	0.000147479979020114	23340	0	23340	11.67	0	11.67	100	1.000	-0.000	0.000	1.76366	0.0418922	0.00013578	617.059	-3.10619	0.00437909	0.00016421	53.3353
1	150	0.156911297296933	-0.169422919609563	0.00787018622845048	-0.00810549086722268	0.0926666666056782	0.00155756430313681	0.00343728439536328	0.0151699748963351	-3.18835529782699e-05	4.05227013631423e-05	0.111886442476785	1000.00009808027	1000.00096518995	0.992531547975458	-0.000146501894053519	0.00118396934988141	0.0186932318055946	4.26627031742243e-05	0.000213313277873606	0.0212949283547888	-0.000177898721549184	3.61050734523291e-05	23282	0	23282	11.641	0	11.641	100	1.000	-0.000	0.000	0.554867	0.0419561	0.000134793	622.525	-3.0609	0.00436592	0.000164637	53.037
2	200	0.17124576970967	-0.164329616862417	0.00788480757022281	-0.00797619561425511	0.0975838949584396	0.000750830914060426	0.000135547843704564	0.0151674114610643	-1.73396433860336e-05	-4.56940220161517e-05	0.112847001973697	999.999657660104	999.999874894625	0.991740163637902	0.000393054745542853	0.00136874439976964	0.0178793651320231	-5.34295377321737e-05	0.000335204035501465	0.0217935917378022	8.60566716715701e-05	-4.29126324782356e-05	23408	0	23408	11.704	0	11.704	100	1.000	-0.000	0.000	1.62857	0.0420773	0.000135185	622.514	-2.99969	0.00438012	0.000161386	54.2813
3	250	0.165666419711274	-0.173880717287451	0.00796466248787631	-0.00793640363604087	0.0965296716642416	0.00139294133874719	0.00261655689505447	0.0151592401606793	-1.46623691051236e-05	1.41294259177194e-05	0.114777567020092	1000.00185310074	999.999697866176	0.994233820927981	-4.08321138463119e-05	-0.00114334559179952	0.0170744882222657	-1.89459683733045e-05	-0.000307390145181254	0.021648838523573	4.65650961808412e-05	0.000203779766533185	23057	0	23057	11.5285	0	11.5285	100	1.000	-0.000	0.000	1.16987	0.0419152	0.000136357	614.785	-3.32065	0.00436625	0.000163025	53.5653
4	300	0.194015608260664	-0.180002250483016	0.00795568348559383	-0.00794007818110198	0.0988332756678311	0.00222270893000066	0.00330353177254955	0.0151920667396186	-2.32702390753218e-05	7.80265224592513e-06	0.115602546461733	1000.00128792678	1000.00097372184	0.98824342958622	-0.000759404119622831	-0.00748693768332487	0.0171611079400343	-0.000123232752493548	-6.17968052141898e-05	0.0200625875209246	0.000332595988464163	-0.000363769288693062	23326	0	23326	11.663	0	11.663	100	1.000	-0.000	0.000	-1.0654	0.0421245	0.000135888	619.99	-3.23326	0.0043965	0.000164852	53.3389
5	350	0.170035730295939	-0.175345823717787	0.00791282203531563	-0.00792786347007024	0.0934968796725767	0.00345812918673676	0.000764572635746696	0.0151951542820971	-9.71538962428551e-06	-7.52071737730731e-06	0.112272025467068	999.99964157937	1000.0003482194	0.986098106011391	-0.000216632758410051	-0.004242036431374	0.0182652384620153	0.000176899869141075	-5.85952036108728e-05	0.0215322103484154	0.000138656290309645	8.90154512548369e-05	23064	0	23064	11.532	0	11.532	100	1.000	-0.000	0.000	1.46688	0.0421047	0.000135294	622.419	-3.30644	0.00436725	0.000163435	53.4432
6	400	0.147954373331541	-0.169265532139622	0.00791056946311997	-0.00792424207829157	0.0908811711180031	0.00172294472004562	0.00190758516907474	0.0151856372063253	-9.32530878810112e-06	-6.83630758580023e-06	0.115278384996262	999.999904973332	999.999751694492	0.992349437896634	-0.0012826752286032	-0.00740995654939525	0.0173246503396336	0.000519618695806703	0.000199159414491987	0.0208145147726181	-0.000117194011282648	-0.000330466311271184	22875	0	22875	11.4375	0	11.4375	100	1.000	-0.000	0.000	1.09876	0.041566	0.000134499	618.084	-3.07259	0.00439293	0.000162521	54.0598
7	450	0.171131126243148	-0.162191112918291	0.00792030823659462	-0.00789959625048908	0.0953093796814147	0.00288897907816559	0.00116978647271143	0.0151792164283627	-2.67438718112674e-05	1.03559930527686e-05	0.111660985225669	999.999736632184	999.998450293192	0.990027366055086	0.0017022925338403	-0.00263586091500656	0.0174982118920908	7.7413281950902e-05	-0.000195028352522445	0.0202783841038678	0.000437647041133785	7.42697173568979e-05	23137	0	23137	11.5685	0	11.5685	100	1.000	-0.000	0.000	4.24756	0.0416083	0.000136086	611.499	-2.86632	0.00436672	0.00016404	53.2396
8	500	0.193235065037633	-0.188000235654593	0.00786724419542784	-0.00789386906235168	0.0954275426493181	0.00324296447028294	0.00261741469152016	0.0151845306702654	-1.38406456662637e-05	-1.33124334619206e-05	0.110857560519379	1000.00161222998	1000.00049464347	0.996073143077502	-0.00138481155684267	0.00031399155022882	0.0184450591804032	0.000214284866818884	5.1702256629621e-05	0.0216840870697627	0.000176094814743014	-3.42735765820473e-05	23542	0	23542	11.771	0	11.771	100	1.000	-0.000	0.000	2.50063	0.0417733	0.000135137	618.236	-3.15226	0.00437197	0.000163683	53.4198
9	550	0.186299087553994	-0.1773172397798	0.00791747151773348	-0.00782258148280923	0.091918903329912	0.00122634708130375	0.000890762230326969	0.0152276993439492	-3.08685343540973e-05	4.74450174621222e-05	0.110762675028808	999.999658709977	999.998881901863	0.996401148764068	-0.000715343457723061	-0.00194200534929223	0.0177227897143991	0.000133491624415486	-0.000221560999325784	0.0212769617584099	-0.00033646355288287	0.00022302265703561	23212	0	23212	11.606	0	11.606	100	1.000	-0.000	0.000	6.16172	0.0416295	0.000135645	613.801	-3.04661	0.00436983	0.000164365	53.1722
