P0	SU_photonEnergy	SU_outgoingMaxF_X	SU_outgoingMinF_X	SU_outgoingMaxF_Y	SU_outgoingMinF_Y	SU_intensityH_width_X	SU_intensityH_centerWidth_X	SU_intensityH_centerMass_X	SU_intensityH_width_Y	SU_intensityH_centerWidth_Y	SU_intensityH_centerMass_Y	SU_energyH_width	SU_energyH_centerWidth	SU_energyH_centerMass	SU_pathlengthH_width	SU_pathlengthH_centerWidth	SU_pathlengthH_centerMass	SU_phi_width	SU_phi_centerWidth	SU_phi_centerMass	SU_psi_width	SU_psi_centerWidth	SU_psi_centerMass	SU_incoming_NO	SU_absorbed_NO	SU_outgoing_NO	SU_incoming_R	SU_absorbed_R	SU_outgoing_R	SU_efficiency	SU_S1S0	SU_S2S0	SU_S3S0	SU_focus_horizontal_z0	SU_focus_horizontal_width	SU_focus_horizontal_theta	SU_focus_horizontal_depth	SU_focus_vertical_z0	SU_focus_vertical_width	SU_focus_vertical_theta	SU_focus_vertical_depth
0	100	0.96531633875274	-0.966609603134435	0.105920825674879	-0.103708640031533	0.528731728868887	-0.00282646971632866	-0.000646632190847263	0.0575994320170576	6.7388351145236e-05	-0.000969446442746949	0.999993010573121	1000.00000254075	1000.00000254075	0	0	0	0.00334661345625241	-1.76418894491587e-05	4.34959933832335e-05	0.00178806134518143	5.83400909471101e-06	-2.21685888885238e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	29.9554	0.226831	2.48921e-05	18225.1	0.722563	0.0245553	1.35044e-05	3636.65
1	150	0.969060470491439	-1.0092207297199	0.099790577627942	-0.103083731831089	0.536959603940941	0.000334752622580203	-0.000493187037879705	0.0565630768062009	1.7376287576483e-05	0.000362079427723622	0.99997996066395	999.999995827162	999.999995827162	0	0	0	0.00331890410794944	1.3699816883921e-05	3.1625609435957e-05	0.0018110054772409	4.23902287664845e-06	-2.88325403488068e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	23.2875	0.227241	2.49482e-05	18217.1	0.265248	0.0245328	1.35382e-05	3624.24
2	200	1.01362484783019	-0.974035029794221	0.105503868089302	-0.106495948175307	0.533281907495737	0.00116660787518502	0.000115108249425622	0.0576479710900233	-8.34227946219096e-05	-0.000496040043002494	0.999990726755641	999.999999458092	999.999999458092	0	0	0	0.00334669283124764	6.04961784406275e-06	1.69330200843346e-05	0.00180981988025379	3.51384673065891e-06	1.50992528011777e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-15.5915	0.226798	2.50057e-05	18139.7	4.24937	0.0245738	1.35079e-05	3638.43
3	250	0.993408219917038	-1.00606213703314	0.10790629958602	-0.10216419203715	0.528798964024071	-0.00141784478978241	-0.00632695855805121	0.0573440693409716	-0.000403380462340189	0.000791147916779533	0.999991708083144	999.999997356011	999.999997356011	0	0	0	0.00330505974365905	8.97207613902878e-06	-4.32658518900305e-05	0.00179746323069051	3.07777102024644e-06	-1.58185331463724e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-25.0823	0.227327	2.4953e-05	18220.4	1.18736	0.0245521	1.34827e-05	3642.01
4	300	0.99490617716997	-1.01384843536456	0.10109987801825	-0.109304571047847	0.53686876292639	0.00265687576873241	-0.00947112909729464	0.0582612418909053	-0.000512859703804863	6.40782191834305e-05	0.999960030151783	1000.00001941273	1000.00001941273	0	0	0	0.00334190950005269	-4.32104410660623e-06	-4.10208624360368e-05	0.0018225150282874	-4.33803557833758e-06	-2.91938796797469e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	11.0784	0.226961	2.50062e-05	18152.4	-8.87197	0.0244886	1.3443e-05	3643.31
5	350	1.00602660592546	-0.977383470923615	0.10654146396775	-0.11031716617137	0.533438202381733	0.0010272885054774	-0.00531615603223445	0.0578382602917728	9.14835308139759e-05	0.000259264048082075	0.999984730554615	999.999993067574	999.999993067574	0	0	0	0.00329719609694198	1.8896021911227e-05	1.42697871931734e-05	0.00180434787348196	9.32505619382772e-07	3.42378974167151e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-13.7787	0.226701	2.49871e-05	18145.4	0.365154	0.0245784	1.34895e-05	3644.08
6	400	1.01848397901719	-0.950085876249174	0.106344168802522	-0.10257679521667	0.523736031599398	-0.000692876762274919	-0.00478252990839534	0.057691535698466	5.28475584518108e-05	-0.000184837603303623	0.999989693860471	999.999995016636	999.999995016636	0	0	0	0.00334079132321456	1.44488284218171e-06	5.60958089354411e-05	0.00180525698133524	1.05780364385259e-05	9.89289072314634e-06	200000	0	200000	100	0	100	100	1.000	0.000	0.000	28.1716	0.226527	2.49092e-05	18188.2	-5.69762	0.0246156	1.34836e-05	3651.18
7	450	0.995568345967861	-1.00037445465201	0.108887182903926	-0.110363954572297	0.528138078318049	0.000228068134642601	-0.00240305434207566	0.0584471370278214	-0.000214264312002856	-0.000738385834185451	0.999993360782923	1000.00000239721	1000.00000239721	0	0	0	0.00333043185809208	8.19455218167408e-06	-2.68232594012197e-05	0.00180695446878208	-1.00448380196115e-06	-3.18586036037369e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	7.14895	0.227597	2.48933e-05	18285.8	1.4638	0.0245978	1.35056e-05	3642.61
8	500	1.00589633420288	-1.01443526373446	0.106588402429561	-0.105970707998546	0.53708115836602	0.00115100531799389	-0.00426946476578882	0.0574751809546185	5.99553695476845e-05	0.000308847215507516	0.99999818594813	1000.00000041292	1000.00000041292	0	0	0	0.00330697193169022	-4.43416830312186e-06	4.70675347060889e-05	0.00183828959743308	1.60864506467317e-06	-2.55354028215449e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-14.7219	0.22715	2.49954e-05	18175.4	-2.63241	0.0245847	1.35256e-05	3635.29
9	550	0.976151992383094	-0.966273990586553	0.109949889305534	-0.110293794099713	0.532238607687663	-0.000823373601133326	0.00493900089827071	0.0566979611373042	-2.57933337957407e-05	-0.00017195239708942	0.999998199728793	999.999999514226	999.999999514226	0	0	0	0.00329577266884505	7.59236840878639e-07	1.23815122177098e-06	0.00179941618820966	-2.77260290096337e-06	-6.79461805425064e-06	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-8.71408	0.227301	2.49389e-05	18228.6	-3.63839	0.0245653	1.34878e-05	3642.59
