,Simulation Number,PG.cFactor,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,100,1,100000.0,,245.85,0.24585,,10.0,0.0003757352438636019,0.013296231345359608,0.0013964357794436773,2.6733701976516886,6.5694137750226975,
1,1,2.5,200,1,100000.0,,138.09,0.13809,,20.0,0.0009343715972335075,0.010946993069732172,0.0013454717578112272,2.1600897930708327,2.9836183968003773,
2,2,2.5,300,1,100000.0,,149.93,0.14993,,30.0,0.0016150963738004972,0.01021654485433216,0.0013327029835056303,1.8775102350165247,2.8128391738272613,
3,3,2.5,400,1,100000.0,,176.76,0.17675999999999997,,40.0,0.0026218369963748956,0.010156584981586832,0.001376793081668537,1.544028878278721,2.7327263976235527,
4,4,2.5,500,1,100000.0,,204.61,0.20461,,50.0,0.0038255977458470634,0.009295467140058402,0.00136379207179326,1.3109301169627272,2.682726401086948,
5,5,2.5,600,1,100000.0,,225.24,0.22524,,60.0,0.004675752572493364,0.00940774404140607,0.0013884635632465277,1.2909962896351783,2.908497503339853,
6,6,2.5,700,1,100000.0,,255.23,0.25522999999999996,,70.0,0.006220045329017694,0.008725839345283657,0.0014119575727252471,1.13348801878367,2.8907841390026787,
7,7,2.5,800,1,100000.0,,280.04,0.28004,,80.0,0.007406038214312502,0.008646965627235884,0.0014086159140002936,1.0830816374514087,3.0313224234300535,
8,8,2.5,900,1,100000.0,,312.41999999999996,0.31242,,90.0,0.008773270687182729,0.00889727671784488,0.0013929174224200807,1.0289916538834911,3.215371878010463,
9,9,2.5,1000,1,100000.0,,342.79,0.34279000000000004,,100.0,0.0104627340702109,0.008567158680992497,0.001400546494837802,0.9575281367163061,3.2842839768987035,
10,10,2.5,1100,1,100000.0,,365.55,0.36555,,110.0,0.011964668542298112,0.008730641896360334,0.0014229871173645349,0.9202526705518851,3.3653964432321275,
11,11,2.5,1200,1,100000.0,,383.74,0.38374,,120.0,0.01375817101809389,0.008346387497110929,0.0013960252479420896,0.8735997145674492,3.352702923459744,
12,12,2.5,1300,1,100000.0,,403.94,0.40394,,130.0,0.016017719018539083,0.008388107509910878,0.0014186841293239488,0.8143257547792032,3.289058102452441,
13,13,2.5,1400,1,100000.0,,414.64,0.41464,,140.0,0.017224692183949626,0.008522645861633905,0.0013954671629072663,0.8142532322933509,3.3755407490866687,
14,14,2.5,1500,1,100000.0,,418.33,0.41833,,150.0,0.019599349414434072,0.008682199092412305,0.0013995777746330438,0.766287469271827,3.205113226916983,
15,15,2.5,1600,1,100000.0,,416.39,0.41639,,160.0,0.02151120212867909,0.007783161881257995,0.0014055669138556678,0.7447039139076994,3.10084026474854,
16,16,2.5,1700,1,100000.0,,411.09,0.41109,,170.0,0.02360170723615056,0.008496890984204761,0.0014173252622782146,0.7241037126102403,2.9766583007110614,
17,17,2.5,1800,1,100000.0,,382.94,0.38294,,180.0,0.025379067395506355,0.008249287760756882,0.001388370891343596,0.7099812456196648,2.718259690305441,
18,18,2.5,1900,1,100000.0,,335.16999999999996,0.33517,,190.0,0.026759791576855606,0.008270784808541121,0.0014073793725304167,0.715496159335666,2.396803969950966,
19,19,2.5,2000,1,100000.0,,226.02,0.22602,,200.0,0.029810249771387583,0.008285201026303165,0.0013868307672418273,0.6735859299222959,1.5215414916077936,
20,20,2.5,2100,1,100000.0,,7.88,0.00788,,210.0,0.030426781632534327,0.008937361742594577,0.0010724349773569947,0.6954394575821513,0.05476706511670252,
