P0	SU_photonEnergy	DetectorAtFocus_outgoingMaxF_X	DetectorAtFocus_outgoingMinF_X	DetectorAtFocus_outgoingMaxF_Y	DetectorAtFocus_outgoingMinF_Y	DetectorAtFocus_intensityH_width_X	DetectorAtFocus_intensityH_centerWidth_X	DetectorAtFocus_intensityH_centerMass_X	DetectorAtFocus_intensityH_width_Y	DetectorAtFocus_intensityH_centerWidth_Y	DetectorAtFocus_intensityH_centerMass_Y	DetectorAtFocus_energyH_width	DetectorAtFocus_energyH_centerWidth	DetectorAtFocus_energyH_centerMass	DetectorAtFocus_pathlengthH_width	DetectorAtFocus_pathlengthH_centerWidth	DetectorAtFocus_pathlengthH_centerMass	DetectorAtFocus_phi_width	DetectorAtFocus_phi_centerWidth	DetectorAtFocus_phi_centerMass	DetectorAtFocus_psi_width	DetectorAtFocus_psi_centerWidth	DetectorAtFocus_psi_centerMass	DetectorAtFocus_incoming_NO	DetectorAtFocus_absorbed_NO	DetectorAtFocus_outgoing_NO	DetectorAtFocus_incoming_R	DetectorAtFocus_absorbed_R	DetectorAtFocus_outgoing_R	DetectorAtFocus_efficiency	DetectorAtFocus_S1S0	DetectorAtFocus_S2S0	DetectorAtFocus_S3S0	DetectorAtFocus_focus_horizontal_z0	DetectorAtFocus_focus_horizontal_width	DetectorAtFocus_focus_horizontal_theta	DetectorAtFocus_focus_horizontal_depth	DetectorAtFocus_focus_vertical_z0	DetectorAtFocus_focus_vertical_width	DetectorAtFocus_focus_vertical_theta	DetectorAtFocus_focus_vertical_depth
0	100	0.0474268902415904	-0.0451337810444874	0.00527597873344357	-0.00509323033951758	0.021994614959068	-0.00186461292560662	-0.000686329981370838	0.0035376798281101	-0.000111817812511287	-1.12912394029593e-05	0.050630515147681	1000.0000827075	1000.00111939572	0.928592408956058	-0.00442511030304416	-0.00656966552003269	0.00496605531442223	3.75765941231813e-05	-2.29850560526995e-05	0.0234461934843144	0.000218593734326821	-0.000402033302680516	1814	0	1814	0.907	0	0.907	100	1.000	-0.000	0.000	3.62231	0.0140452	3.72772e-05	753.555	-0.127701	0.00169834	0.000261598	12.9844
1	151.282051282	0.045889710440923	-0.048428548602427	0.00596912349210911	-0.00545268635800705	0.0298356675208963	-0.00156900020196043	-0.000335574931807914	0.00412768375771525	-0.000203554273423966	3.20441145734793e-05	0.0518866103155027	999.998713805856	999.998792184421	0.977380542229707	-0.00515507488635758	-0.0109589973461539	0.00557129982614118	-8.45376724449994e-05	-8.13217293451716e-05	0.0214300008916424	0.000802619623540949	-0.000650066209307604	1799	0	1799	0.8995	0	0.8995	100	1.000	-0.000	0.000	4.91432	0.0139101	3.82048e-05	728.186	0.0692874	0.00172878	0.000262262	13.1836
2	202.564102564	0.0463272433468636	-0.0451762153419596	0.00504008570988124	-0.00565742797947823	0.0301182706728594	0.00201267051710142	-0.000330460836051205	0.00362674928256382	0.000298890843859501	9.07679656861771e-06	0.0504878333216516	1000.0022494026	999.999547051206	0.980539538719045	0.00186954968778397	0.0119194009156524	0.00494431776644888	0.000296586429604412	6.16291803723374e-05	0.0253780551740218	0.000619735338223874	-8.29143978646751e-05	1827	0	1827	0.9135	0	0.9135	100	1.000	-0.000	0.000	11.2571	0.0141259	3.78416e-05	746.58	-0.209135	0.00170771	0.000263937	12.9403
3	253.846153846	0.0489447293179893	-0.0503541914696331	0.00491488079714646	-0.00554588068844034	0.0243294552998036	0.000929860888680665	0.000278426555738717	0.0037670578136215	-1.66210460587452e-05	-0.000108356153853142	0.0566376595354855	1000.00390375089	1000.00046660645	0.977001478248061	0.0018383934169473	0.000726648448526657	0.00462792694796806	2.71863576849687e-05	2.92413874131972e-05	0.023795858210972	0.00034182202770526	0.000212496711341284	1827	0	1827	0.9135	0	0.9135	100	1.000	-0.000	0.000	-10.1077	0.0141061	3.67145e-05	768.419	-0.0205084	0.00177862	0.000258572	13.7572
4	305.128205128	0.0418881088024211	-0.0520045067251925	0.00582090188265616	-0.00551569194488333	0.0349431457904165	0.00265226043837758	0.000519580178868599	0.00431435965590148	-0.000138526617650025	4.03614656434509e-05	0.0624060529997738	1000.00266466668	999.999892947106	0.966936865733121	-0.00154849958238396	-0.004551158766958	0.00406188051323011	0.00013092616158525	2.00164940281598e-06	0.0187993960206847	0.000329645048771239	0.00118416304971145	1754	0	1754	0.877	0	0.877	100	1.000	-0.000	0.000	-7.94833	0.0146492	3.61339e-05	810.827	-0.0312324	0.00180282	0.000266223	13.5437
5	356.41025641	0.0486797391242738	-0.0556667172806529	0.00543491748193528	-0.00572958693919479	0.0344549932782605	-0.0010397976528262	-0.00142722261472568	0.00380624853697273	-0.000189708260261104	-3.6795080895791e-05	0.0526006709973688	1000.00105813234	1000.00162810865	0.982606388629431	-0.00038917218716622	0.00974346904936152	0.00524010991797671	0.000242996750178325	0.000123393670738057	0.0228097343561036	-0.000414177486053977	-3.88144094093518e-05	1719	0	1719	0.8595	0	0.8595	100	1.000	-0.000	0.000	1.69126	0.0141101	3.74075e-05	754.398	-0.0271034	0.00175881	0.000260115	13.5233
6	407.692307692	0.0417623199728914	-0.0485773346755915	0.00562456204550396	-0.00548687496779277	0.0310374853099243	8.08555509181491e-05	0.000170300753540409	0.00405481011234874	9.24180162529746e-05	6.8843538855598e-05	0.0539868404660534	999.999475655267	999.999003361238	0.946432644693541	-0.00360671104400001	0.0218323710028253	0.00444278628618525	6.63771003273392e-05	3.6645260936042e-05	0.0221104497984848	0.000943628920020079	-0.00118204563344571	1823	0	1823	0.9115	0	0.9115	100	1.000	-0.000	0.000	-0.00679297	0.0135299	3.72333e-05	726.766	-0.0730002	0.00174738	0.00025479	13.7163
7	458.974358974	0.0498626157602275	-0.0492505543515623	0.00481722122010786	-0.00564538524310276	0.0345233305683668	-0.00113187351002296	0.000306030704332626	0.00437602034733168	0.00030640085297218	2.78640510889376e-07	0.0487494923629479	1000.00006338303	1000.00055704878	0.972582544608719	0.0109636970037539	-0.00837383077366849	0.00467935689843074	-7.64193926363959e-06	5.29144441278181e-05	0.0239356019670247	-0.000438543179419312	5.92134618479373e-05	1771	0	1771	0.8855	0	0.8855	100	1.000	-0.000	0.000	-6.14517	0.0145374	3.63451e-05	799.963	-0.26677	0.00175555	0.000265954	13.2019
8	510.256410256	0.0482977777863713	-0.0431840323291681	0.00551400311677897	-0.00600181101514978	0.0247574535626212	0.00290911292156574	0.000745351736214692	0.0043149135116935	0.000229196554241525	-1.58680257808744e-05	0.0628608851870679	999.999454443762	1000.00075054449	0.969032518632361	0.00979799588247421	-0.0003471099082617	0.00426159807210225	-0.000238378485815745	6.21245039008917e-06	0.0239458630054933	-0.00018840298393559	8.0048395049756e-05	1758	0	1758	0.879	0	0.879	100	1.000	-0.000	0.000	-0.223197	0.0142302	3.70496e-05	768.169	0.0975896	0.00180135	0.000274159	13.1409
9	561.538461538	0.0469281018274505	-0.0461831267274722	0.00525060510989606	-0.00553214014058828	0.0271651241064527	0.000203473768783857	0.000372487549989156	0.00476606490916033	9.18164522209111e-05	-3.40076613809213e-05	0.0648051052551635	1000.0044981523	1000.00110171028	0.966183803502274	0.00241119945932727	-0.0040835117544088	0.0045620412550175	-2.31025856864109e-05	-4.3060048716596e-05	0.0231118911753538	-0.000338572581213765	-0.000445165676705092	1758	0	1758	0.879	0	0.879	100	1.000	-0.000	0.000	-12.0385	0.0141969	3.77186e-05	752.778	-0.0205748	0.00179554	0.000261979	13.7075
10	612.820512821	0.0443362035000372	-0.048110398341049	0.00507729834971402	-0.00568432651604364	0.0312223396757024	0.000452035519367537	-5.64716414745217e-05	0.00399097951856741	-0.000137145381922424	-9.0412600674562e-05	0.056012382810879	999.997458367812	1000.00046426794	0.984365806220038	0.00430350124957168	-0.00840263312199729	0.00466983531968118	0.000115168999879938	5.63396235677078e-05	0.022866612408868	0.000154817459184694	-9.48180474623361e-05	1689	0	1689	0.8445	0	0.8445	100	1.000	-0.000	0.000	3.66004	0.0138851	3.66723e-05	757.254	-0.260471	0.00177821	0.000276991	12.8394
11	664.102564103	0.046471430742715	-0.0492573996362184	0.00532872079952269	-0.00560902426057347	0.0363813300526183	0.00134108344297412	-0.000445174244980091	0.00400464056965154	-0.000132255256162696	-3.18572249798817e-05	0.056753621230688	1000.00086432835	1000.00064296171	0.979380580318615	0.000297811604890841	-0.00264621819566613	0.00470422394055695	0.000266915192175179	0.000154909860257156	0.0212386933087283	0.00100136389465102	-0.000491795083746638	1791	0	1791	0.8955	0	0.8955	100	1.000	-0.000	0.000	1.73	0.0141877	3.72894e-05	760.953	-0.102904	0.00176457	0.000262113	13.4642
12	715.384615385	0.0488221238325431	-0.049056214537849	0.00549171464018655	-0.00534441602222335	0.0325615066261899	0.00298405051650801	0.000852047106459863	0.00358115749314267	-0.00015637056631558	-3.36391134184988e-05	0.0502851965798027	999.997860349574	1000.00015219845	0.972144412040336	-0.00678375753575333	-0.0156345260547306	0.00477613986798241	-3.82461956546965e-05	4.4725280257822e-05	0.0229568935588574	6.63283259515722e-06	0.000505695736048584	1777	0	1777	0.8885	0	0.8885	100	1.000	-0.000	0.000	-14.1295	0.0142206	3.75613e-05	757.197	-0.15034	0.00180115	0.000263414	13.6754
