,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,0.027,100,1,100000.0,,211.24,0.21124,,20.0,0.0004753583218678159,0.015167603061294855,0.0011003626734608098,8.44066276540237,8.899859552305767,
1,1,2.5,0.027,200,1,100000.0,,117.16,0.11716,,40.0,0.0012537631081477227,0.009591730211776988,0.0011527733899764996,6.43362674229452,3.763425314299964,
2,2,2.5,0.027,300,1,100000.0,,129.16,0.12916,,60.0,0.0022900685720196635,0.008646794402213357,0.0011498326032570476,5.33660173087611,3.442550522751429,
3,3,2.5,0.027,400,1,100000.0,,155.0,0.155,,80.0,0.0030658582473211023,0.006888214192321424,0.001185289195022424,5.2480105199686164,4.065826272583257,
4,4,2.5,0.027,500,1,100000.0,,179.52,0.17951999999999999,,100.0,0.00431758252527743,0.007191705465835608,0.0011842562009467088,4.712442767183107,4.222450495237218,
5,5,2.5,0.027,600,1,100000.0,,202.88,0.20288,,120.0,0.005526353597706474,0.006984944177022842,0.0011747761294145236,4.370986829572288,4.4201611952385935,
6,6,2.5,0.027,700,1,100000.0,,228.6,0.22860000000000005,,140.0,0.007293532187591154,0.006219262749797614,0.0011867837869289851,3.850536509310361,4.402072365814673,
7,7,2.5,0.027,800,1,100000.0,,248.84,0.24884000000000003,,160.0,0.008442355502579631,0.006563682963343649,0.0010902848877636984,3.8474908515536494,4.773838170425883,
8,8,2.5,0.027,900,1,100000.0,,277.68,0.27768000000000004,,180.0,0.010232868064704234,0.006247413660106116,0.0011664796925911127,3.529400909520733,4.899807199943558,
9,9,2.5,0.027,1000,1,100000.0,,295.91999999999996,0.29592,,200.0,0.012216975731817,0.005655211555969801,0.0011241131269863476,3.3073727183501007,4.8913495777907805,
10,10,2.5,0.027,1100,1,100000.0,,327.48,0.32748000000000005,,220.0,0.012264823783880274,0.005441896843103976,0.0012070335587144269,3.628985202630546,5.947053871888743,
11,11,2.5,0.027,1200,1,100000.0,,349.72,0.34972000000000003,,240.0,0.015731123133991786,0.005267346140839866,0.0012312141084667623,3.0826195177163904,5.3804663399575885,
12,12,2.5,0.027,1300,1,100000.0,,346.44,0.34644,,260.0,0.01613014072694568,0.005260610154310415,0.001211388188724172,3.237010494811428,5.608408767369463,
13,13,2.5,0.027,1400,1,100000.0,,361.08,0.36108,,280.0,0.019323784433599937,0.005145842921081278,0.0012106273472264383,2.899923703509464,5.237992191689896,
14,14,2.5,0.027,1500,1,100000.0,,373.64,0.37364,,300.0,0.021891376567100447,0.0054054477995315086,0.0011847506401025589,2.7482091907090687,5.13231240348807,
15,15,2.5,0.027,1600,1,100000.0,,373.36,0.37336,,320.0,0.023538182731690536,0.005200743704169941,0.0011682944142557589,2.7196895499275007,5.07825262770088,
16,16,2.5,0.027,1700,1,100000.0,,363.24,0.36324000000000006,,340.0,0.02386471627803985,0.00525813942378945,0.0011598609550757329,2.8587447896326674,5.193687264108276,
17,17,2.5,0.027,1800,1,100000.0,,345.16,0.34516,,360.0,0.027061202021377535,0.004688313229099161,0.0012778969883156595,2.6721863064161377,4.607833947472069,
18,18,2.5,0.027,1900,1,100000.0,,294.2,0.2942,,380.0,0.029159929341403767,0.004382869494215043,0.0011453047617502475,2.607704854050725,3.83640013151613,
19,19,2.5,0.027,2000,1,100000.0,,202.56,0.20256,,400.0,0.03189878773338023,0.004709568020109509,0.00119154620570479,2.5787006882954246,2.5932681662568604,
20,20,2.5,0.027,2100,1,100000.0,,7.24,0.00724,,420.0,0.03628451325791508,0.0052804845839338685,0.0011244798119163628,2.381982138604203,0.08523392719954355,
