,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
183,183,2.25,0.02,1015,1,100000.0,,1115.3,1.1153,1015.0,0.0575504758393093,0.0181927359098239,0.0069494410934535,13169358217001.178,14477971477850.15,12799072729029.64,17.699648383183895,19.72928808025196,232961590688827.72,256110526409196.44,226411362889915.2,0.0005839974542777,0.0006420281343137,0.0005675770806522,0.0003056315583327,0.000336001566011,0.0002970380544693
184,184,2.25,0.02,1020,1,100000.0,,1109.8,1.1098,1020.0,0.0605378834192378,0.0175025695401515,0.0070771160558782,13006227285554.271,14373845505485.63,12716317840604.504,17.160520992555096,19.06872225378622,223474622164219.03,246973209283599.7,218493361861014.4,0.0005796258390906,0.0006405740941748,0.000566705950671,0.0003026991862582,0.0003345283180423,0.0002959520065305
185,185,2.25,0.02,1025,1,100000.0,,1131.8,1.1318,1025.0,0.0572844633480826,0.0181982646859677,0.0074400502938478,13085779812080.637,14625405890969.191,12948371677176.06,18.058210820141632,20.435283557408148,236271091208406.8,264069903272789.3,233790110293165.97,0.0005860083097841,0.0006549559528856,0.0005798548890447,0.0003053850472245,0.0003413155603129,0.0003021783304397
186,186,2.25,0.02,1030,1,100000.0,,1112.7,1.1127,1030.0,0.0580303832188519,0.0180042504644858,0.0070748852228313,12732054722666.06,14345776236807.309,12710169149199.178,17.846260586778364,19.83556057503759,226968133994909.72,255735160906916.7,226577990543645.5,0.0005729910962026,0.0006456147284045,0.0005720061617984,0.0002979464139327,0.0003357095675397,0.0002974342634375
187,187,2.25,0.02,1035,1,100000.0,,1129.1,1.1290999999999998,1035.0,0.0610939965150919,0.0172902810762336,0.0070270611955543,12767892776831.104,14523919509951.955,12877524421536.268,17.252538833030002,19.51062477592773,220626662959905.88,250970457740190.25,222521076106137.6,0.0005774144575031,0.0006568289107092,0.0005823724327742,0.0002995779588928,0.0003407802867682,0.0003021502881663
188,188,2.25,0.02,1040,1,100000.0,,1147.8,1.1478,1040.0,0.0603848669410126,0.0181828675776886,0.0069510344717679,12815807518883.998,14730613180991.906,13070490366894.104,17.353004875565823,19.916685406513785,222380559839734.0,255606367460237.97,226799829888742.62,0.0005823385518858,0.0006693455668376,0.0005939111071604,0.0003015023000925,0.0003465496613691,0.0003074939213271
189,189,2.25,0.02,1045,1,100000.0,,1121.7,1.1217,1045.0,0.0611642375632754,0.0166101266913646,0.0068402933072363,12399427216037.877,14362571720296.604,12753430445801.424,17.39184775809253,19.54371564584698,216038940609450.25,250243396313238.9,222206845093902.56,0.0005661688758968,0.000655807800166,0.0005823329782515,0.0002924610487815,0.0003387650667512,0.0003008108018826
190,190,2.25,0.02,1050,1,100000.0,,1127.1,1.1271,1050.0,0.0584007622219814,0.0182506673466043,0.0071304278860613,12272535871920.502,14398475658689.36,12794883418926.86,18.09513476141093,20.399976174276865,222127086669449.3,260605589906102.62,231581329872023.72,0.0005630767698347,0.0006606171087256,0.0005870426211118,0.0002902186919899,0.0003404925286774,0.000302571071599
191,191,2.25,0.02,1055,1,100000.0,,1137.5,1.1375,1055.0,0.0601108492753155,0.0173141290118876,0.0072152003745269,12285140086950.518,14497787602444.213,12892817013451.438,17.658418128472842,20.07083882965186,216767531151542.1,255809018334226.44,227489804252463.44,0.0005664221983688,0.0006684391604116,0.0005944399253276,0.0002912395637252,0.0003436940325004,0.0003056455502835
192,192,2.25,0.02,1060,1,100000.0,,1124.8,1.1247999999999998,1060.0,0.0582091815221019,0.0168202802841963,0.0070794067728218,11949089886596.271,14302750765626.52,12728967944679.586,18.336722165205742,20.64977903391125,219368835183638.7,262578807687849.2,233686322357195.0,0.0005534580322382,0.0006624749139444,0.0005895804298023,0.0002839794826805,0.0003399160774485,0.000302513895727
193,193,2.25,0.02,1065,1,100000.0,,1153.0,1.153,1065.0,0.0634700023499817,0.017126812353637,0.0072158750669198,12133222964560.744,14627333727155.568,13027695600964.424,16.9157699673584,19.48998454979091,205096555176458.9,247256295183779.3,220216466593387.3,0.0005646582933584,0.0006807297057743,0.0006062854351164,0.00028904867889,0.0003484656551575,0.0003103576200189
194,194,2.25,0.02,1070,1,100000.0,,1171.0,1.1709999999999998,1070.0,0.0608744178510277,0.0166961011785529,0.0069551616459715,12142573807236.12,14821153682624.225,13210356511107.031,17.96860547248578,21.08727475139905,218662502188155.2,266898155284549.0,237891048090219.8,0.0005678297512558,0.0006930896317808,0.0006177630517866,0.0002899684495046,0.000353933772316,0.0003154674334899
195,195,2.25,0.02,1075,1,100000.0,,1143.6,1.1436,1075.0,0.0637499048076506,0.0163507426338685,0.0064745872931205,11656099307701.695,14440630548054.035,12881014505022.236,17.09914020361947,19.518676785375984,198943367405801.2,246469045334464.56,219849911499885.3,0.0005476275859752,0.0006784506066936,0.0006051766283113,0.0002789925455267,0.0003456412106022,0.0003083112910121
