,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,0.027,100,1,100000.0,,508.2,0.5082,,20.0,0.0010764996106371427,0.016650812491582206,0.001141059839581494,3.718033902046817,9.44518037415815,
1,1,2.5,0.027,200,1,100000.0,,754.08,0.7540799999999999,,40.0,0.0025108260014951606,0.010486194417375588,0.001240164300471638,3.197057880427508,12.045724563693632,
2,2,2.5,0.027,300,1,100000.0,,933.08,0.93308,,60.0,0.003748999406473104,0.008325164079797139,0.0012065821797041447,3.2048513858887384,14.950862016891566,
3,3,2.5,0.027,400,1,100000.0,,1094.6,1.0946,,80.0,0.00585072152930934,0.007777521173355762,0.0011935678775072311,2.7353758970316298,14.970724556058297,
4,4,2.5,0.027,500,1,100000.0,,1215.92,1.21592,,100.0,0.007150323473902062,0.007504248707514857,0.0012253253129401107,2.826804724971693,17.199919188424246,
5,5,2.5,0.027,600,1,100000.0,,1326.2,1.3262,,120.0,0.00912156297542424,0.006509531629455529,0.0012271125962390315,2.634004292935079,17.46722728027328,
6,6,2.5,0.027,700,1,100000.0,,1442.84,1.44284,,140.0,0.01119213813069564,0.00597981015154023,0.00119760459910103,2.522641344167108,18.197063611071705,
7,7,2.5,0.027,800,1,100000.0,,1548.6799999999998,1.5486799999999998,,160.0,0.013995141753257483,0.00553809664985291,0.0012377072272794017,2.287558512758417,17.71246444030574,
8,8,2.5,0.027,900,1,100000.0,,1632.28,1.63228,,180.0,0.015374024200464192,0.005503579855189944,0.0012431288744013675,2.350817028635135,19.186052291340488,
9,9,2.5,0.027,1000,1,100000.0,,1716.12,1.71612,,200.0,0.01833614197125371,0.005011914433164398,0.001267671967705422,2.186984290460453,18.770100494920623,
10,10,2.5,0.027,1100,1,100000.0,,1819.08,1.81908,,220.0,0.020342305591666447,0.005281514767207772,0.0012395031881877534,2.1752749872635007,19.786413464132977,
11,11,2.5,0.027,1200,1,100000.0,,1891.0,1.8910000000000005,,240.0,0.022944247814330083,0.004900761954763321,0.0012372859251692076,2.0995583132565616,19.85310007739131,
12,12,2.5,0.027,1300,1,100000.0,,1959.44,1.95944,,260.0,0.02577447551972909,0.004871158526096604,0.0012394557215368435,2.0227685660977888,19.822430547269967,
13,13,2.5,0.027,1400,1,100000.0,,2057.96,2.0579600000000005,,280.0,0.02891325570741173,0.00474628401091396,0.0012042341737986627,1.9502515331542476,20.06341869473716,
14,14,2.5,0.027,1500,1,100000.0,,2115.6,2.1156,,300.0,0.03217270551713227,0.004542160732222053,0.0012613525556203614,1.8677207518091357,19.75566031279367,
15,15,2.5,0.027,1600,1,100000.0,,2192.16,2.1921600000000003,,320.0,0.03456119929751367,0.004201679179747136,0.0012747140104611072,1.8535109253705504,20.31421360710041,
16,16,2.5,0.027,1700,1,100000.0,,2252.24,2.2522399999999996,,340.0,0.03862619267785704,0.004261736901877424,0.0012075329223221766,1.7626031633657355,19.850149329763568,
17,17,2.5,0.027,1800,1,100000.0,,2315.84,2.31584,,360.0,0.04158531171679897,0.004283667330027592,0.0012677780616512336,1.7339171238467264,20.07562076790782,
18,18,2.5,0.027,1900,1,100000.0,,2372.72,2.37272,,380.0,0.044190301340340736,0.004383356444762442,0.0011983413441815328,1.7234164829202872,20.44550156408365,
19,19,2.5,0.027,2000,1,100000.0,,2450.6400000000003,2.4506400000000004,,400.0,0.04809295875739735,0.0040730132966488464,0.0012156485359176568,1.6679603845575983,20.434044681830287,
20,20,2.5,0.027,2100,1,100000.0,,2507.24,2.5072400000000004,,420.0,0.05111427638514214,0.004053825784008385,0.0012631328667254424,1.6441011340988627,20.60921930206858,
