P0	SU_photonEnergy	DetectorAtFocus_outgoingMaxF_X	DetectorAtFocus_outgoingMinF_X	DetectorAtFocus_outgoingMaxF_Y	DetectorAtFocus_outgoingMinF_Y	DetectorAtFocus_intensityH_width_X	DetectorAtFocus_intensityH_centerWidth_X	DetectorAtFocus_intensityH_centerMass_X	DetectorAtFocus_intensityH_width_Y	DetectorAtFocus_intensityH_centerWidth_Y	DetectorAtFocus_intensityH_centerMass_Y	DetectorAtFocus_energyH_width	DetectorAtFocus_energyH_centerWidth	DetectorAtFocus_energyH_centerMass	DetectorAtFocus_pathlengthH_width	DetectorAtFocus_pathlengthH_centerWidth	DetectorAtFocus_pathlengthH_centerMass	DetectorAtFocus_phi_width	DetectorAtFocus_phi_centerWidth	DetectorAtFocus_phi_centerMass	DetectorAtFocus_psi_width	DetectorAtFocus_psi_centerWidth	DetectorAtFocus_psi_centerMass	DetectorAtFocus_incoming_NO	DetectorAtFocus_absorbed_NO	DetectorAtFocus_outgoing_NO	DetectorAtFocus_incoming_R	DetectorAtFocus_absorbed_R	DetectorAtFocus_outgoing_R	DetectorAtFocus_efficiency	DetectorAtFocus_S1S0	DetectorAtFocus_S2S0	DetectorAtFocus_S3S0	DetectorAtFocus_focus_horizontal_z0	DetectorAtFocus_focus_horizontal_width	DetectorAtFocus_focus_horizontal_theta	DetectorAtFocus_focus_horizontal_depth	DetectorAtFocus_focus_vertical_z0	DetectorAtFocus_focus_vertical_width	DetectorAtFocus_focus_vertical_theta	DetectorAtFocus_focus_vertical_depth
0	100	0.156599791638737	-0.154316246540105	0.0111314630807283	-0.0113159586197819	0.0940342571132232	-2.95328387744931e-05	0.0011417725493163	0.0148388751985829	9.16622629335406e-05	-9.22477695267793e-05	0.10608503682996	1000.00418941595	999.998108092214	0.98420042089384	-0.00121259379816813	0.00091486071471536	0.018794469986126	0.000674577111668496	0.000159900869729432	0.0206176836924343	-0.000177425439246204	4.56463424562611e-05	6875	0	6875	3.4375	0	3.4375	100	1.000	-0.000	0.000	1.27707	0.0417113	0.000138952	600.369	-2.99548	0.00460384	0.000165766	55.5462
1	150	0.147506861915627	-0.157342835628894	0.0111734709370241	-0.0106027286355264	0.0926713124337862	0.00329159983931895	0.00111864081751534	0.0139281434889778	9.13258080231551e-05	0.00028537115074885	0.112601748736573	1000.00060346507	999.999509619508	0.981810391383317	0.00231753778350952	0.00967973075189033	0.0171111899557808	0.000144981326435504	-0.000266345355193844	0.0214624874134751	-0.000231921434442213	4.57515381826548e-05	6729	0	6729	3.3645	0	3.3645	100	1.000	-0.000	0.000	3.44985	0.0418772	0.000135917	616.218	-3.67657	0.00456107	0.000162832	56.0218
2	200	0.152325479363707	-0.15412557933178	0.0111098798607515	-0.0108983133010264	0.0971985312561611	-0.000896424931589312	-0.000900049984036116	0.0143141293721179	-4.97170887053134e-05	-0.000112119622729299	0.108019626158094	1000.00051219741	999.999033328801	0.974657927113903	0.00162942910915781	-0.00548733600537343	0.0180155391195819	-0.000199347540515602	-8.9060487665743e-05	0.0193892955698097	2.57049331848051e-05	7.61943841859763e-05	6701	0	6701	3.3505	0	3.3505	100	1.000	-0.000	0.000	1.28849	0.041688	0.000134437	620.184	-2.88707	0.00458693	0.000164512	55.7641
3	250	0.159048558571162	-0.171325421753842	0.0107843834407633	-0.0108849726611756	0.0929257946387985	0.00479745079211961	0.000403627424996639	0.0146653022831986	2.02500935562316e-06	-5.02946102061176e-05	0.122402607718154	1000.00220263988	999.999612829696	0.973118191782916	0.000535864219117943	-0.00843018693010689	0.0167880706167091	-0.000330108284441974	0.000157917024183288	0.0193924133127662	0.000114808771580415	0.00028083970747738	6687	0	6687	3.3435	0	3.3435	100	1.000	-0.000	0.000	4.77445	0.0419618	0.000137595	609.932	-3.15887	0.00454924	0.000162335	56.0477
4	300	0.175206648365285	-0.149304143414065	0.011206437304177	-0.0112940489906607	0.0914633596782745	0.00147795201614925	0.00331231806632254	0.0148681868037379	-3.34314198386027e-05	-4.38058432418731e-05	0.114523032699494	1000.00144356984	1000.00050222174	0.973270502734745	-0.000774271491579492	9.7179770184086e-05	0.017129052597549	-0.000314095802309445	-0.000335820454384385	0.0194268791793963	-6.80984621615095e-05	5.37813595603218e-05	6762	0	6762	3.381	0	3.381	100	1.000	-0.000	0.000	10.8618	0.04213	0.000136735	616.23	-3.639	0.0045735	0.000162617	56.2486
5	350	0.147533266611182	-0.138754598944841	0.010499699639679	-0.0111376770755701	0.0946616024105412	0.00300159356077647	0.0015548005108337	0.0148284120146463	0.000259286391940629	0.000109474187306903	0.114707100565361	1000.00151934065	1000.00040286923	0.982469712317575	-0.000635064050022061	-0.000575549286736532	0.01709635032094	-4.10278226639377e-05	0.000121675364870632	0.0213058887990997	0.000235490085948996	-0.000313857483405455	6708	0	6708	3.354	0	3.354	100	1.000	-0.000	0.000	0.71946	0.0423115	0.000135953	622.443	-2.89131	0.00463297	0.00016109	57.5203
6	400	0.148271718890173	-0.13687456414687	0.0111236685881596	-0.0109980947493895	0.0997908911218995	0.00151455546005867	0.00287534684653221	0.0147773266773104	2.97924132646879e-05	6.27869193850494e-05	0.114238475240082	1000.00187230801	1000.00131775231	0.992843979748642	-0.00318519599669564	0.00112459196861892	0.0182872451468433	-5.73253295881836e-05	0.000193236106984108	0.0207002707399616	0.000543551016579328	0.000296323767586884	6777	0	6777	3.3885	0	3.3885	100	1.000	-0.000	0.000	0.59915	0.041837	0.000136487	613.054	-3.22763	0.00460853	0.000163345	56.4269
7	450	0.160330486478057	-0.136783844941685	0.011054319638698	-0.0106755073221031	0.0948531549564323	0.00195881211891878	6.41655354269299e-06	0.0139313620200096	-0.000248267950768401	-2.57406432946292e-05	0.106039080402877	999.997257850778	1000.00010246735	0.990748925327718	-0.00544161425291068	0.00106262661620349	0.0166458982482434	0.000169111298983407	0.000165376243280738	0.0218278089164538	-0.000147505603805951	-0.000350450108194469	6735	0	6735	3.3675	0	3.3675	100	1.000	-0.000	0.000	4.05549	0.0416435	0.000138776	600.154	-2.94253	0.00452955	0.000166156	54.5215
8	500	0.149697135001799	-0.163978126888269	0.0110766433379052	-0.0111077792634104	0.0924591479457318	0.0049911277375381	0.00217659104359874	0.014590886152209	-0.000172459211701063	-1.55679627525801e-05	0.104636652644194	1000.0005782722	999.999524705193	0.978425197942412	0.000836592104677625	0.00155795584373664	0.0169103861508188	-0.000196735833196383	0.000200078282256044	0.0205441704807011	-0.000499624613871331	0.000162367324076589	6637	0	6637	3.3185	0	3.3185	100	1.000	-0.000	0.000	2.76844	0.0418488	0.00013817	605.758	-3.21915	0.0045741	0.000161856	56.5208
9	550	0.145993932445581	-0.139439934508432	0.0115366191708301	-0.0107470428706236	0.095904576036494	0.00202228371460961	0.00327699896857447	0.0142976325227078	0.000223405671531243	-4.6472484380989e-05	0.109430605514133	1000.0001736827	999.998423627474	0.983767766460103	-7.61672452193052e-06	0.00846965435396962	0.0180578633784992	0.000104181457327625	0.000105970900088261	0.0213697534701843	-0.000584200268821986	-0.000246164278578355	6789	0	6789	3.3945	0	3.3945	100	1.000	-0.000	0.000	-2.59969	0.0428983	0.000136706	627.598	-3.01936	0.00458517	0.000162007	56.6045
