,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
0,0,2.25,0.02,100,1,100000.0,,1051.9,1.0519,100.0,0.0059919719003033,0.0552942296849016,0.0072998942357737,14503281630000.0,8138497705000.0,5588997156000.0,4051119356000.0,16.9442053006346,17.831354670019724,245853368783830.9,137960299514209.1,94742266886935.58,68672826359366.75,6.001150465125003e-05,3.367537812046163e-05,2.3126085349493225e-05,1.676267304721456e-05,2.88760435431848e-05,1.620375443993151e-05,1.1127697121013024e-05,8.06578138016167e-06
1,1,2.25,0.02,105,1,100000.0,,1115.3,1.1153,105.0,0.0061632216266985,0.0574096996965201,0.0066792309685107,15377421810000.0,8629020335000.0,5925856572000.0,4295287972000.0,17.255441364583227,19.230309887948312,265141743642064.9,148783946087561.7,102175251709042.5,74060538652862.05,6.723160581609336e-05,3.772692853911991e-05,2.5908429780623304e-05,1.8779422933714208e-05,3.411780116281778e-05,1.914515994013962e-05,1.3147665372058426e-05,9.529931790675047e-06
2,2,2.25,0.02,110,1,100000.0,,1129.9,1.1299,110.0,0.0071617386860097,0.0559516414546515,0.0071087342480406,15578722230000.0,8741979805000.0,6003429876000.0,4351516076000.0,15.593992316754614,17.64077994109835,243225781593881.8,136485832365280.9,93729697614241.4,67938877340355.625,7.056165056457624e-05,3.95955788373404e-05,2.7191698705783343e-05,1.9709585436317775e-05,3.902769046348558e-05,2.190033796292817e-05,1.5039744560601847e-05,1.0901383306903558e-05
3,3,2.25,0.02,115,1,100000.0,,1156.8,1.1568,115.0,0.0068516833732345,0.0532264052124048,0.0071030954237036,15949611360000.0,8950103760000.0,6146356032000.0,4455114432000.0,17.06239981964253,19.73495177830467,272099594633731.25,152688335161154.3,104856535186559.48,76004035686678.06,7.494631865087204e-05,4.205602965584285e-05,2.888137819277757e-05,2.093432989120625e-05,4.352489673841856e-05,2.4423939440248005e-05,1.6772791861328216e-05,1.2157562415404098e-05
4,4,2.25,0.02,120,1,100000.0,,1176.6,1.1766,120.0,0.0075992916797943,0.0546294210138865,0.0072678929848706,16222607820000.0,9103295370000.0,6251558184000.0,4531368984000.0,15.876465778450925,18.668526655650563,257396044970113.25,144437457308435.6,99190362567868.78,71896976597307.66,7.882293774050864e-05,4.42313894377908e-05,3.037527547889641e-05,2.2017163902881298e-05,4.8610705880590304e-05,2.727783465428122e-05,1.8732663672185177e-05,1.3578152622668363e-05
5,5,2.25,0.02,125,1,100000.0,,1186.3,1.1863,125.0,0.0072438654583123,0.0543260511201317,0.006715440589194,16356348510000.0,9178343785000.0,6303096612000.0,4568726012000.0,17.428059126219928,20.69639638641984,285355704457040.9,160126984021911.0,109964921136181.34,79706789619235.53,8.274809346229902e-05,4.643398548801717e-05,3.188787688357199e-05,2.3113555376585246e-05,5.151670732859627e-05,2.890853360357296e-05,1.9852522904225568e-05,1.4389869516466348e-05
6,6,2.25,0.02,130,1,100000.0,,1136.6,1.1366,130.0,0.0077429120729788,0.0498734137481851,0.0072170939142783,15671099820000.0,8793817370000.0,6039028584000.0,4377319384000.0,17.02965796613134,19.336937276443276,266611890086416.9,149608916860977.75,102741788614689.48,74471186316529.38,8.233837837191724e-05,4.620407439562836e-05,3.17299887218902e-05,2.299911198539731e-05,5.201731294831494e-05,2.9189447798796417e-05,2.0045436718923745e-05,1.4529700843437884e-05
7,7,2.25,0.02,135,1,100000.0,,1075.8,1.0758,135.0,0.0079561879585582,0.0540072746875039,0.0074500129338492,14832807660000.0,8323410810000.0,5715983592000.0,4143163992000.0,17.143312209440133,18.446319629704576,254332321158477.8,142718252659042.8,98009723309331.52,71041204010703.42,8.102756564675835e-05,4.546851353240114e-05,3.1224852796114106e-05,2.263297010534184e-05,5.151004797549656e-05,2.890479671620488e-05,1.9849956650153923e-05,1.4388009397154807e-05
8,8,2.25,0.02,140,1,100000.0,,1017.5,1.0175,140.0,0.0088856211203562,0.0512048729821152,0.0066777911987209,14028984750000.0,7872346625000.0,5406221700000.0,3918636700000.0,15.921713776287492,16.182630213344872,223121250592535.1,125204200829138.62,85982198154752.52,62323192782842.31,7.99248786757111e-05,4.484974216657188e-05,3.0799920390995976e-05,2.232496281113207e-05,5.107912831510421e-05,2.8662986706814444e-05,1.9683897077028385e-05,1.42676430537553e-05
9,9,2.25,0.02,145,1,100000.0,,959.9,0.9599,145.0,0.0088747470256122,0.052694871768459,0.0069592244565664,13226501368636.363,7426698305000.0,5100179076000.0,3696805276000.0,16.458808464804203,15.826510618730072,218074137263643.4,122448921331583.66,84090049279861.38,60951690755278.016,7.807801027158971e-05,4.384090776392298e-05,3.0107117761855265e-05,2.182279291151303e-05,5.018745159646798e-05,2.8180321561648617e-05,1.9352433676605627e-05,1.4027385676666335e-05
