Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays
0,2.25,0.008,1000,1,100000
1,2.25,0.012,100,1,100000.0
2,2.25,0.012,150,1,100000.0
3,2.25,0.012,200,1,100000.0
4,2.25,0.012,250,1,100000.0
5,2.25,0.012,300,1,100000.0
6,2.25,0.012,350,1,100000.0
7,2.25,0.012,400,1,100000.0
8,2.25,0.012,450,1,100000.0
9,2.25,0.012,500,1,100000.0
10,2.25,0.012,550,1,100000.0
11,2.25,0.012,600,1,100000.0
12,2.25,0.012,650,1,100000.0
13,2.25,0.012,700,1,100000.0
14,2.25,0.012,750,1,100000.0
15,2.25,0.012,800,1,100000.0
16,2.25,0.012,850,1,100000.0
17,2.25,0.012,900,1,100000.0
18,2.25,0.012,950,1,100000.0
19,2.25,0.012,1000,1,100000.0
20,2.25,0.012,1050,1,100000.0
21,2.25,0.012,1100,1,100000.0
22,2.25,0.012,1150,1,100000.0
23,2.25,0.012,1200,1,100000.0
24,2.25,0.012,1250,1,100000.0
25,2.25,0.012,1300,1,100000.0
26,2.25,0.012,1350,1,100000.0
27,2.25,0.012,1400,1,100000.0
28,2.25,0.012,1450,1,100000.0
29,2.25,0.012,1500,1,100000.0
30,2.25,0.012,1550,1,100000.0
31,2.25,0.012,1600,1,100000.0
32,2.25,0.012,1650,1,100000.0
33,2.25,0.012,1700,1,100000.0
34,2.25,0.012,1750,1,100000.0
35,2.25,0.012,1800,1,100000.0
36,2.25,0.012,1850,1,100000.0
37,2.25,0.012,1900,1,100000.0
38,2.25,0.012,1950,1,100000.0
39,2.25,0.012,2000,1,100000.0
40,2.25,0.01,100,1,100000.0
41,2.25,0.01,150,1,100000.0
42,2.25,0.01,200,1,100000.0
43,2.25,0.01,250,1,100000.0
44,2.25,0.01,300,1,100000.0
45,2.25,0.01,350,1,100000.0
46,2.25,0.01,400,1,100000.0
47,2.25,0.01,450,1,100000.0
48,2.25,0.01,500,1,100000.0
49,2.25,0.01,550,1,100000.0
50,2.25,0.01,600,1,100000.0
51,2.25,0.01,650,1,100000.0
52,2.25,0.01,700,1,100000.0
53,2.25,0.01,750,1,100000.0
54,2.25,0.01,800,1,100000.0
55,2.25,0.01,850,1,100000.0
56,2.25,0.01,900,1,100000.0
57,2.25,0.01,950,1,100000.0
58,2.25,0.01,1000,1,100000.0
59,2.25,0.01,1050,1,100000.0
