,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,0.027,100,1,100000.0,,1078.4,1.0783999999999998,,100.0,0.0027590294155430684,0.14625869714890455,0.005547197720246618,36.45049090408685,39.2629548676814,
1,1,2.5,0.027,200,1,100000.0,,599.8,0.5997999999999999,,200.0,0.006117030906892751,0.11630987803478744,0.005688655539506348,33.27343675337737,19.980987576177387,
2,2,2.5,0.027,300,1,100000.0,,659.4,0.6594,,300.0,0.011920445611212924,0.0991778774532929,0.0058829273174960395,25.94489835136237,17.060779604775757,
3,3,2.5,0.027,400,1,100000.0,,788.7999999999998,0.7888,,400.0,0.016859372960038855,0.09839752027538495,0.006034611342198865,23.81598835128052,18.800669287434,
4,4,2.5,0.027,500,1,100000.0,,928.0,0.928,,500.0,0.023158271223485367,0.08985257777665837,0.005903219922330688,21.988398818544724,20.380707125851647,
5,5,2.5,0.027,600,1,100000.0,,991.8,0.9918,,600.0,0.03004163091861756,0.09032181930968064,0.005515028791144051,20.078394051795236,19.905269529151795,
6,6,2.5,0.027,700,1,100000.0,,1158.2,1.1582,,700.0,0.03528161007111521,0.08923437236150003,0.00580112510106167,19.99916127473894,23.152876516792254,
7,7,2.5,0.027,800,1,100000.0,,1236.2,1.2362,,800.0,0.04346778841650121,0.08493744020185094,0.00620947998521288,18.60814572237759,23.016286595047585,
8,8,2.5,0.027,900,1,100000.0,,1400.2,1.4002,,900.0,0.05144471115447687,0.08437260104295302,0.005857359183727042,17.63149065591429,24.66930361294001,
9,9,2.5,0.027,1000,1,100000.0,,1503.0,1.503,,1000.0,0.06214979177880196,0.08567162458011576,0.005587757849771484,16.37760968752439,24.6362900443048,
10,10,2.5,0.027,1100,1,100000.0,,1592.6,1.5926,,1100.0,0.07437781612579784,0.08621139536490582,0.005845906172403476,14.89670899836361,23.733079394450833,
11,11,2.5,0.027,1200,1,100000.0,,1713.8,1.7137999999999995,,1200.0,0.08154723721909247,0.08413288210893166,0.006027696284666334,14.986117663916753,25.673101163336604,
12,12,2.5,0.027,1300,1,100000.0,,1729.0,1.7289999999999999,,1300.0,0.09133428454765635,0.0852028837047222,0.005891915154341105,14.369927060545312,24.85800020656346,
13,13,2.5,0.027,1400,1,100000.0,,1824.6,1.8246,,1400.0,0.09854238625434845,0.08503466979157592,0.0062870918676662,14.437774676215039,26.36313922866743,
14,14,2.5,0.027,1500,1,100000.0,,1870.0,1.87,,1500.0,0.1116933325854916,0.08951535481481822,0.0062767458774893965,13.469978389378465,25.195441469715057,
15,15,2.5,0.027,1600,1,100000.0,,1838.4,1.8384,,1600.0,0.12466474715592994,0.0826682775652683,0.005859355478503505,12.936880549279994,23.77147341381984,
16,16,2.5,0.027,1700,1,100000.0,,1826.6,1.8266,,1700.0,0.14145315624896285,0.07787280361414077,0.005940230748774575,12.162860955535317,22.196467081766166,
17,17,2.5,0.027,1800,1,100000.0,,1731.2,1.7312,,1800.0,0.1510116291948634,0.08508194792591886,0.006100030620787152,11.94437493205016,20.696594979985235,
18,18,2.5,0.027,1900,1,100000.0,,1474.4,1.4744,,1900.0,0.16013599991511,0.0810373557782341,0.0061101630114374335,11.93086996658982,17.604937498162013,
19,19,2.5,0.027,2000,1,100000.0,,1003.8,1.0038,,2000.0,0.1797695224682684,0.08184631683194979,0.005602308487046232,11.199287366153564,11.234072026631583,
20,20,2.5,0.027,2100,1,100000.0,,36.0,0.036000000000000004,,2100.0,0.20832276860443916,0.08665553603073967,0.005471571821845796,10.12755108929534,0.3641661377493193,
