,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,0.027,100,1,100000.0,,100000.0,100.0,,100.0,0.0998202433102989,0.47237463533698526,0.1107653581197148,1.0018016165836887,100.18016165836887,
1,1,2.5,0.027,200,1,100000.0,,100000.0,100.0,,200.0,0.19967854739823,0.46532867281781715,0.08136783920619958,1.00161277008524,100.16127700852402,
2,2,2.5,0.027,300,1,100000.0,,100000.0,100.0,,300.0,0.29907332078885246,0.4891342495313625,0.07456847491250787,1.0031079506072387,100.31079506072388,
3,3,2.5,0.027,400,1,100000.0,,100000.0,100.0,,400.0,0.39974833252857706,0.4720239649777279,0.06481314544374803,1.0006296523931983,100.06296523931987,
4,4,2.5,0.027,500,1,100000.0,,100000.0,100.0,,500.0,0.49901815002098154,0.48456735083018887,0.06342077698200502,1.0019684395786423,100.19684395786425,
5,5,2.5,0.027,600,1,100000.0,,100000.0,100.0,,600.0,0.5980931533255216,0.49247288114012056,0.05812331630581843,1.003197635021658,100.31976350216581,
6,6,2.5,0.027,700,1,100000.0,,100000.0,100.0,,700.0,0.6968584060819921,0.46006914381268366,0.05437410211319808,1.004551419185891,100.45514191858906,
7,7,2.5,0.027,800,1,100000.0,,100000.0,100.0,,800.0,0.7994018417630514,0.4967251734934989,0.05487463756470544,1.0007483563934996,100.07483563934998,
8,8,2.5,0.027,900,1,100000.0,,100000.0,100.0,,900.0,0.899510900899395,0.46523115106703034,0.051953822615283474,1.0005438080085587,100.05438080085584,
9,9,2.5,0.027,1000,1,100000.0,,100000.0,100.0,,1000.0,0.9975813675358721,0.4552654408170056,0.053679585108996015,1.0024254654071636,100.24254654071636,
10,10,2.5,0.027,1100,1,100000.0,,100000.0,100.0,,1100.0,1.0985747935351355,0.48041168112591776,0.05202625160475227,1.0012976959230475,100.1297695923048,
11,11,2.5,0.027,1200,1,100000.0,,100000.0,100.0,,1200.0,1.1984525474620569,0.4825755910763731,0.04851592722480201,1.0012915693249675,100.12915693249678,
12,12,2.5,0.027,1300,1,100000.0,,100000.0,100.0,,1300.0,1.2983702121591705,0.4690967408684663,0.050532277837652295,1.0012556406247455,100.12556406247457,
13,13,2.5,0.027,1400,1,100000.0,,100000.0,100.0,,1400.0,1.3987382560966126,0.4648680134239244,0.04978857013275693,1.0009025041820163,100.09025041820168,
14,14,2.5,0.027,1500,1,100000.0,,100000.0,100.0,,1500.0,1.4929765656335803,0.5000161244478076,0.049366249650200575,1.004717998844562,100.47179988445617,
15,15,2.5,0.027,1600,1,100000.0,,100000.0,100.0,,1600.0,1.5967214934550156,0.47377350947528607,0.04757866381904511,1.0020592220461007,100.20592220461008,
16,16,2.5,0.027,1700,1,100000.0,,100000.0,100.0,,1700.0,1.6830769892357236,0.48143258400992583,0.04766423206405184,1.0103531924926936,101.03531924926932,
17,17,2.5,0.027,1800,1,100000.0,,100000.0,100.0,,1800.0,1.7979231005527707,0.490544232976338,0.04748571687551582,1.0011556536158344,100.11556536158346,
18,18,2.5,0.027,1900,1,100000.0,,100000.0,100.0,,1900.0,1.8975590996895333,0.4775061163012392,0.044808731550170046,1.0012868784224511,100.12868784224511,
19,19,2.5,0.027,2000,1,100000.0,,100000.0,100.0,,2000.0,1.9963107337403472,0.49103991616057857,0.04363591738764914,1.001850886122978,100.18508861229778,
20,20,2.5,0.027,2100,1,100000.0,,100000.0,100.0,,2100.0,1.9640200746324488,0.4823456164044179,0.045163312215617354,1.0949462998505664,109.4946299850566,
