P0	SU_photonEnergy	DetectorAtFocus_outgoingMaxF_X	DetectorAtFocus_outgoingMinF_X	DetectorAtFocus_outgoingMaxF_Y	DetectorAtFocus_outgoingMinF_Y	DetectorAtFocus_intensityH_width_X	DetectorAtFocus_intensityH_centerWidth_X	DetectorAtFocus_intensityH_centerMass_X	DetectorAtFocus_intensityH_width_Y	DetectorAtFocus_intensityH_centerWidth_Y	DetectorAtFocus_intensityH_centerMass_Y	DetectorAtFocus_energyH_width	DetectorAtFocus_energyH_centerWidth	DetectorAtFocus_energyH_centerMass	DetectorAtFocus_pathlengthH_width	DetectorAtFocus_pathlengthH_centerWidth	DetectorAtFocus_pathlengthH_centerMass	DetectorAtFocus_phi_width	DetectorAtFocus_phi_centerWidth	DetectorAtFocus_phi_centerMass	DetectorAtFocus_psi_width	DetectorAtFocus_psi_centerWidth	DetectorAtFocus_psi_centerMass	DetectorAtFocus_incoming_NO	DetectorAtFocus_absorbed_NO	DetectorAtFocus_outgoing_NO	DetectorAtFocus_incoming_R	DetectorAtFocus_absorbed_R	DetectorAtFocus_outgoing_R	DetectorAtFocus_efficiency	DetectorAtFocus_S1S0	DetectorAtFocus_S2S0	DetectorAtFocus_S3S0	DetectorAtFocus_focus_horizontal_z0	DetectorAtFocus_focus_horizontal_width	DetectorAtFocus_focus_horizontal_theta	DetectorAtFocus_focus_horizontal_depth	DetectorAtFocus_focus_vertical_z0	DetectorAtFocus_focus_vertical_width	DetectorAtFocus_focus_vertical_theta	DetectorAtFocus_focus_vertical_depth
10	600	0.0501713323187783	-0.0523648996227514	0.0109767955527569	-0.0110106984099337	0.0281980406079077	0.000216932978564953	-8.15734347436731e-05	0.0150529068610087	-0.000128068095685354	0.000200746531438218	0.114582696514173	1000.00537524836	1000.00169366476	0.972674484964354	0.00333911303947959	0.00589045729759619	0.00469384343931313	-0.000147180140279196	-1.35464885451832e-05	0.0190808664617575	0.000735033950679389	0.00019222916008093	6979	0	6979	3.4895	0	3.4895	100	1.000	-0.000	0.000	-3.9738	0.0139948	3.7178e-05	752.854	-3.46135	0.00462357	0.000153131	60.387
11	650	0.0560445397612226	-0.0503314444413163	0.0107183728771886	-0.0104736649131089	0.0338404211296134	-0.000717294837362974	-0.000303135039132173	0.0146176102249907	-8.74681742997364e-05	-8.74681742997364e-05	0.111288734684682	999.999548978268	1000.00091048938	0.98421402208104	0.00152199728467789	-0.000347322806987904	0.00470516728559176	0.00011126953442148	-1.08687931752441e-05	0.0190513390675579	0.000317511708281752	5.35350445100072e-05	6833	0	6833	3.4165	0	3.4165	100	1.000	-0.000	0.000	-9.56482	0.0140741	3.7116e-05	758.383	-4.01576	0.00462608	0.000152154	60.8077
12	700	0.0501140989163268	-0.0513079988255434	0.0117934651419221	-0.0109526166444393	0.0287484328957791	0.000342566177339	0.000407229230954806	0.0148134005797317	-0.00022408757884242	-2.99932123746412e-05	0.117441223620114	999.996209255892	1000.00108474657	0.984184804129794	0.00195547229200133	0.00275111628843661	0.00498612997020443	8.59231640725449e-05	-3.65168942234612e-05	0.0172479958451244	8.73712656733229e-05	3.23655902492934e-05	6891	0	6891	3.4455	0	3.4455	100	1.000	-0.000	0.000	-10.0007	0.0138236	3.75345e-05	736.582	-3.32395	0.00465083	0.000152537	60.9797
13	750	0.0482956799529763	-0.0523833676786717	0.0107635031959827	-0.0111660364601411	0.0322326500197011	1.01672097677259e-05	-5.01993552903049e-05	0.0142797904090354	1.39189144050048e-05	1.58575229318898e-05	0.115862901569225	1000.00115104986	1000.00008990889	0.984326434866897	-0.000335370522829503	-0.00784094392097501	0.00480694208543935	-0.000169403204447461	6.8929360979653e-05	0.0191369454424369	-0.000486281975549951	-9.38349094310384e-05	6773	0	6773	3.3865	0	3.3865	100	1.000	-0.000	0.000	-12.6302	0.0140945	3.68847e-05	764.244	-4.39677	0.00461462	0.000151647	60.86
14	800	0.0484497212463989	-0.0501574050851249	0.0106685850621482	-0.0111571426095262	0.0315746941426099	0.00102111356556358	0.000122466262137223	0.0141363005134195	-9.12105515691736e-05	-0.000244278773689002	0.109834584140842	999.999896852523	999.999503666346	0.979987773144086	-0.00269931914772481	-0.0176847063308283	0.00494303077044623	8.91528234184904e-05	2.63290142754483e-05	0.0193485949977294	0.000169948298355479	-0.000212010393765026	6788	0	6788	3.394	0	3.394	100	1.000	-0.000	0.000	-4.89271	0.0140568	3.74114e-05	751.473	-3.71613	0.00461681	0.000152315	60.6221
15	850	0.0477120497748355	-0.0497853511111484	0.0113184095674055	-0.0110654681015032	0.0289510050898179	0.00107067911584491	-7.13298673050908e-05	0.0152033070107637	2.30468757350371e-05	-9.51518182261968e-05	0.117081780493231	1000.00049145806	999.998537336791	0.985414491068315	-0.00147460866327459	-0.00240751391584126	0.00481786954331049	6.1423060415274e-05	3.72971583015797e-05	0.0168599849462749	-0.000160008615560939	-7.91410689203118e-05	6914	0	6914	3.457	0	3.457	100	1.000	-0.000	0.000	-5.96928	0.014128	3.75554e-05	752.381	-3.2857	0.00468483	0.000153662	60.9758
16	900	0.0598380945284645	-0.0533621803348973	0.0111196240423177	-0.0112519186762087	0.0292119881218054	6.4070002279773e-05	-0.000124427305098464	0.0146321165764332	7.12836272974728e-05	-6.61473169455001e-05	0.112697198870722	999.995076508368	999.999146631923	0.979250257449495	-0.00116309959203714	0.00459353522296624	0.00473926141194937	1.33840430582206e-05	-7.55398869378386e-05	0.018877789134311	0.000857931664398133	-1.91337599835736e-05	6947	0	6947	3.4735	0	3.4735	100	1.000	-0.000	0.000	-4.6789	0.0139394	3.75486e-05	742.469	-3.75932	0.00461417	0.000153535	60.1057
17	950	0.052808725402961	-0.0511755838406176	0.0111598617315489	-0.0112587217082161	0.0327485667854507	-2.59101786297122e-06	-0.000212976835101374	0.0147006346441858	0.000295080008832729	0.000172536184337314	0.111987394644899	1000.00108676094	1000.00159537421	0.987378046439804	-0.000302451159666206	0.00975728194700676	0.00480355376755926	9.41826342337956e-05	-2.33712795860829e-05	0.0173669220766441	-0.000108050189924323	-2.25693667408045e-05	6779	0	6779	3.3895	0	3.3895	100	1.000	-0.000	0.000	-0.412918	0.0140786	3.75998e-05	748.868	-3.62944	0.00463089	0.000153808	60.2164
18	1000	0.0519587768260381	-0.0485868867261006	0.0107779563516693	-0.0109304400956465	0.0289578208455241	-0.00040158995326192	0.000690443430640619	0.014308504589037	-3.78606901510654e-05	-7.6241871988611e-05	0.109008103294602	999.999168554692	1000.00088961286	0.989931533117364	-0.00144437572727496	-0.000568330122746374	0.00462235182263564	-5.27592059040775e-05	-4.48041561991984e-05	0.0194765685446378	-3.12864594686092e-05	-0.000131591223581168	6712	0	6712	3.356	0	3.356	100	1.000	-0.000	0.000	-12.4523	0.0138783	3.68623e-05	752.979	-4.3042	0.00463369	0.000153545	60.3563
19	1050	0.0550398273336721	-0.0528072066915694	0.0106278695050157	-0.0111934216032042	0.0314331392486935	0.000415571547991284	4.85179049598272e-05	0.0144665698442954	8.89830585534754e-05	0.000149328725325949	0.118146647731723	1000.00425069895	1000.00037289939	0.98789382754334	0.00333126477776052	0.00620654801753062	0.00473874303486827	6.2405231477929e-05	-2.67641195609465e-05	0.0197903488179549	-0.000704885348133403	0.000372172025916995	6773	0	6773	3.3865	0	3.3865	100	1.000	-0.000	0.000	-11.0795	0.0140437	3.69071e-05	761.028	-4.21261	0.00462123	0.000152811	60.4829
