Simulation Number,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy
0,0.02,1200,1,100000.0,50
1,0.02,1200,1,100000.0,100
2,0.02,1200,1,100000.0,150
3,0.02,1200,1,100000.0,200
4,0.02,1200,1,100000.0,250
5,0.02,1200,1,100000.0,300
6,0.02,1200,1,100000.0,350
7,0.02,1200,1,100000.0,400
8,0.02,1200,1,100000.0,450
9,0.02,1200,1,100000.0,500
10,0.02,1200,1,100000.0,550
11,0.02,1200,1,100000.0,600
12,0.02,1200,1,100000.0,650
13,0.02,1200,1,100000.0,700
14,0.02,1200,1,100000.0,750
15,0.02,1200,1,100000.0,800
16,0.02,1200,1,100000.0,850
17,0.02,1200,1,100000.0,900
18,0.02,1200,1,100000.0,950
19,0.02,1200,1,100000.0,1000
20,0.02,1200,1,100000.0,1050
21,0.02,1200,1,100000.0,1100
22,0.02,1200,1,100000.0,1150
23,0.02,1200,1,100000.0,1200
24,0.02,1200,1,100000.0,1250
25,0.02,1200,1,100000.0,1300
26,0.02,1200,1,100000.0,1350
27,0.02,1200,1,100000.0,1400
28,0.02,1200,1,100000.0,1450
29,0.02,1200,1,100000.0,1500
30,0.02,1200,1,100000.0,1550
31,0.02,1200,1,100000.0,1600
32,0.02,1200,1,100000.0,1650
33,0.02,1200,1,100000.0,1700
34,0.02,1200,1,100000.0,1750
35,0.02,1200,1,100000.0,1800
36,0.02,1200,1,100000.0,1850
37,0.02,1200,1,100000.0,1900
38,0.02,1200,1,100000.0,1950
39,0.02,1200,1,100000.0,2000
40,0.02,1200,1,100000.0,2050
41,0.02,1200,1,100000.0,2100
