Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays
0,2.25,0.02,1000,1,100000
1,2.25,0.02,1000,1,100000
2,2.25,0.02,1000,1,100000
3,2.25,0.02,1000,1,100000
4,2.25,0.02,1000,1,100000
5,2.25,0.02,1000,1,100000
6,2.25,0.02,1000,1,100000
7,2.25,0.02,1000,1,100000
8,2.25,0.02,1000,1,100000
9,2.25,0.02,1000,1,100000
10,2.25,0.02,1000,1,100000
11,2.25,0.02,1000,1,100000
12,2.25,0.02,1000,1,100000
13,2.25,0.02,1000,1,100000
14,2.25,0.02,1000,1,100000
15,2.25,0.02,1000,1,100000
16,2.25,0.02,1000,1,100000
17,2.25,0.02,1000,1,100000
18,2.25,0.02,1000,1,100000
19,2.25,0.02,1000,1,100000
20,2.25,0.02,1000,1,100000
21,2.25,0.02,1000,1,100000
22,2.25,0.02,1000,1,100000
23,2.25,0.02,1000,1,100000
24,2.25,0.02,1000,1,100000
25,2.25,0.02,1000,1,100000
26,2.25,0.02,1000,1,100000
27,2.25,0.02,1000,1,100000
28,2.25,0.02,1000,1,100000
29,2.25,0.02,1000,1,100000
30,2.25,0.02,1000,1,100000
31,2.25,0.02,1000,1,100000
32,2.25,0.02,1000,1,100000
33,2.25,0.02,1000,1,100000
34,2.25,0.02,1000,1,100000
35,2.25,0.02,1000,1,100000
36,2.25,0.02,1000,1,100000
37,2.25,0.02,1000,1,100000
38,2.25,0.02,1000,1,100000
39,2.25,0.02,1000,1,100000
40,2.25,0.02,1000,1,100000
41,2.25,0.02,1000,1,100000
42,2.25,0.02,1000,1,100000
43,2.25,0.02,1000,1,100000
44,2.25,0.02,1000,1,100000
45,2.25,0.02,1000,1,100000
46,2.25,0.02,1000,1,100000
47,2.25,0.02,1000,1,100000
48,2.25,0.02,1000,1,100000
49,2.25,0.02,1000,1,100000
50,2.25,0.02,1000,1,100000
51,2.25,0.02,1000,1,100000
52,2.25,0.02,1000,1,100000
53,2.25,0.02,1000,1,100000
54,2.25,0.02,1000,1,100000
55,2.25,0.02,1000,1,100000
56,2.25,0.02,1000,1,100000
57,2.25,0.02,1000,1,100000
58,2.25,0.02,1000,1,100000
59,2.25,0.02,1000,1,100000
60,2.25,0.02,1000,1,100000
61,2.25,0.02,1000,1,100000
62,2.25,0.02,1000,1,100000
63,2.25,0.02,1000,1,100000
64,2.25,0.02,1000,1,100000
65,2.25,0.02,1000,1,100000
66,2.25,0.02,1000,1,100000
67,2.25,0.02,1000,1,100000
68,2.25,0.02,1000,1,100000
69,2.25,0.02,1000,1,100000
70,2.25,0.02,1000,1,100000
71,2.25,0.02,1000,1,100000
72,2.25,0.02,1000,1,100000
73,2.25,0.02,1000,1,100000
74,2.25,0.02,1000,1,100000
75,2.25,0.02,1000,1,100000
76,2.25,0.02,1000,1,100000
77,2.25,0.02,1000,1,100000
78,2.25,0.02,1000,1,100000
79,2.25,0.02,1000,1,100000
80,2.25,0.02,1000,1,100000
81,2.25,0.02,1000,1,100000
82,2.25,0.02,1000,1,100000
83,2.25,0.02,1000,1,100000
84,2.25,0.02,1000,1,100000
85,2.25,0.02,1000,1,100000
86,2.25,0.02,1000,1,100000
87,2.25,0.02,1000,1,100000
88,2.25,0.02,1000,1,100000
89,2.25,0.02,1000,1,100000
90,2.25,0.02,1000,1,100000
91,2.25,0.02,1000,1,100000
92,2.25,0.02,1000,1,100000
93,2.25,0.02,1000,1,100000
94,2.25,0.02,1000,1,100000
95,2.25,0.02,1000,1,100000
96,2.25,0.02,1000,1,100000
97,2.25,0.02,1000,1,100000
98,2.25,0.02,1000,1,100000
99,2.25,0.02,1000,1,100000
100,2.25,0.02,1000,1,100000
101,2.25,0.02,1000,1,100000
102,2.25,0.02,1000,1,100000
103,2.25,0.02,1000,1,100000
104,2.25,0.02,1000,1,100000
105,2.25,0.02,1000,1,100000
106,2.25,0.02,1000,1,100000
107,2.25,0.02,1000,1,100000
108,2.25,0.02,1000,1,100000
109,2.25,0.02,1000,1,100000
110,2.25,0.02,1000,1,100000
111,2.25,0.02,1000,1,100000
112,2.25,0.02,1000,1,100000
113,2.25,0.02,1000,1,100000
114,2.25,0.02,1000,1,100000
115,2.25,0.02,1000,1,100000
116,2.25,0.02,1000,1,100000
