P0	SU_photonEnergy	SU_outgoingMaxF_X	SU_outgoingMinF_X	SU_outgoingMaxF_Y	SU_outgoingMinF_Y	SU_intensityH_width_X	SU_intensityH_centerWidth_X	SU_intensityH_centerMass_X	SU_intensityH_width_Y	SU_intensityH_centerWidth_Y	SU_intensityH_centerMass_Y	SU_energyH_width	SU_energyH_centerWidth	SU_energyH_centerMass	SU_pathlengthH_width	SU_pathlengthH_centerWidth	SU_pathlengthH_centerMass	SU_phi_width	SU_phi_centerWidth	SU_phi_centerMass	SU_psi_width	SU_psi_centerWidth	SU_psi_centerMass	SU_incoming_NO	SU_absorbed_NO	SU_outgoing_NO	SU_incoming_R	SU_absorbed_R	SU_outgoing_R	SU_efficiency	SU_S1S0	SU_S2S0	SU_S3S0	SU_focus_horizontal_z0	SU_focus_horizontal_width	SU_focus_horizontal_theta	SU_focus_horizontal_depth	SU_focus_vertical_z0	SU_focus_vertical_width	SU_focus_vertical_theta	SU_focus_vertical_depth
0	100	0.100561809434872	-0.101796982105843	0.0675787671827051	-0.0715507213850146	0.0543089455510126	0.000592773113961997	-0.000617586335485504	0.0372868902112891	-0.00017836136600333	-0.00060845741236544	0.99998499890728	1000.00000338982	1000.00000338982	0	0	0	0.00182332778859214	1.1431318378737e-05	3.5371892955589e-07	0.00164612025980673	-2.79174754732117e-07	2.78892586224339e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-1.07172	0.0232865	1.36585e-05	3409.83	1.28672	0.0160572	1.24463e-05	2580.24
1	151.282051282	0.1030266395866	-0.102674435268887	0.0683379560559278	-0.0694016905174332	0.055360126194237	-2.82259825939227e-05	0.00017610215885637	0.0374237260961413	-0.000205802212970708	-0.0005318672307527	0.999994613741592	1000.00000252932	1000.00000252932	0	0	0	0.00183817586291159	5.11583733099976e-06	-2.32293041023245e-05	0.00168338413428567	-9.69173783090785e-06	-3.11119741656278e-06	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-4.22681	0.023364	1.37183e-05	3406.26	-0.648221	0.0160497	1.24756e-05	2572.97
2	202.564102564	0.102795165214864	-0.0996749668632979	0.0667272190123191	-0.0695758504561198	0.054234297207132	-0.000252784388311236	-0.000444555597267887	0.0378432231191901	-0.000300311205148326	-7.47803806286917e-05	0.999987310475717	999.999997317205	999.999997317205	0	0	0	0.00184129765220162	-1.17979216880887e-06	-3.56580643869923e-05	0.00167799128292049	-6.99765735929169e-06	1.48407039585199e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	3.65011	0.0233023	1.37151e-05	3398.06	-1.30201	0.0160426	1.24501e-05	2577.11
3	253.846153846	0.100594880098137	-0.0953573392616867	0.0682496242974096	-0.0706190870523045	0.0545703805957085	-9.15540853275859e-05	0.000678649434464662	0.0375263749088148	-0.000204477563415649	0.000190206358688355	0.999982973387091	1000.00000262855	1000.00000262855	0	0	0	0.0018372293893923	1.09198323267198e-06	1.11774920902594e-05	0.00167132664061245	-3.27226115991706e-06	-2.38206275354532e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-1.17544	0.0233303	1.36906e-05	3408.23	2.57783	0.0160737	1.24733e-05	2577.3
4	305.128205128	0.0984067709816333	-0.104250182978609	0.0712719029933198	-0.0683361315346569	0.0538327172866059	-0.000271189532221511	-0.000915201503831786	0.0370809453574494	0.00010062262974005	8.56279617277439e-05	0.999995055753743	999.999999048336	999.999999048336	0	0	0	0.00186343313524793	6.80371322152199e-06	1.40292232081252e-05	0.001655309670552	8.20281120826475e-06	-2.43216759168445e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	4.99828	0.0234158	1.3698e-05	3418.85	1.07628	0.0160602	1.24908e-05	2571.53
5	356.41025641	0.100248303672671	-0.105051105082439	0.0681671541933827	-0.0692222454958551	0.0556551337910363	-0.000154078617381058	-0.000368733291466875	0.037713703983496	-6.6563857471412e-05	-0.000527545651236166	0.999972207789142	1000.00000359656	1000.00000359656	0	0	0	0.00186161255784304	-6.31222757347088e-06	-2.15485610727995e-05	0.00166808547083046	-9.17961510576082e-06	-2.86527140087038e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-0.693176	0.0233793	1.36913e-05	3415.21	-2.89882	0.0160236	1.24788e-05	2568.12
6	407.692307692	0.103853634835167	-0.095957432797031	0.0698407245772317	-0.0666898502916383	0.0556220833958088	4.89016262240904e-05	-8.55378552989949e-06	0.037183489831256	0.000192861993485088	0.000223649272807852	0.999987064899415	999.999997708965	999.999997708965	0	0	0	0.00184013996199759	5.81228845992002e-07	-9.01203024579076e-06	0.00164086080871785	1.52137933768148e-07	1.5154227591727e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	3.89072	0.0233508	1.37674e-05	3392.19	0.0968153	0.016033	1.25256e-05	2560.03
7	458.974358974	0.102905734049638	-0.0979222086470407	0.0697996552987506	-0.0705210031127693	0.0547013123476672	-0.000208163658522113	0.000503367229054197	0.0371820992445415	5.7308282772197e-05	-0.00036067390700939	0.999981733518098	999.999997401694	999.999997401694	0	0	0	0.00185535791689255	-5.90609021578338e-06	9.54299475574346e-06	0.00166934026510612	-7.83840059178438e-07	2.67023580352637e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-2.00564	0.0233894	1.36876e-05	3417.59	-1.37396	0.0160345	1.24928e-05	2567
8	510.256410256	0.105024102137	-0.0988577392154964	0.0716348217552347	-0.0672360909425055	0.0550232322663655	3.16327008125783e-05	-0.00095408272444604	0.0372840300692324	-0.000231876749970873	-0.000550553656957012	0.999997962065777	999.999999207366	999.999999207366	0	0	0	0.00184418009027452	-6.17864020571225e-06	2.51872677285258e-05	0.00168661264230157	-8.91773906190043e-07	-1.59612566316527e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-1.42412	0.0233581	1.3708e-05	3407.95	0.777753	0.0160464	1.24716e-05	2573.27
9	561.538461538	0.100381429133384	-0.0990247090915897	0.071192038303757	-0.0677172619932051	0.0550124894702649	-7.41513117570036e-05	0.000678360020896954	0.0375651110516169	1.53914762977339e-05	0.000362048548375349	0.999996197564315	1000.00000000753	1000.00000000753	0	0	0	0.00183947192408523	-2.21720159444925e-06	-1.56607314542663e-05	0.00167560814585327	-1.54785573670477e-06	2.24598323016888e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-5.29952	0.0233636	1.37109e-05	3408.03	2.44176	0.0160714	1.24958e-05	2572.28
