Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays
0,2.25,0.02,100,1,100000.0
1,2.25,0.02,105,1,100000.0
2,2.25,0.02,110,1,100000.0
3,2.25,0.02,115,1,100000.0
4,2.25,0.02,120,1,100000.0
5,2.25,0.02,125,1,100000.0
6,2.25,0.02,130,1,100000.0
7,2.25,0.02,135,1,100000.0
8,2.25,0.02,140,1,100000.0
9,2.25,0.02,145,1,100000.0
10,2.25,0.02,150,1,100000.0
11,2.25,0.02,155,1,100000.0
12,2.25,0.02,160,1,100000.0
13,2.25,0.02,165,1,100000.0
14,2.25,0.02,170,1,100000.0
15,2.25,0.02,175,1,100000.0
16,2.25,0.02,180,1,100000.0
17,2.25,0.02,185,1,100000.0
18,2.25,0.02,190,1,100000.0
19,2.25,0.02,195,1,100000.0
20,2.25,0.02,200,1,100000.0
21,2.25,0.02,205,1,100000.0
22,2.25,0.02,210,1,100000.0
23,2.25,0.02,215,1,100000.0
24,2.25,0.02,220,1,100000.0
25,2.25,0.02,225,1,100000.0
26,2.25,0.02,230,1,100000.0
27,2.25,0.02,235,1,100000.0
28,2.25,0.02,240,1,100000.0
29,2.25,0.02,245,1,100000.0
30,2.25,0.02,250,1,100000.0
31,2.25,0.02,255,1,100000.0
32,2.25,0.02,260,1,100000.0
33,2.25,0.02,265,1,100000.0
34,2.25,0.02,270,1,100000.0
35,2.25,0.02,275,1,100000.0
36,2.25,0.02,280,1,100000.0
37,2.25,0.02,285,1,100000.0
38,2.25,0.02,290,1,100000.0
39,2.25,0.02,295,1,100000.0
40,2.25,0.02,300,1,100000.0
41,2.25,0.02,305,1,100000.0
42,2.25,0.02,310,1,100000.0
43,2.25,0.02,315,1,100000.0
44,2.25,0.02,320,1,100000.0
45,2.25,0.02,325,1,100000.0
46,2.25,0.02,330,1,100000.0
47,2.25,0.02,335,1,100000.0
48,2.25,0.02,340,1,100000.0
49,2.25,0.02,345,1,100000.0
50,2.25,0.02,350,1,100000.0
51,2.25,0.02,355,1,100000.0
52,2.25,0.02,360,1,100000.0
53,2.25,0.02,365,1,100000.0
54,2.25,0.02,370,1,100000.0
55,2.25,0.02,375,1,100000.0
56,2.25,0.02,380,1,100000.0
57,2.25,0.02,385,1,100000.0
58,2.25,0.02,390,1,100000.0
59,2.25,0.02,395,1,100000.0
60,2.25,0.02,400,1,100000.0
61,2.25,0.02,405,1,100000.0
62,2.25,0.02,410,1,100000.0
63,2.25,0.02,415,1,100000.0
64,2.25,0.02,420,1,100000.0
65,2.25,0.02,425,1,100000.0
66,2.25,0.02,430,1,100000.0
67,2.25,0.02,435,1,100000.0
68,2.25,0.02,440,1,100000.0
69,2.25,0.02,445,1,100000.0
70,2.25,0.02,450,1,100000.0
71,2.25,0.02,455,1,100000.0
72,2.25,0.02,460,1,100000.0
73,2.25,0.02,465,1,100000.0
74,2.25,0.02,470,1,100000.0
75,2.25,0.02,475,1,100000.0
76,2.25,0.02,480,1,100000.0
77,2.25,0.02,485,1,100000.0
78,2.25,0.02,490,1,100000.0
79,2.25,0.02,495,1,100000.0
80,2.25,0.02,500,1,100000.0
81,2.25,0.02,505,1,100000.0
82,2.25,0.02,510,1,100000.0
83,2.25,0.02,515,1,100000.0
84,2.25,0.02,520,1,100000.0
85,2.25,0.02,525,1,100000.0
86,2.25,0.02,530,1,100000.0
87,2.25,0.02,535,1,100000.0
88,2.25,0.02,540,1,100000.0
89,2.25,0.02,545,1,100000.0
90,2.25,0.02,550,1,100000.0
91,2.25,0.02,555,1,100000.0
92,2.25,0.02,560,1,100000.0
93,2.25,0.02,565,1,100000.0
94,2.25,0.02,570,1,100000.0
95,2.25,0.02,575,1,100000.0
96,2.25,0.02,580,1,100000.0
97,2.25,0.02,585,1,100000.0
98,2.25,0.02,590,1,100000.0
99,2.25,0.02,595,1,100000.0
100,2.25,0.02,600,1,100000.0
101,2.25,0.02,605,1,100000.0
102,2.25,0.02,610,1,100000.0
103,2.25,0.02,615,1,100000.0
104,2.25,0.02,620,1,100000.0
105,2.25,0.02,625,1,100000.0
106,2.25,0.02,630,1,100000.0
107,2.25,0.02,635,1,100000.0
108,2.25,0.02,640,1,100000.0
109,2.25,0.02,645,1,100000.0
110,2.25,0.02,650,1,100000.0
111,2.25,0.02,655,1,100000.0
112,2.25,0.02,660,1,100000.0
113,2.25,0.02,665,1,100000.0
114,2.25,0.02,670,1,100000.0
115,2.25,0.02,675,1,100000.0
116,2.25,0.02,680,1,100000.0
117,2.25,0.02,685,1,100000.0
118,2.25,0.02,690,1,100000.0
119,2.25,0.02,695,1,100000.0
120,2.25,0.02,700,1,100000.0
121,2.25,0.02,705,1,100000.0
122,2.25,0.02,710,1,100000.0
123,2.25,0.02,715,1,100000.0
124,2.25,0.02,720,1,100000.0
125,2.25,0.02,725,1,100000.0
126,2.25,0.02,730,1,100000.0
127,2.25,0.02,735,1,100000.0
128,2.25,0.02,740,1,100000.0
129,2.25,0.02,745,1,100000.0
130,2.25,0.02,750,1,100000.0
131,2.25,0.02,755,1,100000.0
132,2.25,0.02,760,1,100000.0
133,2.25,0.02,765,1,100000.0
134,2.25,0.02,770,1,100000.0
135,2.25,0.02,775,1,100000.0
136,2.25,0.02,780,1,100000.0
137,2.25,0.02,785,1,100000.0
138,2.25,0.02,790,1,100000.0
139,2.25,0.02,795,1,100000.0
140,2.25,0.02,800,1,100000.0
141,2.25,0.02,805,1,100000.0
142,2.25,0.02,810,1,100000.0
143,2.25,0.02,815,1,100000.0
144,2.25,0.02,820,1,100000.0
145,2.25,0.02,825,1,100000.0
146,2.25,0.02,830,1,100000.0
147,2.25,0.02,835,1,100000.0
148,2.25,0.02,840,1,100000.0
149,2.25,0.02,845,1,100000.0
150,2.25,0.02,850,1,100000.0
151,2.25,0.02,855,1,100000.0
152,2.25,0.02,860,1,100000.0
153,2.25,0.02,865,1,100000.0
154,2.25,0.02,870,1,100000.0
155,2.25,0.02,875,1,100000.0
156,2.25,0.02,880,1,100000.0
157,2.25,0.02,885,1,100000.0
158,2.25,0.02,890,1,100000.0
159,2.25,0.02,895,1,100000.0
160,2.25,0.02,900,1,100000.0
161,2.25,0.02,905,1,100000.0
162,2.25,0.02,910,1,100000.0
163,2.25,0.02,915,1,100000.0
164,2.25,0.02,920,1,100000.0
165,2.25,0.02,925,1,100000.0
166,2.25,0.02,930,1,100000.0
167,2.25,0.02,935,1,100000.0
168,2.25,0.02,940,1,100000.0
169,2.25,0.02,945,1,100000.0
170,2.25,0.02,950,1,100000.0
171,2.25,0.02,955,1,100000.0
172,2.25,0.02,960,1,100000.0
173,2.25,0.02,965,1,100000.0
174,2.25,0.02,970,1,100000.0
175,2.25,0.02,975,1,100000.0
176,2.25,0.02,980,1,100000.0
177,2.25,0.02,985,1,100000.0
178,2.25,0.02,990,1,100000.0
179,2.25,0.02,995,1,100000.0
180,2.25,0.02,1000,1,100000.0
181,2.25,0.02,1005,1,100000.0
182,2.25,0.02,1010,1,100000.0
183,2.25,0.02,1015,1,100000.0
184,2.25,0.02,1020,1,100000.0
185,2.25,0.02,1025,1,100000.0
186,2.25,0.02,1030,1,100000.0
187,2.25,0.02,1035,1,100000.0
188,2.25,0.02,1040,1,100000.0
189,2.25,0.02,1045,1,100000.0
190,2.25,0.02,1050,1,100000.0
191,2.25,0.02,1055,1,100000.0
192,2.25,0.02,1060,1,100000.0
193,2.25,0.02,1065,1,100000.0
194,2.25,0.02,1070,1,100000.0
195,2.25,0.02,1075,1,100000.0
196,2.25,0.02,1080,1,100000.0
197,2.25,0.02,1085,1,100000.0
198,2.25,0.02,1090,1,100000.0
199,2.25,0.02,1095,1,100000.0
200,2.25,0.02,1100,1,100000.0
201,2.25,0.02,1105,1,100000.0
202,2.25,0.02,1110,1,100000.0
203,2.25,0.02,1115,1,100000.0
204,2.25,0.02,1120,1,100000.0
205,2.25,0.02,1125,1,100000.0
206,2.25,0.02,1130,1,100000.0
207,2.25,0.02,1135,1,100000.0
208,2.25,0.02,1140,1,100000.0
209,2.25,0.02,1145,1,100000.0
210,2.25,0.02,1150,1,100000.0
211,2.25,0.02,1155,1,100000.0
212,2.25,0.02,1160,1,100000.0
213,2.25,0.02,1165,1,100000.0
214,2.25,0.02,1170,1,100000.0
215,2.25,0.02,1175,1,100000.0
216,2.25,0.02,1180,1,100000.0
217,2.25,0.02,1185,1,100000.0
218,2.25,0.02,1190,1,100000.0
219,2.25,0.02,1195,1,100000.0
220,2.25,0.02,1200,1,100000.0
221,2.25,0.02,1205,1,100000.0
222,2.25,0.02,1210,1,100000.0
223,2.25,0.02,1215,1,100000.0
224,2.25,0.02,1220,1,100000.0
225,2.25,0.02,1225,1,100000.0
226,2.25,0.02,1230,1,100000.0
227,2.25,0.02,1235,1,100000.0
228,2.25,0.02,1240,1,100000.0
229,2.25,0.02,1245,1,100000.0
230,2.25,0.02,1250,1,100000.0
231,2.25,0.02,1255,1,100000.0
232,2.25,0.02,1260,1,100000.0
233,2.25,0.02,1265,1,100000.0
234,2.25,0.02,1270,1,100000.0
235,2.25,0.02,1275,1,100000.0
236,2.25,0.02,1280,1,100000.0
237,2.25,0.02,1285,1,100000.0
238,2.25,0.02,1290,1,100000.0
239,2.25,0.02,1295,1,100000.0
240,2.25,0.02,1300,1,100000.0
241,2.25,0.02,1305,1,100000.0
242,2.25,0.02,1310,1,100000.0
243,2.25,0.02,1315,1,100000.0
244,2.25,0.02,1320,1,100000.0
245,2.25,0.02,1325,1,100000.0
246,2.25,0.02,1330,1,100000.0
247,2.25,0.02,1335,1,100000.0
248,2.25,0.02,1340,1,100000.0
249,2.25,0.02,1345,1,100000.0
250,2.25,0.02,1350,1,100000.0
