Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy
368,25.0,0.012,600,1,100000.0,900
369,25.0,0.012,600,1,100000.0,950
370,25.0,0.012,600,1,100000.0,1000
371,25.0,0.012,600,1,100000.0,1050
372,25.0,0.012,600,1,100000.0,1100
373,25.0,0.012,600,1,100000.0,1150
374,25.0,0.012,600,1,100000.0,1200
375,25.0,0.012,600,1,100000.0,1250
376,25.0,0.012,600,1,100000.0,1300
377,25.0,0.012,600,1,100000.0,1350
378,25.0,0.012,600,1,100000.0,1400
379,25.0,0.012,600,1,100000.0,1450
380,25.0,0.012,600,1,100000.0,1500
381,25.0,0.012,600,1,100000.0,1550
382,25.0,0.012,600,1,100000.0,1600
383,25.0,0.012,600,1,100000.0,1650
384,25.0,0.012,600,1,100000.0,1700
385,25.0,0.012,600,1,100000.0,1750
386,25.0,0.012,600,1,100000.0,1800
387,25.0,0.012,600,1,100000.0,1850
388,25.0,0.012,600,1,100000.0,1900
389,25.0,0.012,600,1,100000.0,1950
390,25.0,0.012,600,1,100000.0,2000
391,25.0,0.012,1200,1,100000.0,100
392,25.0,0.012,1200,1,100000.0,150
393,25.0,0.012,1200,1,100000.0,200
394,25.0,0.012,1200,1,100000.0,250
395,25.0,0.012,1200,1,100000.0,300
396,25.0,0.012,1200,1,100000.0,350
397,25.0,0.012,1200,1,100000.0,400
398,25.0,0.012,1200,1,100000.0,450
399,25.0,0.012,1200,1,100000.0,500
400,25.0,0.012,1200,1,100000.0,550
401,25.0,0.012,1200,1,100000.0,600
402,25.0,0.012,1200,1,100000.0,650
403,25.0,0.012,1200,1,100000.0,700
404,25.0,0.012,1200,1,100000.0,750
405,25.0,0.012,1200,1,100000.0,800
406,25.0,0.012,1200,1,100000.0,850
407,25.0,0.012,1200,1,100000.0,900
408,25.0,0.012,1200,1,100000.0,950
409,25.0,0.012,1200,1,100000.0,1000
410,25.0,0.012,1200,1,100000.0,1050
411,25.0,0.012,1200,1,100000.0,1100
412,25.0,0.012,1200,1,100000.0,1150
413,25.0,0.012,1200,1,100000.0,1200
414,25.0,0.012,1200,1,100000.0,1250
415,25.0,0.012,1200,1,100000.0,1300
416,25.0,0.012,1200,1,100000.0,1350
417,25.0,0.012,1200,1,100000.0,1400
418,25.0,0.012,1200,1,100000.0,1450
419,25.0,0.012,1200,1,100000.0,1500
420,25.0,0.012,1200,1,100000.0,1550
421,25.0,0.012,1200,1,100000.0,1600
422,25.0,0.012,1200,1,100000.0,1650
423,25.0,0.012,1200,1,100000.0,1700
424,25.0,0.012,1200,1,100000.0,1750
425,25.0,0.012,1200,1,100000.0,1800
426,25.0,0.012,1200,1,100000.0,1850
427,25.0,0.012,1200,1,100000.0,1900
428,25.0,0.012,1200,1,100000.0,1950
429,25.0,0.012,1200,1,100000.0,2000
430,25.0,0.012,2400,1,100000.0,100
431,25.0,0.012,2400,1,100000.0,150
432,25.0,0.012,2400,1,100000.0,200
433,25.0,0.012,2400,1,100000.0,250
434,25.0,0.012,2400,1,100000.0,300
435,25.0,0.012,2400,1,100000.0,350
436,25.0,0.012,2400,1,100000.0,400
437,25.0,0.012,2400,1,100000.0,450
438,25.0,0.012,2400,1,100000.0,500
439,25.0,0.012,2400,1,100000.0,550
440,25.0,0.012,2400,1,100000.0,600
441,25.0,0.012,2400,1,100000.0,650
442,25.0,0.012,2400,1,100000.0,700
443,25.0,0.012,2400,1,100000.0,750
444,25.0,0.012,2400,1,100000.0,800
445,25.0,0.012,2400,1,100000.0,850
446,25.0,0.012,2400,1,100000.0,900
447,25.0,0.012,2400,1,100000.0,950
448,25.0,0.012,2400,1,100000.0,1000
449,25.0,0.012,2400,1,100000.0,1050
450,25.0,0.012,2400,1,100000.0,1100
451,25.0,0.012,2400,1,100000.0,1150
452,25.0,0.012,2400,1,100000.0,1200
453,25.0,0.012,2400,1,100000.0,1250
454,25.0,0.012,2400,1,100000.0,1300
455,25.0,0.012,2400,1,100000.0,1350
456,25.0,0.012,2400,1,100000.0,1400
457,25.0,0.012,2400,1,100000.0,1450
458,25.0,0.012,2400,1,100000.0,1500
459,25.0,0.012,2400,1,100000.0,1550
460,25.0,0.012,2400,1,100000.0,1600
461,25.0,0.012,2400,1,100000.0,1650
462,25.0,0.012,2400,1,100000.0,1700
463,25.0,0.012,2400,1,100000.0,1750
464,25.0,0.012,2400,1,100000.0,1800
465,25.0,0.012,2400,1,100000.0,1850
466,25.0,0.012,2400,1,100000.0,1900
467,25.0,0.012,2400,1,100000.0,1950
468,25.0,0.012,2400,1,100000.0,2000
469,25.0,0.01,600,1,100000.0,100
470,25.0,0.01,600,1,100000.0,150
471,25.0,0.01,600,1,100000.0,200
472,25.0,0.01,600,1,100000.0,250
473,25.0,0.01,600,1,100000.0,300
474,25.0,0.01,600,1,100000.0,350
475,25.0,0.01,600,1,100000.0,400
476,25.0,0.01,600,1,100000.0,450
477,25.0,0.01,600,1,100000.0,500
478,25.0,0.01,600,1,100000.0,550
479,25.0,0.01,600,1,100000.0,600
480,25.0,0.01,600,1,100000.0,650
481,25.0,0.01,600,1,100000.0,700
482,25.0,0.01,600,1,100000.0,750
483,25.0,0.01,600,1,100000.0,800
484,25.0,0.01,600,1,100000.0,850
485,25.0,0.01,600,1,100000.0,900
