,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,0.027,100,1,100000.0,,1535.6,1.5356,,100.0,0.0027574296983658543,0.07206440685451393,0.0056845101642982844,36.40135198758183,55.9026748172828,
1,1,2.5,0.027,200,1,100000.0,,2237.4,2.2374,,200.0,0.006222114703831494,0.053915714179644254,0.005726046431865626,32.57156760546091,72.92288897911774,
2,2,2.5,0.027,300,1,100000.0,,2852.0,2.8520000000000003,,300.0,0.011001815364193136,0.04321004554035592,0.005941210662092823,27.34783004049013,78.00868953758774,
3,3,2.5,0.027,400,1,100000.0,,3184.0,3.184,,400.0,0.016644792519230123,0.04143273528300566,0.0062277806897936975,24.082839031626065,76.67608311481149,
4,4,2.5,0.027,500,1,100000.0,,3632.8,3.6328,,500.0,0.02192515301218236,0.035046043426341454,0.006161782038224643,22.880596480175495,83.14603472976799,
5,5,2.5,0.027,600,1,100000.0,,3977.6,3.9776,,600.0,0.028278285008923376,0.0356414079505396,0.005896242057998993,21.348743450619818,84.96237037476521,
6,6,2.5,0.027,700,1,100000.0,,4267.6,4.2676,,700.0,0.036088247506131675,0.0346897732897886,0.005982014911035574,19.533351115487783,83.37635172792179,
7,7,2.5,0.027,800,1,100000.0,,4558.0,4.558,,800.0,0.04110313859107464,0.031563798944556784,0.006185662456110452,19.546459136530746,89.10010323013373,
8,8,2.5,0.027,900,1,100000.0,,4912.8,4.9128,,900.0,0.054375019796952986,0.0295537472490224,0.0060099529709416195,16.602218346747556,81.58911261718404,
9,9,2.5,0.027,1000,1,100000.0,,5142.4,5.1424,,1000.0,0.06145436481697288,0.02962845605119924,0.006089260923536547,16.34779131187941,84.09938513545579,
10,10,2.5,0.027,1100,1,100000.0,,5389.8,5.389799999999999,,1100.0,0.06642186158792356,0.028713102654557076,0.005924317676526747,16.63323372987759,89.64881825637131,
11,11,2.5,0.027,1200,1,100000.0,,5623.8,5.6238,,1200.0,0.08129106261681043,0.02794740516192,0.006145326552375548,14.81201140686316,83.26425702421916,
12,12,2.5,0.027,1300,1,100000.0,,5870.6,5.8706,,1300.0,0.08825432401554281,0.027630767888805943,0.006086296995431592,14.839323874161591,87.12105385818465,
13,13,2.5,0.027,1400,1,100000.0,,6068.8,6.0688,,1400.0,0.09651285832874237,0.02573631312530932,0.0059639924299670416,14.576551703336396,88.49207799393788,
14,14,2.5,0.027,1500,1,100000.0,,6296.2,6.296200000000001,,1500.0,0.10591615325724887,0.02542749986794813,0.006315193088278222,14.198062337731695,89.39893829771745,
15,15,2.5,0.027,1600,1,100000.0,,6477.8,6.477799999999999,,1600.0,0.117257769661137,0.025724484831222028,0.006134746557924761,13.667916938470094,88.53645823157501,
16,16,2.5,0.027,1700,1,100000.0,,6716.4,6.716399999999998,,1700.0,0.12612891858398143,0.025400166868849168,0.006132112684637832,13.509077681321873,90.76485263791453,
17,17,2.5,0.027,1800,1,100000.0,,6861.2,6.861200000000001,,1800.0,0.13785069584846496,0.025348068138742727,0.006418190747752531,13.097264720795792,89.85368095040428,
18,18,2.5,0.027,1900,1,100000.0,,7083.6,7.0836,,1900.0,0.1557884860080321,0.02580907478036184,0.006091406803329277,12.211369588888807,86.49544434992531,
19,19,2.5,0.027,2000,1,100000.0,,7359.399999999999,7.359399999999998,,2000.0,0.16643913129009888,0.023577055841583434,0.006174063664715758,12.048805968662924,88.64487029591001,
20,20,2.5,0.027,2100,1,100000.0,,7327.8,7.3278,,2100.0,0.16684940091281533,0.024230502297073298,0.006181945875169436,12.616441185175857,92.44337938558792,
