P0	SU_photonEnergy
0	100
1	151.282051282
2	202.564102564
3	253.846153846
4	305.128205128
5	356.41025641
6	407.692307692
7	458.974358974
8	510.256410256
9	561.538461538
10	612.820512821
11	664.102564103
12	715.384615385
13	766.666666667
14	817.948717949
15	869.230769231
16	920.512820513
17	971.794871795
18	1023.07692308
19	1074.35897436
20	1125.64102564
21	1176.92307692
22	1228.20512821
23	1279.48717949
24	1330.76923077
25	1382.05128205
26	1433.33333333
27	1484.61538462
28	1535.8974359
29	1587.17948718
30	1638.46153846
31	1689.74358974
32	1741.02564103
33	1792.30769231
34	1843.58974359
35	1894.87179487
36	1946.15384615
37	1997.43589744
38	2048.71794872
39	2100
