,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,0.027,100,1,100000.0,,100000.0,100.0,,100.0,0.099890288224276,0.47006582172622285,0.10878027494276718,1.001098841062642,100.1098841062642,
1,1,2.5,0.027,200,1,100000.0,,100000.0,100.0,,200.0,0.19938627864868863,0.4754349251953678,0.08406145218079628,1.0030814956374563,100.30814956374564,
2,2,2.5,0.027,300,1,100000.0,,100000.0,100.0,,300.0,0.2995629353967047,0.4746720237743151,0.07052492689969743,1.001459731752608,100.14597317526082,
3,3,2.5,0.027,400,1,100000.0,,100000.0,100.0,,400.0,0.39950045154682806,0.474214558611917,0.06404999328509782,1.00125120524564,100.125120524564,
4,4,2.5,0.027,500,1,100000.0,,100000.0,100.0,,500.0,0.4993416677442383,0.467020074666361,0.06025714020316457,1.0013195600440135,100.13195600440136,
5,5,2.5,0.027,600,1,100000.0,,100000.0,100.0,,600.0,0.5978736970914724,0.4482823615546472,0.05919950264067982,1.00358593362458,100.358593362458,
6,6,2.5,0.027,700,1,100000.0,,100000.0,100.0,,700.0,0.697349493361412,0.46113203844876544,0.0531038677215754,1.003830255772252,100.3830255772252,
7,7,2.5,0.027,800,1,100000.0,,100000.0,100.0,,800.0,0.7990712244878522,0.4685064553733172,0.052157452166212016,1.001162394822628,100.11623948226278,
8,8,2.5,0.027,900,1,100000.0,,100000.0,100.0,,900.0,0.8964969599908045,0.47326362293102614,0.05296291184829889,1.0039337392487713,100.39337392487712,
9,9,2.5,0.027,1000,1,100000.0,,100000.0,100.0,,1000.0,0.9985049517291144,0.4814685139003442,0.05003256436725392,1.0014978613055743,100.14978613055744,
10,10,2.5,0.027,1100,1,100000.0,,100000.0,100.0,,1100.0,1.0965170410600422,0.4666646758112387,0.05147861471279016,1.003179264013881,100.3179264013881,
11,11,2.5,0.027,1200,1,100000.0,,100000.0,100.0,,1200.0,1.1980729669061472,0.48089070583635,0.05138179062665353,1.0016087628459491,100.16087628459492,
12,12,2.5,0.027,1300,1,100000.0,,100000.0,100.0,,1300.0,1.2954369142550148,0.47493056974942466,0.046770451530133886,1.0035287603616747,100.35287603616749,
13,13,2.5,0.027,1400,1,100000.0,,100000.0,100.0,,1400.0,1.3974894167060483,0.4827096831103789,0.04806002912630961,1.0017979111087567,100.17979111087568,
14,14,2.5,0.027,1500,1,100000.0,,100000.0,100.0,,1500.0,1.4952764745575675,0.44611941990706167,0.04877948377055634,1.0031759397954711,100.31759397954713,
15,15,2.5,0.027,1600,1,100000.0,,100000.0,100.0,,1600.0,1.5977807703276992,0.4653516853924052,0.046756018439637,1.001389680322258,100.1389680322258,
16,16,2.5,0.027,1700,1,100000.0,,100000.0,100.0,,1700.0,1.6962432066198745,0.47561165092118,0.04663609403319728,1.0022154057082056,100.2215405708206,
17,17,2.5,0.027,1800,1,100000.0,,100000.0,100.0,,1800.0,1.7971972802813068,0.4784402919328192,0.04692552643182539,1.0015601207991756,100.15601207991756,
18,18,2.5,0.027,1900,1,100000.0,,100000.0,100.0,,1900.0,1.8961628885907884,0.4786648885657816,0.045990550190155854,1.0020247166974336,100.20247166974336,
19,19,2.5,0.027,2000,1,100000.0,,100000.0,100.0,,2000.0,1.99591250213507,0.46299752543488176,0.04651185716708669,1.0020551453643167,100.20551453643168,
20,20,2.5,0.027,2100,1,100000.0,,100000.0,100.0,,2100.0,2.097788853517613,0.477593905801572,0.04789392771645505,1.0010542635650297,100.10542635650296,
