P0	SU_photonEnergy	SU_outgoingMaxF_X	SU_outgoingMinF_X	SU_outgoingMaxF_Y	SU_outgoingMinF_Y	SU_intensityH_width_X	SU_intensityH_centerWidth_X	SU_intensityH_centerMass_X	SU_intensityH_width_Y	SU_intensityH_centerWidth_Y	SU_intensityH_centerMass_Y	SU_energyH_width	SU_energyH_centerWidth	SU_energyH_centerMass	SU_pathlengthH_width	SU_pathlengthH_centerWidth	SU_pathlengthH_centerMass	SU_phi_width	SU_phi_centerWidth	SU_phi_centerMass	SU_psi_width	SU_psi_centerWidth	SU_psi_centerMass	SU_incoming_NO	SU_absorbed_NO	SU_outgoing_NO	SU_incoming_R	SU_absorbed_R	SU_outgoing_R	SU_efficiency	SU_S1S0	SU_S2S0	SU_S3S0	SU_focus_horizontal_z0	SU_focus_horizontal_width	SU_focus_horizontal_theta	SU_focus_horizontal_depth	SU_focus_vertical_z0	SU_focus_vertical_width	SU_focus_vertical_theta	SU_focus_vertical_depth
0	100	0.238254964220972	-0.237148982975054	0.224420972247715	-0.225492815823442	0.12476695274071	-8.98176711296717e-05	0.000552990622959104	0.118276701099804	-0.0001003190889797	-0.000535921787863214	0.0999998416001233	100.000000076326	100.000000076326	0	0	0	0.00535800906813462	-7.75656400524641e-06	-7.15592884885027e-06	0.00530575992174773	2.5891068789973e-06	-1.93838976445104e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-1.05494	0.0529577	3.97585e-05	2663.97	-0.584081	0.0501867	3.93361e-05	2551.69
1	151.282051282	0.197832682642269	-0.198392640905257	0.182142741654192	-0.183230940919032	0.103915378791415	-4.73591582459548e-06	-0.000279979131493913	0.0966328549138798	-0.000207515416520684	-0.000544099632420275	0.151282021482018	151.28205128082	151.28205128082	0	0	0	0.00437308584495781	3.97313782813042e-06	-1.90185437109625e-05	0.00434097370697766	1.46442267237546e-06	1.41137806893496e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-0.76906	0.044204	3.2515e-05	2718.99	0.0907692	0.0408302	3.2041e-05	2548.62
2	202.564102564	0.173071933365355	-0.175456389227666	0.156960593664519	-0.158767642426844	0.0922957835352809	3.39791814107163e-05	-0.00119222793115561	0.0836127138273514	-0.000181915366280705	-0.000903524381162424	0.202564047064214	202.564102545354	202.564102545354	0	0	0	0.00381640695347417	1.31028944185593e-07	-1.88546252293167e-05	0.00373664653834113	-1.6392812211591e-07	2.13030088471698e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	0.512462	0.039156	2.82568e-05	2771.45	-1.30462	0.0352834	2.76902e-05	2548.44
3	253.846153846	0.160146362237353	-0.160826251694475	0.141903747974449	-0.141051145771381	0.0845172738329762	9.31679741695488e-05	-0.000339944728561165	0.0744558397443895	8.37716246934045e-06	0.000426301101534243	0.253846044561385	253.846153860986	253.846153860986	0	0	0	0.003428352556731	-2.07577627497077e-06	-2.08391244953202e-05	0.00333859198240232	5.7521135257612e-07	3.25057166401174e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	0.990044	0.0358145	2.53552e-05	2825.02	-0.450234	0.0315822	2.47193e-05	2555.26
4	305.128205128	0.150345227016296	-0.149876496314117	0.129186924725054	-0.12857543798411	0.0782077525061806	-6.93502667249921e-05	0.000234365351089394	0.06809322192188	1.30904806278434e-05	0.000305743370471762	0.305127731790492	305.128205324965	305.128205324965	0	0	0	0.00311562830454399	-2.40538807508468e-06	8.22726063449963e-07	0.00304128683211214	1.93738368482136e-06	5.57075648442359e-07	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	1.20375	0.0334507	2.32525e-05	2877.17	1.32413	0.0287983	2.25543e-05	2553.69
5	356.41025641	0.141517565776084	-0.139717891427909	0.118760663998396	-0.119211710940019	0.0743247058022372	-7.86259005312873e-07	0.000899837174087287	0.0623916599539488	-9.15223553823175e-05	-0.000225523470811381	0.356410014728738	356.41025639396	356.41025639396	0	0	0	0.00290911592233332	-7.11849772816573e-06	4.09688851805484e-05	0.00281703429063685	1.6446737280977e-06	3.21043146168758e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	1.0897	0.0316195	2.16179e-05	2925.31	1.25725	0.0266546	2.08717e-05	2554.13
6	407.692307692	0.135036969058383	-0.135657869273334	0.111960992036376	-0.111841351881179	0.0711225501414652	-0.000162525571377123	-0.000310450107475352	0.0588421180169211	-3.49649692242167e-05	5.98200775986102e-05	0.407692221350658	407.692307654476	407.692307654476	0	0	0	0.00274169144654191	-7.55023922323177e-07	-2.28109454759821e-05	0.00262365295313582	1.69306570880026e-06	5.89463860830707e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-1.18385	0.0301736	2.03156e-05	2970.48	1.16602	0.0249155	1.95123e-05	2553.83
7	458.974358974	0.129842415130098	-0.129599769457588	0.102956534587111	-0.104586726577493	0.0684904504897088	-3.73693338518583e-05	0.000121322836254878	0.055557154368275	-0.000113293398851192	-0.000815095995191209	0.458974023898577	458.974358983122	458.974358983122	0	0	0	0.00259473908940039	-7.25419577896893e-06	4.36879327460659e-05	0.00247888362001608	-2.86099610249902e-07	-2.2186774044957e-05	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	0.362202	0.0290106	1.92417e-05	3015.38	-1.10823	0.0235152	1.83785e-05	2558.98
8	510.256410256	0.12535378103635	-0.125538854567398	0.10035907260378	-0.100208990604323	0.0660655795198484	5.07828410451425e-05	-9.25367655241205e-05	0.0526585841418935	-0.000102858617969138	7.50409997283125e-05	0.510255442747507	510.256410324624	510.256410324624	0	0	0	0.00247280523438532	5.32967257863004e-06	2.22529263503319e-06	0.00234963121691051	-1.195277838043e-06	9.09552989884939e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	-0.0793637	0.0280441	1.83304e-05	3059.84	-0.347153	0.0223322	1.74461e-05	2560.14
9	561.538461538	0.122043869489984	-0.120739399644441	0.0947279541678778	-0.0957013787855957	0.0639868692516407	7.52174421659729e-05	0.000652234922771555	0.0502071336543955	-7.33696994874994e-06	-0.000486712308858911	0.561537808059029	561.538461584704	561.538461584704	0	0	0	0.00235524864181601	-1.59134162225393e-07	1.37136449013999e-05	0.00224539392216836	-3.05799814314094e-07	-8.10956895821134e-06	2000000	0	2000000	100	0	100	100	1.000	0.000	0.000	1.47879	0.0272304	1.75669e-05	3100.19	0.352967	0.0213038	1.66278e-05	2562.43
