,Simulation Number,PG.cFactor,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,2.5,100,1,100000.0,,10000.0,10.0,,10.0,0.009986712322263001,0.011134007657347502,0.010445404644240212,0.10013310592669523,10.013310592669521,
1,1,2.5,200,1,100000.0,,10000.0,10.0,,20.0,0.019960985961633357,0.008276283528808756,0.007551521929114277,0.10019565187019228,10.019565187019229,
2,2,2.5,300,1,100000.0,,10000.0,10.0,,30.0,0.028999295835241842,0.006785307061386227,0.005883471818708463,0.10486349012356903,10.4863490123569,
3,3,2.5,400,1,100000.0,,10000.0,10.0,,40.0,0.038653879436870445,0.006336859909863669,0.005240048843336171,0.10487196065966012,10.487196065966012,
4,4,2.5,500,1,100000.0,,10000.0,10.0,,50.0,0.04976985220495805,0.006009369814400497,0.004665988779197296,0.10046644866191692,10.046644866191693,
5,5,2.5,600,1,100000.0,,10000.0,10.0,,60.0,0.05984092514392728,0.005532958092176988,0.004449015965292784,0.10026643414741272,10.02664341474127,
6,6,2.5,700,1,100000.0,,10000.0,10.0,,70.0,0.06987571562275322,0.0053352524893925165,0.003887317275262222,0.10017816939253028,10.017816939253027,
7,7,2.5,800,1,100000.0,,10000.0,10.0,,80.0,0.07985473259043374,0.004964811736171248,0.0037408466516215136,0.100182149317661,10.0182149317661,
8,8,2.5,900,1,100000.0,,10000.0,10.0,,90.0,0.08702678208715611,0.004973270239570977,0.003524520144555521,0.10480398016471766,10.480398016471764,
9,9,2.5,1000,1,100000.0,,10000.0,10.0,,100.0,0.09938929288525969,0.005064734991577839,0.003428603334708457,0.10063984674492057,10.06398467449206,
10,10,2.5,1100,1,100000.0,,10000.0,10.0,,110.0,0.10982478242739944,0.0048113066236426414,0.003062718470002586,0.10015971432373824,10.015971432373824,
11,11,2.5,1200,1,100000.0,,10000.0,10.0,,120.0,0.11971599783229976,0.004624260089737431,0.0030709435086423388,0.1002378304759188,10.02378304759188,
12,12,2.5,1300,1,100000.0,,10000.0,10.0,,130.0,0.12984975775428212,0.0046533369544068375,0.00292856310092656,0.10011573356991257,10.01157335699126,
13,13,2.5,1400,1,100000.0,,10000.0,10.0,,140.0,0.139781584923428,0.0045695228090775804,0.00281941081443794,0.1001563438977938,10.01563438977938,
14,14,2.5,1500,1,100000.0,,10000.0,10.0,,150.0,0.14968312843414194,0.004345847858254072,0.0027393225776803625,0.10021286573042976,10.021286573042975,
15,15,2.5,1600,1,100000.0,,10000.0,10.0,,160.0,0.15939040299825138,0.00447855157404536,0.002706946925573777,0.1003879063453531,10.038790634535312,
16,16,2.5,1700,1,100000.0,,10000.0,10.0,,170.0,0.16958808381723428,0.004295577453088289,0.002594126468559136,0.1002433941058798,10.024339410587976,
17,17,2.5,1800,1,100000.0,,10000.0,10.0,,180.0,0.17976115648921223,0.004122049498528865,0.0025457339979604076,0.10013308367837012,10.013308367837013,
18,18,2.5,1900,1,100000.0,,10000.0,10.0,,190.0,0.1897794916342696,0.004272339809039067,0.002477970557776572,0.10011622269743777,10.011622269743778,
19,19,2.5,2000,1,100000.0,,10000.0,10.0,,200.0,0.19922230751410097,0.004235107454475097,0.0023952559088245874,0.10039367752973057,10.039367752973057,
20,20,2.5,2100,1,100000.0,,10000.0,10.0,,210.0,0.20978835001471452,0.004339572559513667,0.0022921498883461703,0.1001009096721104,10.010090967211038,
