,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,2.5,0.01,1200,1,100000.0,100,,10000.0,10.0,,0.009981426992791852,0.01128416444604027,0.01039274364712495
1,1,2.5,0.01,1200,1,100000.0,150,,10000.0,10.0,,0.014942651708854554,0.009024192790404723,0.008632786432528693
2,2,2.5,0.01,1200,1,100000.0,200,,10000.0,10.0,,0.019328936867790667,0.008277299358137265,0.007288639407732208
3,3,2.5,0.01,1200,1,100000.0,250,,10000.0,10.0,,0.02494397386662712,0.007396898079637987,0.006681294707013832
4,4,2.5,0.01,1200,1,100000.0,300,,10000.0,10.0,,0.029958954286944388,0.007226974596409222,0.006069162423512665
5,5,2.5,0.01,1200,1,100000.0,350,,10000.0,10.0,,0.03491192273030436,0.0065290578233693315,0.00556276700373766
6,6,2.5,0.01,1200,1,100000.0,400,,10000.0,10.0,,0.039941364353300056,0.006254415804717336,0.005266393196749373
7,7,2.5,0.01,1200,1,100000.0,450,,10000.0,10.0,,0.04485440604160885,0.006300139506793492,0.004870183387839673
8,8,2.5,0.01,1200,1,100000.0,500,,10000.0,10.0,,0.04992525908345669,0.005965677742660249,0.004514018545303716
9,9,2.5,0.01,1200,1,100000.0,550,,10000.0,10.0,,0.054936368919732095,0.005807405964720195,0.004577240626467085
10,10,2.5,0.01,1200,1,100000.0,600,,10000.0,10.0,,0.05985300497627349,0.005414209528192404,0.004347595766818464
11,11,2.5,0.01,1200,1,100000.0,650,,10000.0,10.0,,0.06491832116741876,0.0052738660574033125,0.004207166138970473
12,12,2.5,0.01,1200,1,100000.0,700,,10000.0,10.0,,0.06994503048100568,0.00544291497633539,0.004007872085435608
13,13,2.5,0.01,1200,1,100000.0,750,,10000.0,10.0,,0.07214739989536091,0.005270982531255279,0.003877687254898887
14,14,2.5,0.01,1200,1,100000.0,800,,10000.0,10.0,,0.07991466933165044,0.00531668959524794,0.003612751749756802
15,15,2.5,0.01,1200,1,100000.0,850,,10000.0,10.0,,0.0847461118607282,0.005151209706423883,0.0036618034426940424
16,16,2.5,0.01,1200,1,100000.0,900,,10000.0,10.0,,0.08992456198964646,0.004846555472361585,0.0034597515042415006
17,17,2.5,0.01,1200,1,100000.0,950,,10000.0,10.0,,0.09461007843873857,0.004923904010186434,0.003380770328556738
18,18,2.5,0.01,1200,1,100000.0,1000,,10000.0,10.0,,0.09984191055876522,0.004782794358354985,0.003247832369197649
19,19,2.5,0.01,1200,1,100000.0,1050,,10000.0,10.0,,0.10478893874569847,0.004883212364682964,0.0032989635744020617
20,20,2.5,0.01,1200,1,100000.0,1100,,10000.0,10.0,,0.10980837391387469,0.00486197130483172,0.00320276983127724
21,21,2.5,0.01,1200,1,100000.0,1150,,10000.0,10.0,,0.11490220468662984,0.004732761326888,0.00301099527212722
22,22,2.5,0.01,1200,1,100000.0,1200,,10000.0,10.0,,0.1197096135614879,0.004532969373293579,0.0032148703180513334
23,23,2.5,0.01,1200,1,100000.0,1250,,10000.0,10.0,,0.1243892967252077,0.004530780987375678,0.0029882780090086446
24,24,2.5,0.01,1200,1,100000.0,1300,,10000.0,10.0,,0.12977276778726263,0.004561012615964931,0.0029676039640357107
25,25,2.5,0.01,1200,1,100000.0,1350,,10000.0,10.0,,0.13469837373315385,0.0044701901255952406,0.0028214361992862777
26,26,2.5,0.01,1200,1,100000.0,1400,,10000.0,10.0,,0.13976314553764724,0.00451516424212986,0.00283476424532418
27,27,2.5,0.01,1200,1,100000.0,1450,,10000.0,10.0,,0.14478406176856423,0.004448316022571054,0.0028170251961558805
28,28,2.5,0.01,1200,1,100000.0,1500,,10000.0,10.0,,0.14969606004536443,0.0046477448147998115,0.002759613897602151
29,29,2.5,0.01,1200,1,100000.0,1550,,10000.0,10.0,,0.1547565392805882,0.004388165758445778,0.002671629384238719
30,30,2.5,0.01,1200,1,100000.0,1600,,10000.0,10.0,,0.15979823983872393,0.0044478558032688,0.0026954668697919495
31,31,2.5,0.01,1200,1,100000.0,1650,,10000.0,10.0,,0.1645956196789939,0.00448541994814951,0.0026697836064304916
32,32,2.5,0.01,1200,1,100000.0,1700,,10000.0,10.0,,0.16975047739342244,0.004288829817927774,0.00260156996407635
33,33,2.5,0.01,1200,1,100000.0,1750,,10000.0,10.0,,0.1747982522212715,0.004310267317656553,0.002469469776747112
34,34,2.5,0.01,1200,1,100000.0,1800,,10000.0,10.0,,0.1734052134273812,0.004376954134647111,0.0025210544584943965
35,35,2.5,0.01,1200,1,100000.0,1850,,10000.0,10.0,,0.1847548944739196,0.0044093676943378814,0.00250455155553711
36,36,2.5,0.01,1200,1,100000.0,1900,,10000.0,10.0,,0.18969955775848804,0.004308046470988325,0.0024635829725899927
37,37,2.5,0.01,1200,1,100000.0,1950,,10000.0,10.0,,0.19457340710013113,0.004183741422116808,0.00237855688804457
38,38,2.5,0.01,1200,1,100000.0,2000,,10000.0,10.0,,0.19879351477228513,0.004384319561226161,0.0023239657005843205
