Energy1[eV]	Photons1	Energy3[eV]	Photons3	Energy5[eV]	Photons5	Energy7[eV]	Photons7
5.30327e+2	3.14798e+14	1.59098e+3	6.34448e+12	2.65164e+3	1.39557e+11	3.71229e+3	3.11987e+9
5.30091e+2	3.15850e+14	1.59027e+3	6.41013e+12	2.65046e+3	1.41995e+11	3.71064e+3	3.19679e+9
5.29855e+2	3.16902e+14	1.58957e+3	6.47627e+12	2.64928e+3	1.44469e+11	3.70899e+3	3.27541e+9
5.29619e+2	3.17956e+14	1.58886e+3	6.54293e+12	2.64809e+3	1.46979e+11	3.70733e+3	3.35576e+9
5.29382e+2	3.19009e+14	1.58815e+3	6.61010e+12	2.64691e+3	1.49527e+11	3.70567e+3	3.43787e+9
5.29145e+2	3.20064e+14	1.58744e+3	6.67778e+12	2.64573e+3	1.52112e+11	3.70402e+3	3.52177e+9
5.28908e+2	3.21120e+14	1.58672e+3	6.74598e+12	2.64454e+3	1.54735e+11	3.70236e+3	3.60750e+9
5.28671e+2	3.22176e+14	1.58601e+3	6.81470e+12	2.64335e+3	1.57397e+11	3.70070e+3	3.69509e+9
5.28433e+2	3.23432e+14	1.58530e+3	6.88394e+12	2.64217e+3	1.60097e+11	3.69903e+3	3.78458e+9
5.28195e+2	3.24490e+14	1.58459e+3	6.95370e+12	2.64098e+3	1.62837e+11	3.69737e+3	3.87601e+9
5.27957e+2	3.25548e+14	1.58387e+3	7.02398e+12	2.63979e+3	1.65616e+11	3.69570e+3	3.96940e+9
5.27719e+2	3.26607e+14	1.58316e+3	7.09480e+12	2.63859e+3	1.68436e+11	3.69403e+3	4.06481e+9
5.27480e+2	3.27667e+14	1.58244e+3	7.16615e+12	2.63740e+3	1.71297e+11	3.69236e+3	4.16225e+9
5.27241e+2	3.28727e+14	1.58172e+3	7.23802e+12	2.63621e+3	1.74198e+11	3.69069e+3	4.26179e+9
5.27002e+2	3.29788e+14	1.58101e+3	7.31044e+12	2.63501e+3	1.77142e+11	3.68901e+3	4.36344e+9
5.26763e+2	3.30850e+14	1.58029e+3	7.38339e+12	2.63381e+3	1.80127e+11	3.68734e+3	4.46726e+9
5.26523e+2	3.31912e+14	1.57957e+3	7.45688e+12	2.63261e+3	1.83155e+11	3.68566e+3	4.57328e+9
5.26283e+2	3.32975e+14	1.57885e+3	7.53091e+12	2.63142e+3	1.86226e+11	3.68398e+3	4.68154e+9
5.26043e+2	3.34038e+14	1.57813e+3	7.60548e+12	2.63021e+3	1.89341e+11	3.68230e+3	4.79208e+9
5.25803e+2	3.35102e+14	1.57741e+3	7.68060e+12	2.62901e+3	1.92500e+11	3.68062e+3	4.90496e+9
5.25562e+2	3.36166e+14	1.57669e+3	7.75628e+12	2.62781e+3	1.95703e+11	3.67893e+3	5.02020e+9
5.25321e+2	3.37232e+14	1.57596e+3	7.83250e+12	2.62661e+3	1.98952e+11	3.67725e+3	5.13785e+9
5.25080e+2	3.38298e+14	1.57524e+3	7.90927e+12	2.62540e+3	2.02246e+11	3.67556e+3	5.25795e+9
5.24839e+2	3.39364e+14	1.57452e+3	7.98660e+12	2.62419e+3	2.05587e+11	3.67387e+3	5.38056e+9
5.24597e+2	3.40218e+14	1.57379e+3	8.06449e+12	2.62299e+3	2.08974e+11	3.67218e+3	5.50571e+9
5.24355e+2	3.41285e+14	1.57307e+3	8.14294e+12	2.62178e+3	2.12408e+11	3.67049e+3	5.63345e+9
5.24113e+2	3.42352e+14	1.57234e+3	8.22196e+12	2.62057e+3	2.15890e+11	3.66879e+3	5.76384e+9
5.23871e+2	3.43419e+14	1.57161e+3	8.30153e+12	2.61935e+3	2.19420e+11	3.66710e+3	5.89690e+9
5.23628e+2	3.44488e+14	1.57088e+3	8.38168e+12	2.61814e+3	2.22999e+11	3.66540e+3	6.03270e+9
5.23386e+2	3.45556e+14	1.57016e+3	8.46239e+12	2.61693e+3	2.26627e+11	3.66370e+3	6.17128e+9
5.23143e+2	3.46626e+14	1.56943e+3	8.54368e+12	2.61571e+3	2.30305e+11	3.66200e+3	6.31269e+9
5.22899e+2	3.47695e+14	1.56870e+3	8.62566e+12	2.61450e+3	2.34033e+11	3.66029e+3	6.45699e+9
5.22656e+2	3.48766e+14	1.56797e+3	8.70808e+12	2.61328e+3	2.37813e+11	3.65859e+3	6.60421e+9
5.22412e+2	3.49836e+14	1.56724e+3	8.79098e+12	2.61206e+3	2.41643e+11	3.65688e+3	6.75443e+9
5.22168e+2	3.50907e+14	1.56650e+3	8.87458e+12	2.61084e+3	2.45526e+11	3.65518e+3	6.90767e+9
5.21924e+2	3.51979e+14	1.56577e+3	8.95876e+12	2.60962e+3	2.49462e+11	3.65347e+3	7.06401e+9
5.21680e+2	3.53052e+14	1.56504e+3	9.04353e+12	2.60840e+3	2.53450e+11	3.65176e+3	7.22349e+9
5.21435e+2	3.54124e+14	1.56431e+3	9.12888e+12	2.60718e+3	2.57493e+11	3.65005e+3	7.38617e+9
5.21190e+2	3.55419e+14	1.56357e+3	9.21483e+12	2.60595e+3	2.61589e+11	3.64833e+3	7.55210e+9
5.20945e+2	3.56493e+14	1.56284e+3	9.30137e+12	2.60473e+3	2.65741e+11	3.64662e+3	7.72135e+9
5.20700e+2	3.57568e+14	1.56210e+3	9.38849e+12	2.60350e+3	2.69948e+11	3.64490e+3	7.89396e+9
5.20454e+2	3.58643e+14	1.56136e+3	9.47622e+12	2.60227e+3	2.74211e+11	3.64318e+3	8.06999e+9
5.20209e+2	3.59719e+14	1.56063e+3	9.56455e+12	2.60104e+3	2.78531e+11	3.64146e+3	8.24951e+9
