Energy1[eV]	Photons1	Energy3[eV]	Photons3	Energy5[eV]	Photons5	Energy7[eV]	Photons7
5.21670e+2	4.10405e+14	1.56501e+3	1.44327e+13	2.60835e+3	5.57399e+11	3.65169e+3	2.19133e+10
5.21409e+2	4.11494e+14	1.56423e+3	1.45523e+13	2.60704e+3	5.65221e+11	3.64986e+3	2.23477e+10
5.21146e+2	4.12584e+14	1.56344e+3	1.46727e+13	2.60573e+3	5.73135e+11	3.64802e+3	2.27898e+10
5.20884e+2	4.13674e+14	1.56265e+3	1.47938e+13	2.60442e+3	5.81140e+11	3.64619e+3	2.32396e+10
5.20622e+2	4.14764e+14	1.56186e+3	1.49156e+13	2.60311e+3	5.89239e+11	3.64435e+3	2.36972e+10
5.20359e+2	4.15855e+14	1.56108e+3	1.50381e+13	2.60179e+3	5.97430e+11	3.64251e+3	2.41626e+10
5.20096e+2	4.16945e+14	1.56029e+3	1.51613e+13	2.60048e+3	6.05717e+11	3.64067e+3	2.46362e+10
5.19833e+2	4.18036e+14	1.55950e+3	1.52852e+13	2.59917e+3	6.14098e+11	3.63883e+3	2.51178e+10
5.19570e+2	4.19396e+14	1.55871e+3	1.54099e+13	2.59785e+3	6.22576e+11	3.63699e+3	2.56078e+10
5.19307e+2	4.20488e+14	1.55792e+3	1.55352e+13	2.59653e+3	6.31150e+11	3.63515e+3	2.61062e+10
5.19043e+2	4.21580e+14	1.55713e+3	1.56613e+13	2.59522e+3	6.39823e+11	3.63330e+3	2.66130e+10
5.18779e+2	4.22672e+14	1.55634e+3	1.57881e+13	2.59390e+3	6.48594e+11	3.63146e+3	2.71285e+10
5.18516e+2	4.23764e+14	1.55555e+3	1.59157e+13	2.59258e+3	6.57464e+11	3.62961e+3	2.76528e+10
5.18251e+2	4.24856e+14	1.55475e+3	1.60439e+13	2.59126e+3	6.66435e+11	3.62776e+3	2.81860e+10
5.17987e+2	4.25948e+14	1.55396e+3	1.61729e+13	2.58994e+3	6.75507e+11	3.62591e+3	2.87282e+10
5.17723e+2	4.27041e+14	1.55317e+3	1.63026e+13	2.58861e+3	6.84681e+11	3.62406e+3	2.92795e+10
5.17458e+2	4.28133e+14	1.55237e+3	1.64331e+13	2.58729e+3	6.93958e+11	3.62221e+3	2.98401e+10
5.17194e+2	4.29226e+14	1.55158e+3	1.65643e+13	2.58597e+3	7.03339e+11	3.62036e+3	3.04102e+10
5.16929e+2	4.30318e+14	1.55079e+3	1.66962e+13	2.58464e+3	7.12825e+11	3.61850e+3	3.09897e+10
5.16664e+2	4.31411e+14	1.54999e+3	1.68288e+13	2.58332e+3	7.22416e+11	3.61665e+3	3.15790e+10
5.16398e+2	4.32504e+14	1.54920e+3	1.69622e+13	2.58199e+3	7.32114e+11	3.61479e+3	3.21781e+10
5.16133e+2	4.33597e+14	1.54840e+3	1.70964e+13	2.58067e+3	7.41919e+11	3.61293e+3	3.27872e+10
5.15868e+2	4.34690e+14	1.54760e+3	1.72313e+13	2.57934e+3	7.51833e+11	3.61107e+3	3.34063e+10
5.15602e+2	4.35783e+14	1.54681e+3	1.73669e+13	2.57801e+3	7.61856e+11	3.60921e+3	3.40357e+10
5.15336e+2	4.36591e+14	1.54601e+3	1.75033e+13	2.57668e+3	7.71989e+11	3.60735e+3	3.46755e+10
5.15070e+2	4.37684e+14	1.54521e+3	1.76404e+13	2.57535e+3	7.82233e+11	3.60549e+3	3.53258e+10
5.14804e+2	4.38776e+14	1.54441e+3	1.77783e+13	2.57402e+3	7.92589e+11	3.60363e+3	3.59867e+10
5.14538e+2	4.39869e+14	1.54361e+3	1.79169e+13	2.57269e+3	8.03058e+11	3.60176e+3	3.66586e+10
5.14271e+2	4.40962e+14	1.54281e+3	1.80563e+13	2.57136e+3	8.13641e+11	3.59990e+3	3.73413e+10
5.14004e+2	4.42053e+14	1.54201e+3	1.81964e+13	2.57002e+3	8.24338e+11	3.59803e+3	3.80352e+10
5.13738e+2	4.43146e+14	1.54121e+3	1.83373e+13	2.56869e+3	8.35152e+11	3.59616e+3	3.87404e+10
5.13471e+2	4.44240e+14	1.54041e+3	1.84790e+13	2.56735e+3	8.46082e+11	3.59429e+3	3.94570e+10
5.13204e+2	4.45333e+14	1.53961e+3	1.86214e+13	2.56602e+3	8.57129e+11	3.59242e+3	4.01852e+10
5.12936e+2	4.46425e+14	1.53881e+3	1.87646e+13	2.56468e+3	8.68295e+11	3.59055e+3	4.09252e+10
5.12669e+2	4.47518e+14	1.53801e+3	1.89085e+13	2.56334e+3	8.79581e+11	3.58868e+3	4.16770e+10
5.12401e+2	4.48611e+14	1.53720e+3	1.90533e+13	2.56201e+3	8.90987e+11	3.58681e+3	4.24410e+10
5.12134e+2	4.49997e+14	1.53640e+3	1.91987e+13	2.56067e+3	9.02515e+11	3.58494e+3	4.32171e+10
5.11866e+2	4.51091e+14	1.53560e+3	1.93450e+13	2.55933e+3	9.14165e+11	3.58306e+3	4.40057e+10
5.11598e+2	4.52184e+14	1.53479e+3	1.94920e+13	2.55799e+3	9.25938e+11	3.58118e+3	4.48068e+10
5.11330e+2	4.53278e+14	1.53399e+3	1.96398e+13	2.55665e+3	9.37836e+11	3.57931e+3	4.56207e+10
5.11061e+2	4.54372e+14	1.53318e+3	1.97884e+13	2.55531e+3	9.49860e+11	3.57743e+3	4.64474e+10
5.10793e+2	4.55465e+14	1.53238e+3	1.99378e+13	2.55396e+3	9.62009e+11	3.57555e+3	4.72873e+10
5.10524e+2	4.56559e+14	1.53157e+3	2.00879e+13	2.55262e+3	9.74286e+11	3.57367e+3	4.81403e+10
5.10256e+2	4.57652e+14	1.53077e+3	2.02386e+13	2.55128e+3	9.86692e+11	3.57179e+3	4.90068e+10
5.09987e+2	4.58746e+14	1.52996e+3	2.03903e+13	2.54993e+3	9.99226e+11	3.56991e+3	4.98869e+10
5.09718e+2	4.59839e+14	1.52915e+3	2.05428e+13	2.54859e+3	1.01189e+12	3.56802e+3	5.07808e+10
5.09448e+2	4.60933e+14	1.52835e+3	2.06963e+13	2.54724e+3	1.02469e+12	3.56614e+3	5.16887e+10
5.09179e+2	4.62026e+14	1.52754e+3	2.08504e+13	2.54590e+3	1.03762e+12	3.56425e+3	5.26107e+10
5.08910e+2	4.63119e+14	1.52673e+3	2.10052e+13	2.54455e+3	1.05068e+12	3.56237e+3	5.35470e+10
5.08640e+2	4.64213e+14	1.52592e+3	2.11608e+13	2.54320e+3	1.06388e+12	3.56048e+3	5.44978e+10
5.08370e+2	4.65306e+14	1.52511e+3	2.13173e+13	2.54185e+3	1.07721e+12	3.55859e+3	5.54633e+10
5.08101e+2	4.66399e+14	1.52430e+3	2.14745e+13	2.54050e+3	1.09068e+12	3.55670e+3	5.64438e+10
5.07831e+2	4.67181e+14	1.52349e+3	2.16325e+13	2.53915e+3	1.10428e+12	3.55481e+3	5.74393e+10
5.07561e+2	4.68275e+14	1.52268e+3	2.17914e+13	2.53780e+3	1.11803e+12	3.55292e+3	5.84501e+10
5.07290e+2	4.69367e+14	1.52187e+3	2.19510e+13	2.53645e+3	1.13191e+12	3.55103e+3	5.94764e+10
5.07020e+2	4.70459e+14	1.52106e+3	2.21114e+13	2.53510e+3	1.14594e+12	3.54914e+3	6.05183e+10
5.06749e+2	4.71551e+14	1.52025e+3	2.22726e+13	2.53375e+3	1.16010e+12	3.54725e+3	6.15762e+10
5.06479e+2	4.72643e+14	1.51944e+3	2.24346e+13	2.53239e+3	1.17441e+12	3.54535e+3	6.26501e+10
5.06208e+2	4.73735e+14	1.51862e+3	2.25975e+13	2.53104e+3	1.18887e+12	3.54346e+3	6.37403e+10
5.05937e+2	4.74827e+14	1.51781e+3	2.27611e+13	2.52969e+3	1.20347e+12	3.54156e+3	6.48470e+10
5.05666e+2	4.75918e+14	1.51700e+3	2.29255e+13	2.52833e+3	1.21821e+12	3.53966e+3	6.59704e+10
5.05395e+2	4.77010e+14	1.51618e+3	2.30908e+13	2.52697e+3	1.23310e+12	3.53776e+3	6.71107e+10
5.05124e+2	4.78101e+14	1.51537e+3	2.32569e+13	2.52562e+3	1.24814e+12	3.53587e+3	6.82681e+10
5.04852e+2	4.79192e+14	1.51456e+3	2.34238e+13	2.52426e+3	1.26333e+12	3.53397e+3	6.94428e+10
5.04581e+2	4.80602e+14	1.51374e+3	2.35915e+13	2.52290e+3	1.27867e+12	3.53207e+3	7.06351e+10
5.04309e+2	4.81694e+14	1.51293e+3	2.37600e+13	2.52155e+3	1.29416e+12	3.53016e+3	7.18452e+10
5.04037e+2	4.82785e+14	1.51211e+3	2.39293e+13	2.52019e+3	1.30980e+12	3.52826e+3	7.30732e+10
5.03765e+2	4.83877e+14	1.51130e+3	2.40994e+13	2.51883e+3	1.32560e+12	3.52636e+3	7.43195e+10
5.03493e+2	4.84968e+14	1.51048e+3	2.42704e+13	2.51747e+3	1.34155e+12	3.52445e+3	7.55842e+10
5.03221e+2	4.86059e+14	1.50966e+3	2.44422e+13	2.51611e+3	1.35766e+12	3.52255e+3	7.68675e+10
5.02949e+2	4.87151e+14	1.50885e+3	2.46148e+13	2.51475e+3	1.37392e+12	3.52064e+3	7.81698e+10
5.02677e+2	4.88242e+14	1.50803e+3	2.47883e+13	2.51338e+3	1.39035e+12	3.51874e+3	7.94912e+10
5.02404e+2	4.89332e+14	1.50721e+3	2.49625e+13	2.51202e+3	1.40693e+12	3.51683e+3	8.08319e+10
5.02132e+2	4.90423e+14	1.50639e+3	2.51376e+13	2.51066e+3	1.42367e+12	3.51492e+3	8.21922e+10
5.01859e+2	4.91514e+14	1.50558e+3	2.53135e+13	2.50929e+3	1.44057e+12	3.51301e+3	8.35724e+10
5.01586e+2	4.92604e+14	1.50476e+3	2.54903e+13	2.50793e+3	1.45764e+12	3.51110e+3	8.49726e+10
