P0	SU_photonEnergy	SU_outgoingMaxF_X	SU_outgoingMinF_X	SU_outgoingMaxF_Y	SU_outgoingMinF_Y	SU_intensityH_width_X	SU_intensityH_centerWidth_X	SU_intensityH_centerMass_X	SU_intensityH_width_Y	SU_intensityH_centerWidth_Y	SU_intensityH_centerMass_Y	SU_energyH_width	SU_energyH_centerWidth	SU_energyH_centerMass	SU_pathlengthH_width	SU_pathlengthH_centerWidth	SU_pathlengthH_centerMass	SU_phi_width	SU_phi_centerWidth	SU_phi_centerMass	SU_psi_width	SU_psi_centerWidth	SU_psi_centerMass	SU_incoming_NO	SU_absorbed_NO	SU_outgoing_NO	SU_incoming_R	SU_absorbed_R	SU_outgoing_R	SU_efficiency	SU_S1S0	SU_S2S0	SU_S3S0	SU_focus_horizontal_z0	SU_focus_horizontal_width	SU_focus_horizontal_theta	SU_focus_horizontal_depth	SU_focus_vertical_z0	SU_focus_vertical_width	SU_focus_vertical_theta	SU_focus_vertical_depth
0	100	1.01245293539335	-1.0217380842385	0.107230993175244	-0.109636558298313	0.528832350368895	0.00356119968769686	-0.00464257442257576	0.0579093767316963	0.000127149582959129	0.000944420918402022	0.999977466006726	1000.00000797367	1000.00000797367	0	0	0	0.00327853440301928	-2.32458630312815e-05	3.49859439097919e-05	0.00181834279137174	-5.21151947687805e-06	-6.12986213756458e-06	200000	0	200000	100	0	100	100	1.000	0.000	0.000	0.673986	0.226562	2.49458e-05	18164.4	4.18	0.0245459	1.35016e-05	3636
1	150	1.01657360408187	-1.00472099045796	0.107934740631337	-0.109072706301324	0.536598165269027	0.00199879552024868	0.00592630681195638	0.0578095940888727	-0.000173582852614745	-0.000568982834993417	0.999993053786852	999.999999850501	999.999999850501	0	0	0	0.0033114070978349	-4.95535573176052e-06	8.51128139231667e-06	0.00180227626469479	-6.05916708896267e-06	2.67338466636092e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	17.6034	0.226993	2.49191e-05	18218.3	-6.48018	0.0246218	1.35326e-05	3638.89
2	200	0.989066804227329	-1.020002927098	0.106934736524267	-0.107313395415721	0.530863031316783	0.00297918859914298	0.00442371808273778	0.0575979640853197	0.000201290314849601	-0.000189329445726777	0.999980245874099	999.999998737628	999.999998737628	0	0	0	0.00335392043544154	-1.67471440293892e-05	-5.14170357178668e-05	0.00178547483319105	-9.26755137587928e-08	-7.92498560339347e-06	200000	0	200000	100	0	100	100	1.000	0.000	0.000	19.7879	0.227751	2.49409e-05	18263.3	-9.46132	0.0245566	1.34924e-05	3640.05
3	250	0.921494369325551	-1.01286032279105	0.106671599392215	-0.107712519461561	0.537269236528679	0.00108558888277427	-0.00737892342350821	0.0557340477859386	-0.00011515272955942	-0.000520460034673029	0.999992762171701	999.999996436344	999.999996436344	0	0	0	0.00334152559179104	4.71599368870009e-07	-1.84039820939376e-06	0.00180477463735017	3.45357578532225e-06	-9.44561623265243e-06	200000	0	200000	100	0	100	100	1.000	0.000	0.000	14.4599	0.227071	2.50081e-05	18159.8	-1.80107	0.0245333	1.35071e-05	3632.64
4	300	1.01570050255654	-0.934162412938225	0.104328601442429	-0.108489575630461	0.529198707085545	0.000821307607449306	0.00215789796767651	0.0567552667078717	-2.66862507223575e-05	2.66235700722983e-05	0.999992008421373	999.999996656229	999.999996656229	0	0	0	0.00338141349729438	2.96453728057576e-06	2.45698358826421e-05	0.00182929911484357	-2.75009492397974e-06	8.63669270864675e-06	200000	0	200000	100	0	100	100	1.000	0.000	0.000	16.9866	0.227034	2.49817e-05	18176	0.549969	0.0245764	1.35184e-05	3635.99
5	350	0.936664988736674	-1.01878505647213	0.105236373115552	-0.107953542796551	0.534492185288015	0.00146813807579876	-0.00233825079428462	0.0570973818342353	0.000195485771375941	0.000752206406155226	0.99999615650529	1000.00000038357	1000.00000038357	0	0	0	0.00341011320030701	5.76643384918611e-06	-4.38608030700329e-05	0.00178458035883645	-6.3616550283718e-06	1.0115582610444e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	8.80175	0.226827	2.49858e-05	18156.5	-1.10995	0.0246135	1.34804e-05	3651.75
6	400	0.989913632042782	-0.972469215300136	0.109253905724906	-0.1082615074135	0.524307428435239	0.00201907743061003	0.00872220837132343	0.0567431819774918	6.59445252107517e-05	0.000496199155702884	0.999978317689283	999.999989532968	999.999989532968	0	0	0	0.00335614145583706	-1.57565406791267e-05	1.85046932546541e-05	0.00182314554302899	5.46783395550491e-06	-3.26047905788197e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-9.00853	0.226716	2.49617e-05	18165.1	6.39643	0.0245599	1.35118e-05	3635.32
7	450	0.981804506722379	-0.978263393884626	0.108806511577359	-0.104789394157279	0.528817116869502	-0.000698108866708569	0.00177055641887625	0.0573706227824149	1.19456838873974e-05	-0.000106252237827842	0.999993554143657	1000.00000065341	1000.00000065341	0	0	0	0.00334982820480775	-4.84747241482892e-06	-4.4179409699337e-05	0.00182713924601309	-1.90352496541569e-05	2.97555666558254e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-34.909	0.226712	2.50333e-05	18112.8	-6.75729	0.0245808	1.35203e-05	3636.14
8	500	1.01589549567125	-1.00392612792029	0.105508397197625	-0.103949728742908	0.530862129286061	0.0027962550183267	0.00598468387547979	0.0574363551334693	9.14839583190073e-05	0.000779334227358597	0.99997514666336	999.999996759786	999.999996759786	0	0	0	0.0033512847496759	1.80734150438677e-06	-1.65229269827229e-06	0.00180210341513134	-4.34443088823079e-06	-2.24718548071951e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-19.3743	0.22692	2.49276e-05	18206.4	3.69561	0.0245687	1.34866e-05	3643.43
9	550	0.942578889802035	-0.926485708965084	0.109964281413182	-0.101093787969516	0.524815254366166	-0.00114722311208276	0.00804659041847533	0.0572936397496212	9.29241347141507e-05	0.000255879011284502	0.999991729555404	1000.00000188418	1000.00000188418	0	0	0	0.00337002614590043	-1.30612788163105e-05	4.22058328779498e-05	0.00179746359318678	-3.21069127025254e-06	-1.82009776981229e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	-15.9755	0.226611	2.49593e-05	18158.4	3.13969	0.0246023	1.34879e-05	3648.05
10	600	0.967726760637282	-0.971640070079998	0.11011437488881	-0.106303666509999	0.535299351870298	-0.00151238225681244	-0.00195665472135798	0.056834233985973	0.00023885089650947	-0.000237398695730945	0.999994376761833	1000.00000009795	1000.00000009795	0	0	0	0.00336290954639811	-1.06617330741777e-06	-1.38457408723298e-05	0.00180354023532829	-4.33769990729465e-06	3.6027165898241e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	20.8527	0.22725	2.49821e-05	18193	3.17308	0.0245673	1.35232e-05	3633.35
11	650	0.972183268050086	-1.01382018769581	0.104353431611213	-0.099336602184689	0.53143359732414	0.00390533059539122	-0.0011550592709233	0.0571156018531698	2.40905314139485e-05	0.000491681705381594	0.999995878331788	1000.0000017787	1000.0000017787	0	0	0	0.00335786210673098	-1.52666069281812e-06	-1.43442143237431e-05	0.00183025170606924	3.64605551388889e-06	3.28117887576649e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	9.2916	0.227582	2.48576e-05	18310.8	6.66577	0.024516	1.34814e-05	3637.01
12	700	0.989339405850005	-0.964450609678935	0.104675666529925	-0.109872956486155	0.536818904036439	-0.000579807328728088	-0.00690005751376144	0.0576810542847361	-1.80660269560526e-05	-0.000474401185876133	0.999986469419355	999.9999942788	999.9999942788	0	0	0	0.00336000050755934	-1.33381110352065e-05	-2.1123011138221e-05	0.00180397888014397	6.28529375626223e-06	2.29814362802867e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	11.001	0.227944	2.50443e-05	18203.3	-3.47027	0.0245452	1.35092e-05	3633.85
13	750	1.01929658394017	-0.986874850914677	0.109012620702424	-0.105835573352706	0.535559937807629	0.000539265279187573	-0.00365221700067009	0.0583874784792975	4.85123829004584e-05	-0.00053868616727086	0.999998915878336	999.999999537331	999.999999537331	0	0	0	0.00341129106773704	6.67542287625901e-06	1.78451671742387e-05	0.00181911061351707	6.38869265084995e-06	-1.51166996231779e-05	200000	0	200000	100	0	100	100	1.000	0.000	0.000	6.55756	0.227362	2.49919e-05	18194.8	0.607278	0.0245822	1.35134e-05	3638.21
